FECHA;OBS
2007-01-01 00:00;2737
2007-01-01 01:00;2656
2007-01-01 02:00;2608
2007-01-01 03:00;2692
2007-01-01 04:00;2859
2007-01-01 05:00;3149
2007-01-01 06:00;3375
2007-01-01 07:00;3518
2007-01-01 08:00;3610
2007-01-01 09:00;3468
2007-01-01 10:00;3307
2007-01-01 11:00;2989
2007-01-01 12:00;2854
2007-01-01 13:00;2673
2007-01-01 14:00;2560
2007-01-01 15:00;2459
2007-01-01 16:00;2443
2007-01-01 17:00;2688
2007-01-01 18:00;2982
2007-01-01 19:00;3172
2007-01-01 20:00;3294
2007-01-01 21:00;3380
2007-01-01 22:00;3327
2007-01-01 23:00;3210
2007-01-02 00:00;3154
2007-01-02 01:00;3102
2007-01-02 02:00;3013
2007-01-02 03:00;3082
2007-01-02 04:00;3187
2007-01-02 05:00;3175
2007-01-02 06:00;3440
2007-01-02 07:00;3701
2007-01-02 08:00;3844
2007-01-02 09:00;3869
2007-01-02 10:00;3759
2007-01-02 11:00;3589
2007-01-02 12:00;3384
2007-01-02 13:00;3155
2007-01-02 14:00;3008
2007-01-02 15:00;2856
2007-01-02 16:00;2771
2007-01-02 17:00;2858
2007-01-02 18:00;2952
2007-01-02 19:00;3282
2007-01-02 20:00;3522
2007-01-02 21:00;3549
2007-01-02 22:00;3587
2007-01-02 23:00;3503
2007-01-03 00:00;3436
2007-01-03 01:00;3309
2007-01-03 02:00;3178
2007-01-03 03:00;3062
2007-01-03 04:00;3054
2007-01-03 05:00;3144
2007-01-03 06:00;3225
2007-01-03 07:00;3388
2007-01-03 08:00;3656
2007-01-03 09:00;3773
2007-01-03 10:00;3772
2007-01-03 11:00;3560
2007-01-03 12:00;3309
2007-01-03 13:00;3011
2007-01-03 14:00;2794
2007-01-03 15:00;2533
2007-01-03 16:00;2387
2007-01-03 17:00;2331
2007-01-03 18:00;2310
2007-01-03 19:00;2358
2007-01-03 20:00;2633
2007-01-03 21:00;2921
2007-01-03 22:00;3031
2007-01-03 23:00;3063
2007-01-04 00:00;2970
2007-01-04 01:00;2938
2007-01-04 02:00;2902
2007-01-04 03:00;2821
2007-01-04 04:00;2777
2007-01-04 05:00;2768
2007-01-04 06:00;2880
2007-01-04 07:00;3036
2007-01-04 08:00;3317
2007-01-04 09:00;3611
2007-01-04 10:00;3693
2007-01-04 11:00;3667
2007-01-04 12:00;3504
2007-01-04 13:00;3251
2007-01-04 14:00;3059
2007-01-04 15:00;2806
2007-01-04 16:00;2593
2007-01-04 17:00;2493
2007-01-04 18:00;2388
2007-01-04 19:00;2608
2007-01-04 20:00;2739
2007-01-04 21:00;3155
2007-01-04 22:00;3346
2007-01-04 23:00;3376
2007-01-05 00:00;3571
2007-01-05 01:00;3581
2007-01-05 02:00;3530
2007-01-05 03:00;3512
2007-01-05 04:00;3546
2007-01-05 05:00;3565
2007-01-05 06:00;3643
2007-01-05 07:00;3740
2007-01-05 08:00;3875
2007-01-05 09:00;4079
2007-01-05 10:00;4395
2007-01-05 11:00;4362
2007-01-05 12:00;4254
2007-01-05 13:00;3965
