,pred
2002-07-01 00:00:00,0.7101
2002-07-01 00:10:00,0.6126
2002-07-01 00:20:00,0.51
2002-07-01 00:30:00,0.4031
2002-07-01 00:40:00,0.2925
2002-07-01 00:50:00,0.1789
2002-07-01 01:00:00,0.0632
2002-07-01 01:10:00,-0.0539
2002-07-01 01:20:00,-0.1716
2002-07-01 01:30:00,-0.2892
2002-07-01 01:40:00,-0.4058
2002-07-01 01:50:00,-0.5206
2002-07-01 02:00:00,-0.6329
2002-07-01 02:10:00,-0.7419
2002-07-01 02:20:00,-0.8469
2002-07-01 02:30:00,-0.9471
2002-07-01 02:40:00,-1.0418
2002-07-01 02:50:00,-1.1305
2002-07-01 03:00:00,-1.2126
2002-07-01 03:10:00,-1.2874
2002-07-01 03:20:00,-1.3544
2002-07-01 03:30:00,-1.4133
2002-07-01 03:40:00,-1.4635
2002-07-01 03:50:00,-1.5048
2002-07-01 04:00:00,-1.5369
2002-07-01 04:10:00,-1.5596
2002-07-01 04:20:00,-1.5727
2002-07-01 04:30:00,-1.5761
2002-07-01 04:40:00,-1.5698
2002-07-01 04:50:00,-1.5539
2002-07-01 05:00:00,-1.5285
2002-07-01 05:10:00,-1.4937
2002-07-01 05:20:00,-1.4498
2002-07-01 05:30:00,-1.3972
2002-07-01 05:40:00,-1.336
2002-07-01 05:50:00,-1.2669
2002-07-01 06:00:00,-1.1902
2002-07-01 06:10:00,-1.1066
2002-07-01 06:20:00,-1.0164
2002-07-01 06:30:00,-0.9205
2002-07-01 06:40:00,-0.8194
2002-07-01 06:50:00,-0.7139
2002-07-01 07:00:00,-0.6045
2002-07-01 07:10:00,-0.4922
2002-07-01 07:20:00,-0.3776
2002-07-01 07:30:00,-0.2616
2002-07-01 07:40:00,-0.1449
2002-07-01 07:50:00,-0.0282
2002-07-01 08:00:00,0.0875
2002-07-01 08:10:00,0.2016
2002-07-01 08:20:00,0.3133
2002-07-01 08:30:00,0.4218
2002-07-01 08:40:00,0.5265
2002-07-01 08:50:00,0.6266
2002-07-01 09:00:00,0.7214
2002-07-01 09:10:00,0.8105
2002-07-01 09:20:00,0.8931
2002-07-01 09:30:00,0.9688
2002-07-01 09:40:00,1.0372
2002-07-01 09:50:00,1.0977
2002-07-01 10:00:00,1.15
2002-07-01 10:10:00,1.1939
2002-07-01 10:20:00,1.229
2002-07-01 10:30:00,1.2552
2002-07-01 10:40:00,1.2724
2002-07-01 10:50:00,1.2806
2002-07-01 11:00:00,1.2796
2002-07-01 11:10:00,1.2697
2002-07-01 11:20:00,1.251
2002-07-01 11:30:00,1.2236
2002-07-01 11:40:00,1.1879
2002-07-01 11:50:00,1.1441
2002-07-01 12:00:00,1.0926
2002-07-01 12:10:00,1.0339
2002-07-01 12:20:00,0.9684
2002-07-01 12:30:00,0.8967
2002-07-01 12:40:00,0.8194
2002-07-01 12:50:00,0.737
2002-07-01 13:00:00,0.6502
2002-07-01 13:10:00,0.5598
2002-07-01 13:20:00,0.4662
2002-07-01 13:30:00,0.3704
2002-07-01 13:40:00,0.273
2002-07-01 13:50:00,0.1748
2002-07-01 14:00:00,0.0765
2002-07-01 14:10:00,-0.0212
2002-07-01 14:20:00,-0.1175
2002-07-01 14:30:00,-0.2116
2002-07-01 14:40:00,-0.303
2002-07-01 14:50:00,-0.3909
2002-07-01 15:00:00,-0.4746
2002-07-01 15:10:00,-0.5536
2002-07-01 15:20:00,-0.6272
2002-07-01 15:30:00,-0.695
2002-07-01 15:40:00,-0.7563
2002-07-01 15:50:00,-0.8109
2002-07-01 16:00:00,-0.8582
2002-07-01 16:10:00,-0.8979
2002-07-01 16:20:00,-0.9299
2002-07-01 16:30:00,-0.9537
2002-07-01 16:40:00,-0.9693
2002-07-01 16:50:00,-0.9766
2002-07-01 17:00:00,-0.9754
2002-07-01 17:10:00,-0.966
2002-07-01 17:20:00,-0.9482
2002-07-01 17:30:00,-0.9224
2002-07-01 17:40:00,-0.8886
2002-07-01 17:50:00,-0.8471
2002-07-01 18:00:00,-0.7984
2002-07-01 18:10:00,-0.7426
2002-07-01 18:20:00,-0.6804
2002-07-01 18:30:00,-0.6121
2002-07-01 18:40:00,-0.5383
2002-07-01 18:50:00,-0.4595
2002-07-01 19:00:00,-0.3763
2002-07-01 19:10:00,-0.2894
2002-07-01 19:20:00,-0.1995
2002-07-01 19:30:00,-0.1072
2002-07-01 19:40:00,-0.0132
2002-07-01 19:50:00,0.0818
2002-07-01 20:00:00,0.177
2002-07-01 20:10:00,0.2717
2002-07-01 20:20:00,0.3653
2002-07-01 20:30:00,0.4568
2002-07-01 20:40:00,0.5458
2002-07-01 20:50:00,0.6315
2002-07-01 21:00:00,0.7131
2002-07-01 21:10:00,0.7902
2002-07-01 21:20:00,0.8621
2002-07-01 21:30:00,0.9282
2002-07-01 21:40:00,0.988
2002-07-01 21:50:00,1.0411
2002-07-01 22:00:00,1.0869
2002-07-01 22:10:00,1.1252
2002-07-01 22:20:00,1.1556
2002-07-01 22:30:00,1.1779
2002-07-01 22:40:00,1.1917
2002-07-01 22:50:00,1.1971
2002-07-01 23:00:00,1.1939
2002-07-01 23:10:00,1.182
2002-07-01 23:20:00,1.1616
2002-07-01 23:30:00,1.1326
2002-07-01 23:40:00,1.0954
2002-07-01 23:50:00,1.05
2002-07-02 00:00:00,0.9968
2002-07-02 00:10:00,0.9362
2002-07-02 00:20:00,0.8684
2002-07-02 00:30:00,0.794
2002-07-02 00:40:00,0.7134
2002-07-02 00:50:00,0.6273
2002-07-02 01:00:00,0.536
2002-07-02 01:10:00,0.4403
2002-07-02 01:20:00,0.3409
2002-07-02 01:30:00,0.2383
2002-07-02 01:40:00,0.1333
2002-07-02 01:50:00,0.0265
2002-07-02 02:00:00,-0.0811
2002-07-02 02:10:00,-0.1891
2002-07-02 02:20:00,-0.2965
2002-07-02 02:30:00,-0.4026
2002-07-02 02:40:00,-0.5069
2002-07-02 02:50:00,-0.6084
2002-07-02 03:00:00,-0.7065
2002-07-02 03:10:00,-0.8006
2002-07-02 03:20:00,-0.8899
2002-07-02 03:30:00,-0.974
2002-07-02 03:40:00,-1.0521
2002-07-02 03:50:00,-1.1238
2002-07-02 04:00:00,-1.1885
2002-07-02 04:10:00,-1.2458
2002-07-02 04:20:00,-1.2954
2002-07-02 04:30:00,-1.3368
2002-07-02 04:40:00,-1.3698
2002-07-02 04:50:00,-1.3942
2002-07-02 05:00:00,-1.4098
2002-07-02 05:10:00,-1.4164
2002-07-02 05:20:00,-1.4141
2002-07-02 05:30:00,-1.4028
2002-07-02 05:40:00,-1.3827
2002-07-02 05:50:00,-1.3539
2002-07-02 06:00:00,-1.3165
2002-07-02 06:10:00,-1.2709
2002-07-02 06:20:00,-1.2173
2002-07-02 06:30:00,-1.1561
2002-07-02 06:40:00,-1.0878
2002-07-02 06:50:00,-1.0128
2002-07-02 07:00:00,-0.9316
2002-07-02 07:10:00,-0.8448
2002-07-02 07:20:00,-0.753
2002-07-02 07:30:00,-0.6568
2002-07-02 07:40:00,-0.5569
2002-07-02 07:50:00,-0.454
2002-07-02 08:00:00,-0.3487
2002-07-02 08:10:00,-0.2418
2002-07-02 08:20:00,-0.134
2002-07-02 08:30:00,-0.026
2002-07-02 08:40:00,0.0814
2002-07-02 08:50:00,0.1875
2002-07-02 09:00:00,0.2916
2002-07-02 09:10:00,0.3929
2002-07-02 09:20:00,0.4909
2002-07-02 09:30:00,0.5848
2002-07-02 09:40:00,0.6741
2002-07-02 09:50:00,0.7582
2002-07-02 10:00:00,0.8364
2002-07-02 10:10:00,0.9083
2002-07-02 10:20:00,0.9735
2002-07-02 10:30:00,1.0315
2002-07-02 10:40:00,1.0819
2002-07-02 10:50:00,1.1246
2002-07-02 11:00:00,1.1591
2002-07-02 11:10:00,1.1853
2002-07-02 11:20:00,1.2032
2002-07-02 11:30:00,1.2125
2002-07-02 11:40:00,1.2134
2002-07-02 11:50:00,1.2058
2002-07-02 12:00:00,1.1898
2002-07-02 12:10:00,1.1657
2002-07-02 12:20:00,1.1336
2002-07-02 12:30:00,1.0939
2002-07-02 12:40:00,1.0469
2002-07-02 12:50:00,0.9928
2002-07-02 13:00:00,0.9323
2002-07-02 13:10:00,0.8657
2002-07-02 13:20:00,0.7936
2002-07-02 13:30:00,0.7166
2002-07-02 13:40:00,0.6352
2002-07-02 13:50:00,0.55
2002-07-02 14:00:00,0.4617
2002-07-02 14:10:00,0.371
2002-07-02 14:20:00,0.2784
2002-07-02 14:30:00,0.1849
2002-07-02 14:40:00,0.0909
2002-07-02 14:50:00,-0.0027
2002-07-02 15:00:00,-0.0954
2002-07-02 15:10:00,-0.1863
2002-07-02 15:20:00,-0.2749
2002-07-02 15:30:00,-0.3605
2002-07-02 15:40:00,-0.4425
2002-07-02 15:50:00,-0.5203
2002-07-02 16:00:00,-0.5933
2002-07-02 16:10:00,-0.661
2002-07-02 16:20:00,-0.7229
2002-07-02 16:30:00,-0.7786
2002-07-02 16:40:00,-0.8277
2002-07-02 16:50:00,-0.8698
2002-07-02 17:00:00,-0.9047
2002-07-02 17:10:00,-0.9321
2002-07-02 17:20:00,-0.9518
2002-07-02 17:30:00,-0.9637
2002-07-02 17:40:00,-0.9677
2002-07-02 17:50:00,-0.9639
2002-07-02 18:00:00,-0.9523
2002-07-02 18:10:00,-0.9329
2002-07-02 18:20:00,-0.906
2002-07-02 18:30:00,-0.8718
2002-07-02 18:40:00,-0.8305
2002-07-02 18:50:00,-0.7825
2002-07-02 19:00:00,-0.7281
2002-07-02 19:10:00,-0.6678
2002-07-02 19:20:00,-0.602
2002-07-02 19:30:00,-0.5312
2002-07-02 19:40:00,-0.456
2002-07-02 19:50:00,-0.3769
2002-07-02 20:00:00,-0.2946
2002-07-02 20:10:00,-0.2097
2002-07-02 20:20:00,-0.1227
2002-07-02 20:30:00,-0.0344
2002-07-02 20:40:00,0.0545
2002-07-02 20:50:00,0.1434
2002-07-02 21:00:00,0.2317
2002-07-02 21:10:00,0.3186
2002-07-02 21:20:00,0.4034
2002-07-02 21:30:00,0.4857
2002-07-02 21:40:00,0.5647
2002-07-02 21:50:00,0.6398
2002-07-02 22:00:00,0.7104
2002-07-02 22:10:00,0.7761
2002-07-02 22:20:00,0.8363
2002-07-02 22:30:00,0.8905
2002-07-02 22:40:00,0.9384
2002-07-02 22:50:00,0.9795
2002-07-02 23:00:00,1.0135
2002-07-02 23:10:00,1.0402
2002-07-02 23:20:00,1.0594
2002-07-02 23:30:00,1.0708
2002-07-02 23:40:00,1.0744
2002-07-02 23:50:00,1.0701
2002-07-03 00:00:00,1.0578
2002-07-03 00:10:00,1.0378
2002-07-03 00:20:00,1.0101
2002-07-03 00:30:00,0.9748
2002-07-03 00:40:00,0.9322
