# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
1.034605074063869257e+00,1.000000000000000000e+00,1.034605074063869257e+00,7.666035045949963767e-01,8.947692001701100795e-01,8.275086119479377889e-01,1.000000000000000000e+00,1.070407659278704404e+00
1.034604484905274457e+00,1.000000000000000000e+00,1.034604484905274457e+00,7.666072945270288042e-01,8.947715546131519426e-01,8.275125330508749100e-01,1.000000000000000000e+00,1.070406440186108199e+00
1.034603895695352715e+00,1.000000000000000000e+00,1.034603895695352715e+00,7.666110848102176689e-01,8.947739092494489954e-01,8.275164544708452086e-01,1.000000000000000000e+00,1.070405220988000172e+00
1.034603306434105363e+00,1.000000000000000000e+00,1.034603306434105363e+00,7.666148754445611946e-01,8.947762640789939104e-01,8.275203762078353620e-01,1.000000000000000000e+00,1.070404001684383433e+00
1.034602717121533288e+00,1.000000000000000000e+00,1.034602717121533288e+00,7.666186664300582709e-01,8.947786191017795820e-01,8.275242982618327137e-01,1.000000000000000000e+00,1.070402782275259534e+00
1.034602127757638046e+00,1.000000000000000000e+00,1.034602127757638046e+00,7.666224577667074547e-01,8.947809743177991271e-01,8.275282206328246071e-01,1.000000000000000000e+00,1.070401562760632030e+00
1.034601538342419191e+00,1.000000000000000000e+00,1.034601538342419191e+00,7.666262494545110773e-01,8.947833297270475494e-01,8.275321433208017163e-01,1.000000000000000000e+00,1.070400343140500254e+00
1.034600948875879389e+00,1.000000000000000000e+00,1.034600948875879389e+00,7.666300414934643648e-01,8.947856853295158563e-01,8.275360663257481653e-01,1.000000000000000000e+00,1.070399123414869980e+00
1.034600359358017752e+00,1.000000000000000000e+00,1.034600359358017752e+00,7.666338338835694266e-01,8.947880411251991628e-01,8.275399896476542949e-01,1.000000000000000000e+00,1.070397903583739430e+00
1.034599769788836721e+00,1.000000000000000000e+00,1.034599769788836721e+00,7.666376266248257076e-01,8.947903971140910295e-01,8.275439132865085590e-01,1.000000000000000000e+00,1.070396683647113933e+00
1.034599180168336519e+00,1.000000000000000000e+00,1.034599180168336519e+00,7.666414197172291001e-01,8.947927532961821306e-01,8.275478372422946372e-01,1.000000000000000000e+00,1.070395463604994157e+00
1.034598590496517811e+00,1.000000000000000000e+00,1.034598590496517811e+00,7.666452131607828235e-01,8.947951096714688024e-01,8.275517615150050910e-01,1.000000000000000000e+00,1.070394243457381434e+00
1.034598000773381710e+00,1.000000000000000000e+00,1.034598000773381710e+00,7.666490069554843245e-01,8.947974662399432733e-01,8.275556861046254875e-01,1.000000000000000000e+00,1.070393023204278427e+00
1.034597410998930211e+00,1.000000000000000000e+00,1.034597410998930211e+00,7.666528011013296062e-01,8.947998230015965504e-01,8.275596110111407278e-01,1.000000000000000000e+00,1.070391802845689355e+00
1.034596821173161985e+00,1.000000000000000000e+00,1.034596821173161985e+00,7.666565955983253300e-01,8.948021799564266354e-01,8.275635362345454826e-01,1.000000000000000000e+00,1.070390582381611777e+00
