# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.889863002378757040e-01,1.000000000000000000e+00,9.889863002378757040e-01,1.103846286011570532e+00,1.047321857832443026e+00,1.075966088966835876e+00,1.000000000000000000e+00,9.780939020582015697e-01
9.889849376783929058e-01,1.000000000000000000e+00,9.889849376783929058e-01,1.103857244314859321e+00,1.047325660992690199e+00,1.075972244921473919e+00,1.000000000000000000e+00,9.780912069547347265e-01
9.889835751363903471e-01,1.000000000000000000e+00,9.889835751363903471e-01,1.103868202512199748e+00,1.047329464065515303e+00,1.075978400737649832e+00,1.000000000000000000e+00,9.780885118895562558e-01
9.889822126118706924e-01,1.000000000000000000e+00,9.889822126118706924e-01,1.103879160603569387e+00,1.047333267050913230e+00,1.075984556415355620e+00,1.000000000000000000e+00,9.780858168626713756e-01
9.889808501048372724e-01,1.000000000000000000e+00,9.889808501048372724e-01,1.103890118588944258e+00,1.047337069948878430e+00,1.075990711954582846e+00,1.000000000000000000e+00,9.780831218740866362e-01
9.889794876152907532e-01,1.000000000000000000e+00,9.889794876152907532e-01,1.103901076468313036e+00,1.047340872759410013e+00,1.075996867355329956e+00,1.000000000000000000e+00,9.780804269238030368e-01
9.889781251432337994e-01,1.000000000000000000e+00,9.889781251432337994e-01,1.103912034241657070e+00,1.047344675482504206e+00,1.076003022617591398e+00,1.000000000000000000e+00,9.780777320118257956e-01
9.889767626886680763e-01,1.000000000000000000e+00,9.889767626886680763e-01,1.103922991908949713e+00,1.047348478118154569e+00,1.076009177741356071e+00,1.000000000000000000e+00,9.780750371381581321e-01
9.889754002515949161e-01,1.000000000000000000e+00,9.889754002515949161e-01,1.103933949470184972e+00,1.047352280666361546e+00,1.076015332726625751e+00,1.000000000000000000e+00,9.780723423028023777e-01
9.889740378320168723e-01,1.000000000000000000e+00,9.889740378320168723e-01,1.103944906925339753e+00,1.047356083127120474e+00,1.076021487573392221e+00,1.000000000000000000e+00,9.780696475057635286e-01
9.889726754299374978e-01,1.000000000000000000e+00,9.889726754299374978e-01,1.103955864274383636e+00,1.047359885500422916e+00,1.076027642281643271e+00,1.000000000000000000e+00,9.780669527470484681e-01
9.889713130453556822e-01,1.000000000000000000e+00,9.889713130453556822e-01,1.103966821517319064e+00,1.047363687786273090e+00,1.076033796851384894e+00,1.000000000000000000e+00,9.780642580266548647e-01
9.889699506782755334e-01,1.000000000000000000e+00,9.889699506782755334e-01,1.103977778654114950e+00,1.047367489984662781e+00,1.076039951282604434e+00,1.000000000000000000e+00,9.780615633445907120e-01
9.889685883286993828e-01,1.000000000000000000e+00,9.889685883286993828e-01,1.103988735684746203e+00,1.047371292095586215e+00,1.076046105575292344e+00,1.000000000000000000e+00,9.780588687008604509e-01
