# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.844040286589215150e-01,1.000000000000000000e+00,9.844040286589215150e-01,1.140887654928189887e+00,1.059896268462942936e+00,1.096338568913818090e+00,1.000000000000000000e+00,9.690512916399147691e-01
9.844027379864846994e-01,1.000000000000000000e+00,9.844027379864846994e-01,1.140898139486591800e+00,1.059899750276449781e+00,1.096344215923829690e+00,1.000000000000000000e+00,9.690487505552876080e-01
9.844014473381857977e-01,1.000000000000000000e+00,9.844014473381857977e-01,1.140908623876710770e+00,1.059903231991493611e+00,1.096349862777810102e+00,1.000000000000000000e+00,9.690462095215149896e-01
9.844001567140264752e-01,1.000000000000000000e+00,9.844001567140264752e-01,1.140919108098532586e+00,1.059906713608072426e+00,1.096355509475756884e+00,1.000000000000000000e+00,9.690436685385999116e-01
9.843988661140085084e-01,1.000000000000000000e+00,9.843988661140085084e-01,1.140929592152035932e+00,1.059910195126182897e+00,1.096361156017662930e+00,1.000000000000000000e+00,9.690411276065455937e-01
9.843975755381342285e-01,1.000000000000000000e+00,9.843975755381342285e-01,1.140940076037207485e+00,1.059913676545822803e+00,1.096366802403526686e+00,1.000000000000000000e+00,9.690385867253566987e-01
9.843962849864051901e-01,1.000000000000000000e+00,9.843962849864051901e-01,1.140950559754025040e+00,1.059917157866988147e+00,1.096372448633340824e+00,1.000000000000000000e+00,9.690360458950358913e-01
9.843949944588228362e-01,1.000000000000000000e+00,9.843949944588228362e-01,1.140961043302476385e+00,1.059920639089678041e+00,1.096378094707103568e+00,1.000000000000000000e+00,9.690335051155858359e-01
9.843937039553894985e-01,1.000000000000000000e+00,9.843937039553894985e-01,1.140971526682539539e+00,1.059924120213888266e+00,1.096383740624808034e+00,1.000000000000000000e+00,9.690309643870109735e-01
9.843924134761069533e-01,1.000000000000000000e+00,9.843924134761069533e-01,1.140982009894199622e+00,1.059927601239616601e+00,1.096389386386451115e+00,1.000000000000000000e+00,9.690284237093147457e-01
9.843911230209776431e-01,1.000000000000000000e+00,9.843911230209776431e-01,1.140992492937436209e+00,1.059931082166859495e+00,1.096395031992027258e+00,1.000000000000000000e+00,9.690258830825015934e-01
9.843898325900023449e-01,1.000000000000000000e+00,9.843898325900023449e-01,1.141002975812233977e+00,1.059934562995614948e+00,1.096400677441532467e+00,1.000000000000000000e+00,9.690233425065728490e-01
9.843885421831835014e-01,1.000000000000000000e+00,9.843885421831835014e-01,1.141013458518575607e+00,1.059938043725880297e+00,1.096406322734962524e+00,1.000000000000000000e+00,9.690208019815332863e-01
