# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.639753802203450128e-01,1.000000000000000000e+00,9.639753802203450128e-01,1.309813217077429259e+00,1.111045812573908220e+00,1.179870519892852743e+00,1.000000000000000000e+00,9.292485336709587207e-01
9.639750935521967934e-01,1.000000000000000000e+00,9.639750935521967934e-01,1.309815623105019089e+00,1.111046477562513068e+00,1.179871615882956748e+00,1.000000000000000000e+00,9.292479809889665487e-01
9.639748069372748862e-01,1.000000000000000000e+00,9.639748069372748862e-01,1.309818028686726032e+00,1.111047142426241141e+00,1.179872711667580010e+00,1.000000000000000000e+00,9.292474284097563819e-01
9.639745203755782921e-01,1.000000000000000000e+00,9.639745203755782921e-01,1.309820433822545649e+00,1.111047807165092216e+00,1.179873807246720085e+00,1.000000000000000000e+00,9.292468759333262218e-01
9.639742338671082322e-01,1.000000000000000000e+00,9.639742338671082322e-01,1.309822838512475052e+00,1.111048471779066515e+00,1.179874902620378530e+00,1.000000000000000000e+00,9.292463235596782889e-01
9.639739474118654838e-01,1.000000000000000000e+00,9.639739474118654838e-01,1.309825242756509800e+00,1.111049136268163817e+00,1.179875997788554676e+00,1.000000000000000000e+00,9.292457712888140264e-01
9.639736610098496028e-01,1.000000000000000000e+00,9.639736610098496028e-01,1.309827646554645453e+00,1.111049800632383455e+00,1.179877092751246748e+00,1.000000000000000000e+00,9.292452191207324352e-01
9.639733746610619214e-01,1.000000000000000000e+00,9.639733746610619214e-01,1.309830049906878457e+00,1.111050464871725652e+00,1.179878187508455412e+00,1.000000000000000000e+00,9.292446670554360688e-01
9.639730883655019955e-01,1.000000000000000000e+00,9.639730883655019955e-01,1.309832452813205483e+00,1.111051128986190406e+00,1.179879282060180001e+00,1.000000000000000000e+00,9.292441150929239280e-01
9.639728021231710464e-01,1.000000000000000000e+00,9.639728021231710464e-01,1.309834855273622534e+00,1.111051792975777497e+00,1.179880376406420073e+00,1.000000000000000000e+00,9.292435632331982331e-01
9.639725159340690741e-01,1.000000000000000000e+00,9.639725159340690741e-01,1.309837257288124723e+00,1.111052456840486258e+00,1.179881470547174960e+00,1.000000000000000000e+00,9.292430114762590954e-01
9.639722297981961896e-01,1.000000000000000000e+00,9.639722297981961896e-01,1.309839658856709610e+00,1.111053120580317133e+00,1.179882564482444884e+00,1.000000000000000000e+00,9.292424598221064036e-01
9.639719437155528370e-01,1.000000000000000000e+00,9.639719437155528370e-01,1.309842059979373419e+00,1.111053784195270122e+00,1.179883658212228958e+00,1.000000000000000000e+00,9.292419082707409350e-01
9.639716576861401265e-01,1.000000000000000000e+00,9.639716576861401265e-01,1.309844460656111265e+00,1.111054447685344559e+00,1.179884751736527182e+00,1.000000000000000000e+00,9.292413568221649101e-01
9.639713717099578361e-01,1.000000000000000000e+00,9.639713717099578361e-01,1.309846860886919595e+00,1.111055111050540667e+00,1.179885845055338445e+00,1.000000000000000000e+00,9.292408054763776626e-01
9.639710857870060767e-01,1.000000000000000000e+00,9.639710857870060767e-01,1.309849260671795301e+00,1.111055774290858222e+00,1.179886938168662747e+00,1.000000000000000000e+00,9.292402542333794147e-01
9.639707999172857367e-01,1.000000000000000000e+00,9.639707999172857367e-01,1.309851660010734165e+00,1.111056437406296782e+00,1.179888031076499866e+00,1.000000000000000000e+00,9.292397030931717206e-01
9.639705141007974820e-01,1.000000000000000000e+00,9.639705141007974820e-01,1.309854058903730856e+00,1.111057100396856345e+00,1.179889123778848470e+00,1.000000000000000000e+00,9.292391520557558016e-01
9.639702283375414238e-01,1.000000000000000000e+00,9.639702283375414238e-01,1.309856457350783820e+00,1.111057763262536913e+00,1.179890216275709225e+00,1.000000000000000000e+00,9.292386011211317687e-01
9.639699426275173400e-01,1.000000000000000000e+00,9.639699426275173400e-01,1.309858855351889284e+00,1.111058426003339150e+00,1.179891308567081909e+00,1.000000000000000000e+00,9.292380502892990668e-01
9.639696569707267848e-01,1.000000000000000000e+00,9.639696569707267848e-01,1.309861252907041251e+00,1.111059088619261281e+00,1.179892400652964746e+00,1.000000000000000000e+00,9.292374995602606935e-01
9.639693713671692032e-01,1.000000000000000000e+00,9.639693713671692032e-01,1.309863650016236614e+00,1.111059751110303750e+00,1.179893492533357735e+00,1.000000000000000000e+00,9.292369489340154276e-01
9.639690858168457055e-01,1.000000000000000000e+00,9.639690858168457055e-01,1.309866046679473151e+00,1.111060413476467224e+00,1.179894584208261543e+00,1.000000000000000000e+00,9.292363984105652674e-01
9.639688003197560695e-01,1.000000000000000000e+00,9.639688003197560695e-01,1.309868442896745311e+00,1.111061075717750590e+00,1.179895675677674616e+00,1.000000000000000000e+00,9.292358479899097690e-01
9.639685148759012945e-01,1.000000000000000000e+00,9.639685148759012945e-01,1.309870838668049542e+00,1.111061737834154073e+00,1.179896766941597175e+00,1.000000000000000000e+00,9.292352976720507085e-01
9.639682294852808253e-01,1.000000000000000000e+00,9.639682294852808253e-01,1.309873233993383179e+00,1.111062399825677671e+00,1.179897858000028332e+00,1.000000000000000000e+00,9.292347474569870869e-01
9.639679441478965494e-01,1.000000000000000000e+00,9.639679441478965494e-01,1.309875628872740227e+00,1.111063061692320719e+00,1.179898948852967422e+00,1.000000000000000000e+00,9.292341973447222347e-01
9.639676588637474675e-01,1.000000000000000000e+00,9.639676588637474675e-01,1.309878023306119577e+00,1.111063723434083883e+00,1.179900039500415554e+00,1.000000000000000000e+00,9.292336473352542647e-01
9.639673736328342457e-01,1.000000000000000000e+00,9.639673736328342457e-01,1.309880417293515231e+00,1.111064385050966496e+00,1.179901129942370064e+00,1.000000000000000000e+00,9.292330974285842871e-01
9.639670884551583274e-01,1.000000000000000000e+00,9.639670884551583274e-01,1.309882810834923417e+00,1.111065046542968116e+00,1.179902220178832062e+00,1.000000000000000000e+00,9.292325476247150773e-01
9.639668033307187134e-01,1.000000000000000000e+00,9.639668033307187134e-01,1.309885203930342579e+00,1.111065707910089406e+00,1.179903310209801326e+00,1.000000000000000000e+00,9.292319979236445260e-01
9.639665182595169579e-01,1.000000000000000000e+00,9.639665182595169579e-01,1.309887596579766056e+00,1.111066369152329703e+00,1.179904400035276302e+00,1.000000000000000000e+00,9.292314483253756308e-01
9.639662332415527279e-01,1.000000000000000000e+00,9.639662332415527279e-01,1.309889988783191628e+00,1.111067030269688782e+00,1.179905489655257433e+00,1.000000000000000000e+00,9.292308988299076145e-01
9.639659482768263565e-01,1.000000000000000000e+00,9.639659482768263565e-01,1.309892380540615742e+00,1.111067691262166868e+00,1.179906579069743833e+00,1.000000000000000000e+00,9.292303494372410322e-01
9.639656633653388429e-01,1.000000000000000000e+00,9.639656633653388429e-01,1.309894771852033069e+00,1.111068352129763737e+00,1.179907668278735278e+00,1.000000000000000000e+00,9.292298001473777713e-01
9.639653785070901870e-01,1.000000000000000000e+00,9.639653785070901870e-01,1.309897162717440722e+00,1.111069012872478945e+00,1.179908757282231102e+00,1.000000000000000000e+00,9.292292509603176098e-01
9.639650937020809440e-01,1.000000000000000000e+00,9.639650937020809440e-01,1.309899553136835149e+00,1.111069673490312493e+00,1.179909846080231306e+00,1.000000000000000000e+00,9.292287018760616579e-01
9.639648089503113360e-01,1.000000000000000000e+00,9.639648089503113360e-01,1.309901943110212796e+00,1.111070333983264602e+00,1.179910934672735889e+00,1.000000000000000000e+00,9.292281528946102487e-01
9.639645242517816959e-01,1.000000000000000000e+00,9.639645242517816959e-01,1.309904332637569002e+00,1.111070994351334607e+00,1.179912023059743298e+00,1.000000000000000000e+00,9.292276040159638262e-01
9.639642396064933560e-01,1.000000000000000000e+00,9.639642396064933560e-01,1.309906721718899103e+00,1.111071654594522728e+00,1.179913111241253532e+00,1.000000000000000000e+00,9.292270552401249439e-01
9.639639550144448732e-01,1.000000000000000000e+00,9.639639550144448732e-01,1.309909110354201767e+00,1.111072314712828524e+00,1.179914199217266368e+00,1.000000000000000000e+00,9.292265065670907154e-01
9.639636704756384677e-01,1.000000000000000000e+00,9.639636704756384677e-01,1.309911498543470776e+00,1.111072974706251770e+00,1.179915286987781364e+00,1.000000000000000000e+00,9.292259579968653593e-01
9.639633859900735846e-01,1.000000000000000000e+00,9.639633859900735846e-01,1.309913886286703244e+00,1.111073634574792690e+00,1.179916374552797631e+00,1.000000000000000000e+00,9.292254095294475436e-01
9.639631015577504458e-01,1.000000000000000000e+00,9.639631015577504458e-01,1.309916273583897173e+00,1.111074294318451505e+00,1.179917461912316057e+00,1.000000000000000000e+00,9.292248611648379342e-01
9.639628171786700506e-01,1.000000000000000000e+00,9.639628171786700506e-01,1.309918660435045235e+00,1.111074953937226883e+00,1.179918549066334421e+00,1.000000000000000000e+00,9.292243129030380855e-01
9.639625328528328430e-01,1.000000000000000000e+00,9.639625328528328430e-01,1.309921046840146319e+00,1.111075613431119713e+00,1.179919636014854056e+00,1.000000000000000000e+00,9.292237647440488857e-01
9.639622485802387120e-01,1.000000000000000000e+00,9.639622485802387120e-01,1.309923432799194876e+00,1.111076272800129550e+00,1.179920722757872964e+00,1.000000000000000000e+00,9.292232166878698907e-01
9.639619643608884347e-01,1.000000000000000000e+00,9.639619643608884347e-01,1.309925818312189127e+00,1.111076932044255949e+00,1.179921809295392254e+00,1.000000000000000000e+00,9.292226687345027658e-01
9.639616801947822333e-01,1.000000000000000000e+00,9.639616801947822333e-01,1.309928203379123079e+00,1.111077591163499356e+00,1.179922895627410151e+00,1.000000000000000000e+00,9.292221208839476221e-01
9.639613960819204408e-01,1.000000000000000000e+00,9.639613960819204408e-01,1.309930587999994289e+00,1.111078250157859104e+00,1.179923981753926876e+00,1.000000000000000000e+00,9.292215731362051256e-01
9.639611120223041674e-01,1.000000000000000000e+00,9.639611120223041674e-01,1.309932972174797650e+00,1.111078909027335193e+00,1.179925067674941985e+00,1.000000000000000000e+00,9.292210254912772749e-01
9.639608280159321918e-01,1.000000000000000000e+00,9.639608280159321918e-01,1.309935355903531606e+00,1.111079567771927845e+00,1.179926153390455257e+00,1.000000000000000000e+00,9.292204779491616273e-01
9.639605440628066235e-01,1.000000000000000000e+00,9.639605440628066235e-01,1.309937739186190608e+00,1.111080226391636394e+00,1.179927238900465802e+00,1.000000000000000000e+00,9.292199305098621798e-01
9.639602601629272405e-01,1.000000000000000000e+00,9.639602601629272405e-01,1.309940122022771103e+00,1.111080884886460840e+00,1.179928324204973844e+00,1.000000000000000000e+00,9.292193831733783771e-01
9.639599763162938206e-01,1.000000000000000000e+00,9.639599763162938206e-01,1.309942504413269093e+00,1.111081543256401183e+00,1.179929409303978050e+00,1.000000000000000000e+00,9.292188359397097752e-01
9.639596925229075852e-01,1.000000000000000000e+00,9.639596925229075852e-01,1.309944886357681249e+00,1.111082201501457201e+00,1.179930494197478641e+00,1.000000000000000000e+00,9.292182888088584836e-01
9.639594087827684232e-01,1.000000000000000000e+00,9.639594087827684232e-01,1.309947267856004016e+00,1.111082859621628893e+00,1.179931578885475174e+00,1.000000000000000000e+00,9.292177417808243911e-01
9.639591250958770008e-01,1.000000000000000000e+00,9.639591250958770008e-01,1.309949648908232733e+00,1.111083517616915817e+00,1.179932663367966983e+00,1.000000000000000000e+00,9.292171948556086081e-01
9.639588414622340951e-01,1.000000000000000000e+00,9.639588414622340951e-01,1.309952029514363847e+00,1.111084175487318193e+00,1.179933747644954067e+00,1.000000000000000000e+00,9.292166480332125778e-01
9.639585578818392619e-01,1.000000000000000000e+00,9.639585578818392619e-01,1.309954409674393805e+00,1.111084833232835356e+00,1.179934831716435317e+00,1.000000000000000000e+00,9.292161013136353009e-01
9.639582743546936117e-01,1.000000000000000000e+00,9.639582743546936117e-01,1.309956789388319498e+00,1.111085490853467972e+00,1.179935915582411621e+00,1.000000000000000000e+00,9.292155546968787760e-01
9.639579908807970332e-01,1.000000000000000000e+00,9.639579908807970332e-01,1.309959168656136042e+00,1.111086148349215152e+00,1.179936999242881202e+00,1.000000000000000000e+00,9.292150081829427810e-01
9.639577074601499707e-01,1.000000000000000000e+00,9.639577074601499707e-01,1.309961547477839217e+00,1.111086805720076898e+00,1.179938082697843615e+00,1.000000000000000000e+00,9.292144617718280930e-01
