# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.943382025160645288e-01,1.000000000000000000e+00,9.943382025160645288e-01,1.061083333787176342e+00,1.032080928224974103e+00,1.051316780399810691e+00,1.000000000000000000e+00,9.887084609828781234e-01
9.943367876647219994e-01,1.000000000000000000e+00,9.943367876647219994e-01,1.061094561634376543e+00,1.032085038647620800e+00,1.051323423858582462e+00,1.000000000000000000e+00,9.887056473033984938e-01
9.943353728230255317e-01,1.000000000000000000e+00,9.943353728230255317e-01,1.061105789447642556e+00,1.032089148998576178e+00,1.051330067203252394e+00,1.000000000000000000e+00,9.887028336471052059e-01
9.943339579909777903e-01,1.000000000000000000e+00,9.943339579909777903e-01,1.061117017226959058e+00,1.032093259277836461e+00,1.051336710433815602e+00,1.000000000000000000e+00,9.887000200140035888e-01
9.943325431685814397e-01,1.000000000000000000e+00,9.943325431685814397e-01,1.061128244972303181e+00,1.032097369485396099e+00,1.051343353550262982e+00,1.000000000000000000e+00,9.886972064040988606e-01
9.943311283558377012e-01,1.000000000000000000e+00,9.943311283558377012e-01,1.061139472683654272e+00,1.032101479621249540e+00,1.051349996552585209e+00,1.000000000000000000e+00,9.886943928173933527e-01
9.943297135527495723e-01,1.000000000000000000e+00,9.943297135527495723e-01,1.061150700360996124e+00,1.032105589685393232e+00,1.051356639440778284e+00,1.000000000000000000e+00,9.886915792538930603e-01
9.943282987593180522e-01,1.000000000000000000e+00,9.943282987593180522e-01,1.061161928004312305e+00,1.032109699677823400e+00,1.051363282214835770e+00,1.000000000000000000e+00,9.886887657135996488e-01
9.943268839755462496e-01,1.000000000000000000e+00,9.943268839755462496e-01,1.061173155613577945e+00,1.032113809598533605e+00,1.051369924874747230e+00,1.000000000000000000e+00,9.886859521965194464e-01
9.943254692014357188e-01,1.000000000000000000e+00,9.943254692014357188e-01,1.061184383188778169e+00,1.032117919447520293e+00,1.051376567420508223e+00,1.000000000000000000e+00,9.886831387026553397e-01
9.943240544369885692e-01,1.000000000000000000e+00,9.943240544369885692e-01,1.061195610729895211e+00,1.032122029224779469e+00,1.051383209852112310e+00,1.000000000000000000e+00,9.886803252320114366e-01
9.943226396822067992e-01,1.000000000000000000e+00,9.943226396822067992e-01,1.061206838236907535e+00,1.032126138930305581e+00,1.051389852169550609e+00,1.000000000000000000e+00,9.886775117845916228e-01
9.943212249370927402e-01,1.000000000000000000e+00,9.943212249370927402e-01,1.061218065709795599e+00,1.032130248564093744e+00,1.051396494372815793e+00,1.000000000000000000e+00,9.886746983604005612e-01
9.943198102016481688e-01,1.000000000000000000e+00,9.943198102016481688e-01,1.061229293148544972e+00,1.032134358126141072e+00,1.051403136461903642e+00,1.000000000000000000e+00,9.886718849594415826e-01
9.943183954758754162e-01,1.000000000000000000e+00,9.943183954758754162e-01,1.061240520553131450e+00,1.032138467616440902e+00,1.051409778436803943e+00,1.000000000000000000e+00,9.886690715817193498e-01
