# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.684659598438553063e-01,1.000000000000000000e+00,9.684659598438553063e-01,1.272230797086648657e+00,1.100454275694508155e+00,1.162454336509658903e+00,1.000000000000000000e+00,9.379263153762799066e-01
9.684652305437497777e-01,1.000000000000000000e+00,9.684652305437497777e-01,1.272236882669867342e+00,1.100456024495220619e+00,1.162457205860971010e+00,1.000000000000000000e+00,9.379249027721584531e-01
9.684645012905597206e-01,1.000000000000000000e+00,9.684645012905597206e-01,1.272242967867678765e+00,1.100457773174023268e+00,1.162460075014229099e+00,1.000000000000000000e+00,9.379234902599725698e-01
9.684637720842856901e-01,1.000000000000000000e+00,9.684637720842856901e-01,1.272249052680074932e+00,1.100459521730916101e+00,1.162462943969432949e+00,1.000000000000000000e+00,9.379220778397232561e-01
9.684630429249287964e-01,1.000000000000000000e+00,9.684630429249287964e-01,1.272255137107043188e+00,1.100461270165897343e+00,1.162465812726579450e+00,1.000000000000000000e+00,9.379206655114125102e-01
9.684623138124897057e-01,1.000000000000000000e+00,9.684623138124897057e-01,1.272261221148573984e+00,1.100463018478967214e+00,1.162468681285667271e+00,1.000000000000000000e+00,9.379192532750413314e-01
9.684615847469699723e-01,1.000000000000000000e+00,9.684615847469699723e-01,1.272267304804659993e+00,1.100464766670125272e+00,1.162471549646696634e+00,1.000000000000000000e+00,9.379178411306124952e-01
9.684608557283704844e-01,1.000000000000000000e+00,9.684608557283704844e-01,1.272273388075288336e+00,1.100466514739369961e+00,1.162474417809664873e+00,1.000000000000000000e+00,9.379164290781276669e-01
9.684601267566920191e-01,1.000000000000000000e+00,9.684601267566920191e-01,1.272279470960453018e+00,1.100468262686702170e+00,1.162477285774571989e+00,1.000000000000000000e+00,9.379150171175879569e-01
9.684593978319356866e-01,1.000000000000000000e+00,9.684593978319356866e-01,1.272285553460139385e+00,1.100470010512119456e+00,1.162480153541414651e+00,1.000000000000000000e+00,9.379136052489954745e-01
9.684586689541029303e-01,1.000000000000000000e+00,9.684586689541029303e-01,1.272291635574340773e+00,1.100471758215622708e+00,1.162483021110192860e+00,1.000000000000000000e+00,9.379121934723527731e-01
9.684579401231944162e-01,1.000000000000000000e+00,9.684579401231944162e-01,1.272297717303046527e+00,1.100473505797210816e+00,1.162485888480905505e+00,1.000000000000000000e+00,9.379107817876608522e-01
9.684572113392110326e-01,1.000000000000000000e+00,9.684572113392110326e-01,1.272303798646246209e+00,1.100475253256882890e+00,1.162488755653550143e+00,1.000000000000000000e+00,9.379093701949212658e-01
9.684564826021540007e-01,1.000000000000000000e+00,9.684564826021540007e-01,1.272309879603931382e+00,1.100477000594638932e+00,1.162491622628126331e+00,1.000000000000000000e+00,9.379079586941362345e-01
9.684557539120244307e-01,1.000000000000000000e+00,9.684557539120244307e-01,1.272315960176091165e+00,1.100478747810478053e+00,1.162494489404632514e+00,1.000000000000000000e+00,9.379065472853076457e-01
9.684550252688233218e-01,1.000000000000000000e+00,9.684550252688233218e-01,1.272322040362714457e+00,1.100480494904399142e+00,1.162497355983066694e+00,1.000000000000000000e+00,9.379051359684371647e-01
9.684542966725510071e-01,1.000000000000000000e+00,9.684542966725510071e-01,1.272328120163795484e+00,1.100482241876402645e+00,1.162500222363429092e+00,1.000000000000000000e+00,9.379037247435254576e-01
9.684535681232097071e-01,1.000000000000000000e+00,9.684535681232097071e-01,1.272334199579319147e+00,1.100483988726487006e+00,1.162503088545716157e+00,1.000000000000000000e+00,9.379023136105764102e-01
9.684528396208000878e-01,1.000000000000000000e+00,9.684528396208000878e-01,1.272340278609279451e+00,1.100485735454652003e+00,1.162505954529928553e+00,1.000000000000000000e+00,9.379009025695911328e-01
9.684521111653227043e-01,1.000000000000000000e+00,9.684521111653227043e-01,1.272346357253665960e+00,1.100487482060897415e+00,1.162508820316064506e+00,1.000000000000000000e+00,9.378994916205705135e-01
