# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
1.022306927875877181e+00,1.000000000000000000e+00,1.022306927875877181e+00,8.498286952354758839e-01,9.414680954647698385e-01,9.044766088292836015e-01,1.000000000000000000e+00,1.045111454783014038e+00
1.022305755136387218e+00,1.000000000000000000e+00,1.022305755136387218e+00,8.498369835960027929e-01,9.414723271469183086e-01,9.044835226294800634e-01,1.000000000000000000e+00,1.045109056984978801e+00
1.022304582364566894e+00,1.000000000000000000e+00,1.022304582364566894e+00,8.498452722450992036e-01,9.414765589056114381e-01,9.044904365458160678e-01,1.000000000000000000e+00,1.045106659123591575e+00
1.022303409560417098e+00,1.000000000000000000e+00,1.022303409560417098e+00,8.498535611827570113e-01,9.414807907408403453e-01,9.044973505782771817e-01,1.000000000000000000e+00,1.045104261198853912e+00
1.022302236723940272e+00,1.000000000000000000e+00,1.022302236723940272e+00,8.498618504089631154e-01,9.414850226525941501e-01,9.045042647268456415e-01,1.000000000000000000e+00,1.045101863210771143e+00
1.022301063855138192e+00,1.000000000000000000e+00,1.022301063855138192e+00,8.498701399237115206e-01,9.414892546408651919e-01,9.045111789915095679e-01,1.000000000000000000e+00,1.045099465159347263e+00
1.022299890954012414e+00,1.000000000000000000e+00,1.022299890954012414e+00,8.498784297269930121e-01,9.414934867056449219e-01,9.045180933722539729e-01,1.000000000000000000e+00,1.045097067044585604e+00
1.022298718020564490e+00,1.000000000000000000e+00,1.022298718020564490e+00,8.498867198187957106e-01,9.414977188469222380e-01,9.045250078690617590e-01,1.000000000000000000e+00,1.045094668866489718e+00
1.022297545054797085e+00,1.000000000000000000e+00,1.022297545054797085e+00,8.498950101991092909e-01,9.415019510646881473e-01,9.045319224819179382e-01,1.000000000000000000e+00,1.045092270625064934e+00
1.022296372056711533e+00,1.000000000000000000e+00,1.022296372056711533e+00,8.499033008679254264e-01,9.415061833589338791e-01,9.045388372108080777e-01,1.000000000000000000e+00,1.045089872320314361e+00
1.022295199026309387e+00,1.000000000000000000e+00,1.022295199026309387e+00,8.499115918252355684e-01,9.415104157296505516e-01,9.045457520557179665e-01,1.000000000000000000e+00,1.045087473952241552e+00
1.022294025963592645e+00,1.000000000000000000e+00,1.022294025963592645e+00,8.499198830710285035e-01,9.415146481768283948e-01,9.045526670166315064e-01,1.000000000000000000e+00,1.045085075520850726e+00
1.022292852868563751e+00,1.000000000000000000e+00,1.022292852868563751e+00,8.499281746052937958e-01,9.415188807004575278e-01,9.045595820935329323e-01,1.000000000000000000e+00,1.045082677026146989e+00
1.022291679741222925e+00,1.000000000000000000e+00,1.022291679741222925e+00,8.499364664280265602e-01,9.415231133005312891e-01,9.045664972864106979e-01,1.000000000000000000e+00,1.045080278468131008e+00
1.022290506581573277e+00,1.000000000000000000e+00,1.022290506581573277e+00,8.499447585392114757e-01,9.415273459770372444e-01,9.045734125952453741e-01,1.000000000000000000e+00,1.045077879846809665e+00
1.022289333389616139e+00,1.000000000000000000e+00,1.022289333389616139e+00,8.499530509388443233e-01,9.415315787299690653e-01,9.045803280200265251e-01,1.000000000000000000e+00,1.045075481162185627e+00
1.022288160165353510e+00,1.000000000000000000e+00,1.022288160165353510e+00,8.499613436269095601e-01,9.415358115593146504e-01,9.045872435607338335e-01,1.000000000000000000e+00,1.045073082414263554e+00
1.022286986908787387e+00,1.000000000000000000e+00,1.022286986908787387e+00,8.499696366034017458e-01,9.415400444650665612e-01,9.045941592173558643e-01,1.000000000000000000e+00,1.045070683603047224e+00
1.022285813619918882e+00,1.000000000000000000e+00,1.022285813619918882e+00,8.499779298683113327e-01,9.415442774472156939e-01,9.046010749898778514e-01,1.000000000000000000e+00,1.045068284728539521e+00
1.022284640298749991e+00,1.000000000000000000e+00,1.022284640298749991e+00,8.499862234216264412e-01,9.415485105057518345e-01,9.046079908782824752e-01,1.000000000000000000e+00,1.045065885790744664e+00
1.022283466945282937e+00,1.000000000000000000e+00,1.022283466945282937e+00,8.499945172633386337e-01,9.415527436406661010e-01,9.046149068825558581e-01,1.000000000000000000e+00,1.045063486789667317e+00
1.022282293559519051e+00,1.000000000000000000e+00,1.022282293559519051e+00,8.500028113934394725e-01,9.415569768519500560e-01,9.046218230026840113e-01,1.000000000000000000e+00,1.045061087725310589e+00
1.022281120141460775e+00,1.000000000000000000e+00,1.022281120141460775e+00,8.500111058119158569e-01,9.415612101395927080e-01,9.046287392386490600e-01,1.000000000000000000e+00,1.045058688597679808e+00
1.022279946691109220e+00,1.000000000000000000e+00,1.022279946691109220e+00,8.500194005187627910e-01,9.415654435035868408e-01,9.046356555904396801e-01,1.000000000000000000e+00,1.045056289406777195e+00
1.022278773208466385e+00,1.000000000000000000e+00,1.022278773208466385e+00,8.500276955139681734e-01,9.415696769439221292e-01,9.046425720580385521e-01,1.000000000000000000e+00,1.045053890152606968e+00
1.022277599693534045e+00,1.000000000000000000e+00,1.022277599693534045e+00,8.500359907975225671e-01,9.415739104605895804e-01,9.046494886414313541e-01,1.000000000000000000e+00,1.045051490835173347e+00
1.022276426146314421e+00,1.000000000000000000e+00,1.022276426146314421e+00,8.500442863694155360e-01,9.415781440535794244e-01,9.046564053406017658e-01,1.000000000000000000e+00,1.045049091454480994e+00
1.022275252566808623e+00,1.000000000000000000e+00,1.022275252566808623e+00,8.500525822296397527e-01,9.415823777228834457e-01,9.046633221555369087e-01,1.000000000000000000e+00,1.045046692010532352e+00
1.022274078955018428e+00,1.000000000000000000e+00,1.022274078955018428e+00,8.500608783781842259e-01,9.415866114684918742e-01,9.046702390862204624e-01,1.000000000000000000e+00,1.045044292503331196e+00
1.022272905310946944e+00,1.000000000000000000e+00,1.022272905310946944e+00,8.500691748150374094e-01,9.415908452903943848e-01,9.046771561326362177e-01,1.000000000000000000e+00,1.045041892932884187e+00
1.022271731634594616e+00,1.000000000000000000e+00,1.022271731634594616e+00,8.500774715401924198e-01,9.415950791885832061e-01,9.046840732947709629e-01,1.000000000000000000e+00,1.045039493299192657e+00
1.022270557925963663e+00,1.000000000000000000e+00,1.022270557925963663e+00,8.500857685536404862e-01,9.415993131630495672e-01,9.046909905726107093e-01,1.000000000000000000e+00,1.045037093602261047e+00
1.022269384185055419e+00,1.000000000000000000e+00,1.022269384185055419e+00,8.500940658553685081e-01,9.416035472137822548e-01,9.046979079661371381e-01,1.000000000000000000e+00,1.045034693842092466e+00
1.022268210411872547e+00,1.000000000000000000e+00,1.022268210411872547e+00,8.501023634453709343e-01,9.416077813407743857e-01,9.047048254753390362e-01,1.000000000000000000e+00,1.045032294018692465e+00
1.022267036606416601e+00,1.000000000000000000e+00,1.022267036606416601e+00,8.501106613236338871e-01,9.416120155440144135e-01,9.047117431001974186e-01,1.000000000000000000e+00,1.045029894132064596e+00
1.022265862768688915e+00,1.000000000000000000e+00,1.022265862768688915e+00,8.501189594901500390e-01,9.416162498234942335e-01,9.047186608406994068e-01,1.000000000000000000e+00,1.045027494182211969e+00
1.022264688898691265e+00,1.000000000000000000e+00,1.022264688898691265e+00,8.501272579449121736e-01,9.416204841792057412e-01,9.047255786968319002e-01,1.000000000000000000e+00,1.045025094169138136e+00
1.022263514996426315e+00,1.000000000000000000e+00,1.022263514996426315e+00,8.501355566879055248e-01,9.416247186111373901e-01,9.047324966685755809e-01,1.000000000000000000e+00,1.045022694092848647e+00
1.022262341061894730e+00,1.000000000000000000e+00,1.022262341061894730e+00,8.501438557191227652e-01,9.416289531192808537e-01,9.047394147559173483e-01,1.000000000000000000e+00,1.045020293953345503e+00
1.022261167095099177e+00,1.000000000000000000e+00,1.022261167095099177e+00,8.501521550385569004e-01,9.416331877036282494e-01,9.047463329588442127e-01,1.000000000000000000e+00,1.045017893750634252e+00
1.022259993096041208e+00,1.000000000000000000e+00,1.022259993096041208e+00,8.501604546461964951e-01,9.416374223641694741e-01,9.047532512773398539e-01,1.000000000000000000e+00,1.045015493484718228e+00
1.022258819064723045e+00,1.000000000000000000e+00,1.022258819064723045e+00,8.501687545420274494e-01,9.416416571008929814e-01,9.047601697113856201e-01,1.000000000000000000e+00,1.045013093155602091e+00
1.022257645001144910e+00,1.000000000000000000e+00,1.022257645001144910e+00,8.501770547260476540e-01,9.416458919137933314e-01,9.047670882609720744e-01,1.000000000000000000e+00,1.045010692763286730e+00
1.022256470905310355e+00,1.000000000000000000e+00,1.022256470905310355e+00,8.501853551982418988e-01,9.416501268028586447e-01,9.047740069260805651e-01,1.000000000000000000e+00,1.045008292307779696e+00
1.022255296777220490e+00,1.000000000000000000e+00,1.022255296777220490e+00,8.501936559586050768e-01,9.416543617680819267e-01,9.047809257066991018e-01,1.000000000000000000e+00,1.045005891789083208e+00
1.022254122616877092e+00,1.000000000000000000e+00,1.022254122616877092e+00,8.502019570071234211e-01,9.416585968094514092e-01,9.047878446028091437e-01,1.000000000000000000e+00,1.045003491207201263e+00
1.022252948424282160e+00,1.000000000000000000e+00,1.022252948424282160e+00,8.502102583437900485e-01,9.416628319269597647e-01,9.047947636143984784e-01,1.000000000000000000e+00,1.045001090562138080e+00
1.022251774199437024e+00,1.000000000000000000e+00,1.022251774199437024e+00,8.502185599685931905e-01,9.416670671205964460e-01,9.048016827414498975e-01,1.000000000000000000e+00,1.044998689853896767e+00
1.022250599942344129e+00,1.000000000000000000e+00,1.022250599942344129e+00,8.502268618815242984e-01,9.416713023903529045e-01,9.048086019839494121e-01,1.000000000000000000e+00,1.044996289082482432e+00
