# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.916769763297919038e-01,1.000000000000000000e+00,9.916769763297919038e-01,1.082275772063096886e+00,1.039735725285306778e+00,1.063692399378655562e+00,1.000000000000000000e+00,9.834232253825986314e-01
9.916770924023214917e-01,1.000000000000000000e+00,9.916770924023214917e-01,1.082274844582507889e+00,1.039735394728153794e+00,1.063691864785648145e+00,1.000000000000000000e+00,9.834234555955224666e-01
9.916772084749445604e-01,1.000000000000000000e+00,9.916772084749445604e-01,1.082273917101433947e+00,1.039735064170445256e+00,1.063691330191758988e+00,1.000000000000000000e+00,9.834236858086586874e-01
9.916773245476624421e-01,1.000000000000000000e+00,9.916773245476624421e-01,1.082272989619878167e+00,1.039734733612182271e+00,1.063690795596990979e+00,1.000000000000000000e+00,9.834239160220098475e-01
9.916774406204732495e-01,1.000000000000000000e+00,9.916774406204732495e-01,1.082272062137840551e+00,1.039734403053364842e+00,1.063690261001343007e+00,1.000000000000000000e+00,9.834241462355722829e-01
9.916775566933790920e-01,1.000000000000000000e+00,9.916775566933790920e-01,1.082271134655316436e+00,1.039734072493991413e+00,1.063689726404812630e+00,1.000000000000000000e+00,9.834243764493501017e-01
9.916776727663787483e-01,1.000000000000000000e+00,9.916776727663787483e-01,1.082270207172311149e+00,1.039733741934063538e+00,1.063689191807403622e+00,1.000000000000000000e+00,9.834246066633409722e-01
9.916777888394724405e-01,1.000000000000000000e+00,9.916777888394724405e-01,1.082269279688821584e+00,1.039733411373580552e+00,1.063688657209113098e+00,1.000000000000000000e+00,9.834248368775453386e-01
9.916779049126598355e-01,1.000000000000000000e+00,9.916779049126598355e-01,1.082268352204852624e+00,1.039733080812543786e+00,1.063688122609945053e+00,1.000000000000000000e+00,9.834250670919624238e-01
9.916780209859418216e-01,1.000000000000000000e+00,9.916780209859418216e-01,1.082267424720396276e+00,1.039732750250950799e+00,1.063687588009893936e+00,1.000000000000000000e+00,9.834252973065941150e-01
9.916781370593175104e-01,1.000000000000000000e+00,9.916781370593175104e-01,1.082266497235458758e+00,1.039732419688803589e+00,1.063687053408963745e+00,1.000000000000000000e+00,9.834255275214385250e-01
9.916782531327882344e-01,1.000000000000000000e+00,9.916782531327882344e-01,1.082265569750035183e+00,1.039732089126100156e+00,1.063686518807151815e+00,1.000000000000000000e+00,9.834257577364984293e-01
9.916783692063518840e-01,1.000000000000000000e+00,9.916783692063518840e-01,1.082264642264132881e+00,1.039731758562843611e+00,1.063685984204462143e+00,1.000000000000000000e+00,9.834259879517696090e-01
9.916784852800099026e-01,1.000000000000000000e+00,9.916784852800099026e-01,1.082263714777745411e+00,1.039731427999031066e+00,1.063685449600890509e+00,1.000000000000000000e+00,9.834262181672548397e-01
9.916786013537622901e-01,1.000000000000000000e+00,9.916786013537622901e-01,1.082262787290874106e+00,1.039731097434663853e+00,1.063684914996438913e+00,1.000000000000000000e+00,9.834264483829542325e-01
9.916787174276083805e-01,1.000000000000000000e+00,9.916787174276083805e-01,1.082261859803520743e+00,1.039730766869741974e+00,1.063684380391107132e+00,1.000000000000000000e+00,9.834266785988663440e-01
9.916788335015489508e-01,1.000000000000000000e+00,9.916788335015489508e-01,1.082260932315682878e+00,1.039730436304264316e+00,1.063683845784894277e+00,1.000000000000000000e+00,9.834269088149928395e-01
9.916789495755834460e-01,1.000000000000000000e+00,9.916789495755834460e-01,1.082260004827363842e+00,1.039730105738232879e+00,1.063683311177802571e+00,1.000000000000000000e+00,9.834271390313326089e-01
9.916790656497121992e-01,1.000000000000000000e+00,9.916790656497121992e-01,1.082259077338558306e+00,1.039729775171645221e+00,1.063682776569828681e+00,1.000000000000000000e+00,9.834273692478862072e-01
9.916791817239342111e-01,1.000000000000000000e+00,9.916791817239342111e-01,1.082258149849274709e+00,1.039729444604504227e+00,1.063682241960977048e+00,1.000000000000000000e+00,9.834275994646517471e-01
