# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.796348475506155840e-01,1.000000000000000000e+00,9.796348475506155840e-01,1.179811938139931682e+00,1.072537295636168286e+00,1.116867219899461361e+00,1.000000000000000000e+00,9.596844345355178829e-01
9.796336631644705362e-01,1.000000000000000000e+00,9.796336631644705362e-01,1.179821648337363360e+00,1.072540379820074552e+00,1.116872235672365488e+00,1.000000000000000000e+00,9.596821140050393328e-01
9.796324788093399016e-01,1.000000000000000000e+00,9.796324788093399016e-01,1.179831358301393962e+00,1.072543463896203253e+00,1.116877251273795668e+00,1.000000000000000000e+00,9.596797935381318201e-01
9.796312944852266780e-01,1.000000000000000000e+00,9.796312944852266780e-01,1.179841068031995510e+00,1.072546547864548838e+00,1.116882266703742577e+00,1.000000000000000000e+00,9.596774731348008958e-01
9.796301101921311982e-01,1.000000000000000000e+00,9.796301101921311982e-01,1.179850777529157568e+00,1.072549631725110864e+00,1.116887281962204881e+00,1.000000000000000000e+00,9.596751527950471150e-01
9.796289259300554608e-01,1.000000000000000000e+00,9.796289259300554608e-01,1.179860486792863261e+00,1.072552715477887109e+00,1.116892297049179250e+00,1.000000000000000000e+00,9.596728325188741415e-01
9.796277416990015752e-01,1.000000000000000000e+00,9.796277416990015752e-01,1.179870195823095935e+00,1.072555799122875575e+00,1.116897311964661910e+00,1.000000000000000000e+00,9.596705123062857501e-01
9.796265574989708735e-01,1.000000000000000000e+00,9.796265574989708735e-01,1.179879904619839825e+00,1.072558882660073820e+00,1.116902326708649085e+00,1.000000000000000000e+00,9.596681921572844942e-01
9.796253733299650213e-01,1.000000000000000000e+00,9.796253733299650213e-01,1.179889613183079389e+00,1.072561966089480512e+00,1.116907341281138333e+00,1.000000000000000000e+00,9.596658720718733715e-01
9.796241891919861278e-01,1.000000000000000000e+00,9.796241891919861278e-01,1.179899321512799748e+00,1.072565049411093430e+00,1.116912355682126323e+00,1.000000000000000000e+00,9.596635520500562677e-01
9.796230050850355253e-01,1.000000000000000000e+00,9.796230050850355253e-01,1.179909029608978921e+00,1.072568132624909465e+00,1.116917369911606839e+00,1.000000000000000000e+00,9.596612320918355143e-01
9.796218210091152123e-01,1.000000000000000000e+00,9.796218210091152123e-01,1.179918737471606027e+00,1.072571215730927507e+00,1.116922383969578769e+00,1.000000000000000000e+00,9.596589121972149972e-01
9.796206369642262990e-01,1.000000000000000000e+00,9.796206369642262990e-01,1.179928445100666412e+00,1.072574298729146447e+00,1.116927397856039672e+00,1.000000000000000000e+00,9.596565923661964925e-01
9.796194529503708948e-01,1.000000000000000000e+00,9.796194529503708948e-01,1.179938152496136761e+00,1.072577381619561843e+00,1.116932411570981998e+00,1.000000000000000000e+00,9.596542725987838862e-01
9.796182689675509980e-01,1.000000000000000000e+00,9.796182689675509980e-01,1.179947859658008413e+00,1.072580464402174139e+00,1.116937425114406857e+00,1.000000000000000000e+00,9.596519528949810640e-01
9.796170850157676080e-01,1.000000000000000000e+00,9.796170850157676080e-01,1.179957566586260720e+00,1.072583547076979560e+00,1.116942438486307587e+00,1.000000000000000000e+00,9.596496332547896913e-01
9.796159010950233892e-01,1.000000000000000000e+00,9.796159010950233892e-01,1.179967273280878581e+00,1.072586629643976330e+00,1.116947451686681969e+00,1.000000000000000000e+00,9.596473136782146529e-01
9.796147172053190078e-01,1.000000000000000000e+00,9.796147172053190078e-01,1.179976979741845788e+00,1.072589712103163118e+00,1.116952464715525783e+00,1.000000000000000000e+00,9.596449941652571702e-01
9.796135333466564621e-01,1.000000000000000000e+00,9.796135333466564621e-01,1.179986685969146576e+00,1.072592794454537035e+00,1.116957477572836366e+00,1.000000000000000000e+00,9.596426747159207959e-01
9.796123495190381947e-01,1.000000000000000000e+00,9.796123495190381947e-01,1.179996391962764291e+00,1.072595876698096751e+00,1.116962490258609941e+00,1.000000000000000000e+00,9.596403553302103040e-01
9.796111657224648717e-01,1.000000000000000000e+00,9.796111657224648717e-01,1.180006097722681613e+00,1.072598958833839378e+00,1.116967502772841403e+00,1.000000000000000000e+00,9.596380360081265826e-01
9.796099819569384914e-01,1.000000000000000000e+00,9.796099819569384914e-01,1.180015803248888329e+00,1.072602040861764472e+00,1.116972515115531861e+00,1.000000000000000000e+00,9.596357167496734064e-01
9.796087982224620516e-01,1.000000000000000000e+00,9.796087982224620516e-01,1.180025508541354684e+00,1.072605122781866482e+00,1.116977527286669769e+00,1.000000000000000000e+00,9.596333975548563266e-01
9.796076145190347750e-01,1.000000000000000000e+00,9.796076145190347750e-01,1.180035213600082011e+00,1.072608204594148296e+00,1.116982539286260900e+00,1.000000000000000000e+00,9.596310784236737890e-01
9.796064308466599924e-01,1.000000000000000000e+00,9.796064308466599924e-01,1.180044918425046552e+00,1.072611286298605693e+00,1.116987551114298372e+00,1.000000000000000000e+00,9.596287593561320106e-01
