# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio08/11/202200:00
9.752563217088382475e-01,1.000000000000000000e+00,9.752563217088382475e-01,1.215847026460019409e+00,1.083756663484101823e+00,1.135140218732949791e+00,1.000000000000000000e+00,9.511248930330530316e-01
9.752552711336172075e-01,1.000000000000000000e+00,9.752552711336172075e-01,1.215855704580151686e+00,1.083759312129558783e+00,1.135144539438387445e+00,1.000000000000000000e+00,9.511228438739052216e-01
9.752542205956796773e-01,1.000000000000000000e+00,9.752542205956796773e-01,1.215864382407098709e+00,1.083761960660475809e+00,1.135148859960432688e+00,1.000000000000000000e+00,9.511207947896865855e-01
9.752531700950251015e-01,1.000000000000000000e+00,9.752531700950251015e-01,1.215873059940862477e+00,1.083764609076856678e+00,1.135153180299091513e+00,1.000000000000000000e+00,9.511187457803960132e-01
9.752521196316569219e-01,1.000000000000000000e+00,9.752521196316569219e-01,1.215881737181418343e+00,1.083767257378696502e+00,1.135157500454356150e+00,1.000000000000000000e+00,9.511166968460396109e-01
9.752510692055756936e-01,1.000000000000000000e+00,9.752510692055756936e-01,1.215890414128747876e+00,1.083769905565992620e+00,1.135161820426221269e+00,1.000000000000000000e+00,9.511146479866185999e-01
9.752500188167820827e-01,1.000000000000000000e+00,9.752500188167820827e-01,1.215899090782852188e+00,1.083772553638748359e+00,1.135166140214692421e+00,1.000000000000000000e+00,9.511125992021337572e-01
9.752489684652796420e-01,1.000000000000000000e+00,9.752489684652796420e-01,1.215907767143701301e+00,1.083775201596957727e+00,1.135170459819759170e+00,1.000000000000000000e+00,9.511105504925919663e-01
9.752479181510681494e-01,1.000000000000000000e+00,9.752479181510681494e-01,1.215916443211290776e+00,1.083777849440621832e+00,1.135174779241423515e+00,1.000000000000000000e+00,9.511085018579925610e-01
9.752468678741496033e-01,1.000000000000000000e+00,9.752468678741496033e-01,1.215925118985602849e+00,1.083780497169738677e+00,1.135179098479681903e+00,1.000000000000000000e+00,9.511064532983389830e-01
9.752458176345257801e-01,1.000000000000000000e+00,9.752458176345257801e-01,1.215933794466622642e+00,1.083783144784306485e+00,1.135183417534530559e+00,1.000000000000000000e+00,9.511044048136346740e-01
9.752447674321985671e-01,1.000000000000000000e+00,9.752447674321985671e-01,1.215942469654334612e+00,1.083785792284323257e+00,1.135187736405967041e+00,1.000000000000000000e+00,9.511023564038830758e-01
9.752437172671679644e-01,1.000000000000000000e+00,9.752437172671679644e-01,1.215951144548728102e+00,1.083788439669789216e+00,1.135192055093989572e+00,1.000000000000000000e+00,9.511003080690838551e-01
9.752426671394364144e-01,1.000000000000000000e+00,9.752426671394364144e-01,1.215959819149788901e+00,1.083791086940702364e+00,1.135196373598596598e+00,1.000000000000000000e+00,9.510982598092415641e-01
9.752416170490061376e-01,1.000000000000000000e+00,9.752416170490061376e-01,1.215968493457494803e+00,1.083793734097059147e+00,1.135200691919781013e+00,1.000000000000000000e+00,9.510962116243603104e-01
9.752405669958770229e-01,1.000000000000000000e+00,9.752405669958770229e-01,1.215977167471845144e+00,1.083796381138862230e+00,1.135205010057547037e+00,1.000000000000000000e+00,9.510941635144396500e-01
9.752395169800520680e-01,1.000000000000000000e+00,9.752395169800520680e-01,1.215985841192812833e+00,1.083799028066106729e+00,1.135209328011886010e+00,1.000000000000000000e+00,9.510921154794852450e-01
9.752384670015320500e-01,1.000000000000000000e+00,9.752384670015320500e-01,1.215994514620388767e+00,1.083801674878791976e+00,1.135213645782797709e+00,1.000000000000000000e+00,9.510900675194983167e-01
9.752374170603183012e-01,1.000000000000000000e+00,9.752374170603183012e-01,1.216003187754561399e+00,1.083804321576918195e+00,1.135217963370280581e+00,1.000000000000000000e+00,9.510880196344811965e-01
9.752363671564128200e-01,1.000000000000000000e+00,9.752363671564128200e-01,1.216011860595311855e+00,1.083806968160482276e+00,1.135222280774330406e+00,1.000000000000000000e+00,9.510859718244376593e-01
9.752353172898167166e-01,1.000000000000000000e+00,9.752353172898167166e-01,1.216020533142625926e+00,1.083809614629482443e+00,1.135226597994944076e+00,1.000000000000000000e+00,9.510839240893694813e-01
9.752342674605316564e-01,1.000000000000000000e+00,9.752342674605316564e-01,1.216029205396492729e+00,1.083812260983919140e+00,1.135230915032121146e+00,1.000000000000000000e+00,9.510818764292797711e-01
9.752332176685584164e-01,1.000000000000000000e+00,9.752332176685584164e-01,1.216037877356897834e+00,1.083814907223789925e+00,1.135235231885858287e+00,1.000000000000000000e+00,9.510798288441698611e-01
9.752321679139006605e-01,1.000000000000000000e+00,9.752321679139006605e-01,1.216046549023821255e+00,1.083817553349092355e+00,1.135239548556150835e+00,1.000000000000000000e+00,9.510777813340465237e-01
9.752311181965575004e-01,1.000000000000000000e+00,9.752311181965575004e-01,1.216055220397253667e+00,1.083820199359826209e+00,1.135243865042997902e+00,1.000000000000000000e+00,9.510757338989078713e-01
9.752300685165311567e-01,1.000000000000000000e+00,9.752300685165311567e-01,1.216063891477182635e+00,1.083822845255991041e+00,1.135248181346398599e+00,1.000000000000000000e+00,9.510736865387580119e-01
9.752290188738236276e-01,1.000000000000000000e+00,9.752290188738236276e-01,1.216072562263587287e+00,1.083825491037583078e+00,1.135252497466346266e+00,1.000000000000000000e+00,9.510716392536006092e-01
9.752279692684360235e-01,1.000000000000000000e+00,9.752279692684360235e-01,1.216081232756458519e+00,1.083828136704602318e+00,1.135256813402841569e+00,1.000000000000000000e+00,9.510695920434375505e-01
9.752269197003698986e-01,1.000000000000000000e+00,9.752269197003698986e-01,1.216089902955781010e+00,1.083830782257047431e+00,1.135261129155881177e+00,1.000000000000000000e+00,9.510675449082717225e-01
9.752258701696266963e-01,1.000000000000000000e+00,9.752258701696266963e-01,1.216098572861538107e+00,1.083833427694915974e+00,1.135265444725460871e+00,1.000000000000000000e+00,9.510654978481055677e-01
9.752248206762085259e-01,1.000000000000000000e+00,9.752248206762085259e-01,1.216107242473718264e+00,1.083836073018207502e+00,1.135269760111580206e+00,1.000000000000000000e+00,9.510634508629430828e-01
9.752237712201156095e-01,1.000000000000000000e+00,9.752237712201156095e-01,1.216115911792306381e+00,1.083838718226920461e+00,1.135274075314235409e+00,1.000000000000000000e+00,9.510614039527843788e-01
9.752227218013503895e-01,1.000000000000000000e+00,9.752227218013503895e-01,1.216124580817289136e+00,1.083841363321053519e+00,1.135278390333424703e+00,1.000000000000000000e+00,9.510593571176340077e-01
9.752216724199146425e-01,1.000000000000000000e+00,9.752216724199146425e-01,1.216133249548647877e+00,1.083844008300604234e+00,1.135282705169143647e+00,1.000000000000000000e+00,9.510573103574953002e-01
