# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio01/12/202200:00
9.810206390391383868e-01,1.000000000000000000e+00,9.810206390391383868e-01,1.168464974120682287e+00,1.068910067381124263e+00,1.110970869342469136e+00,1.000000000000000000e+00,9.624014942207594903e-01
9.810194200369259931e-01,1.000000000000000000e+00,9.810194200369259931e-01,1.168474942565698393e+00,1.068913274421840809e+00,1.110976080432492630e+00,1.000000000000000000e+00,9.623991024895865998e-01
9.810182010637369387e-01,1.000000000000000000e+00,9.810182010637369387e-01,1.168484910796230514e+00,1.068916481357264914e+00,1.110981291355244593e+00,1.000000000000000000e+00,9.623967108183305585e-01
9.810169821195702244e-01,1.000000000000000000e+00,9.810169821195702244e-01,1.168494878812277538e+00,1.068919688187399242e+00,1.110986502110729024e+00,1.000000000000000000e+00,9.623943192069891461e-01
9.810157632044290699e-01,1.000000000000000000e+00,9.810157632044290699e-01,1.168504846613815262e+00,1.068922894912239352e+00,1.110991712698938150e+00,1.000000000000000000e+00,9.623919276555684688e-01
9.810145443183156955e-01,1.000000000000000000e+00,9.810145443183156955e-01,1.168514814200823482e+00,1.068926101531781692e+00,1.110996923119866642e+00,1.000000000000000000e+00,9.623895361640726343e-01
9.810133254612305453e-01,1.000000000000000000e+00,9.810133254612305453e-01,1.168524781573292426e+00,1.068929308046025817e+00,1.111002133373513834e+00,1.000000000000000000e+00,9.623871447325021977e-01
9.810121066331761730e-01,1.000000000000000000e+00,9.810121066331761730e-01,1.168534748731204331e+00,1.068932514454969507e+00,1.111007343459875951e+00,1.000000000000000000e+00,9.623847533608622662e-01
9.810108878341547989e-01,1.000000000000000000e+00,9.810108878341547989e-01,1.168544715674537215e+00,1.068935720758608543e+00,1.111012553378945888e+00,1.000000000000000000e+00,9.623823620491566144e-01
9.810096690641668671e-01,1.000000000000000000e+00,9.810096690641668671e-01,1.168554682403280642e+00,1.068938926956943147e+00,1.111017763130722980e+00,1.000000000000000000e+00,9.623799707973862416e-01
9.810084503232147091e-01,1.000000000000000000e+00,9.810084503232147091e-01,1.168564648917417070e+00,1.068942133049970433e+00,1.111022972715203672e+00,1.000000000000000000e+00,9.623775796055552556e-01
9.810072316113012114e-01,1.000000000000000000e+00,9.810072316113012114e-01,1.168574615216922075e+00,1.068945339037685516e+00,1.111028182132379527e+00,1.000000000000000000e+00,9.623751884736692075e-01
9.810060129284260411e-01,1.000000000000000000e+00,9.810060129284260411e-01,1.168584581301792324e+00,1.068948544920090393e+00,1.111033391382253654e+00,1.000000000000000000e+00,9.623727974017272091e-01
9.810047942745920846e-01,1.000000000000000000e+00,9.810047942745920846e-01,1.168594547172002729e+00,1.068951750697180181e+00,1.111038600464818060e+00,1.000000000000000000e+00,9.623704063897347005e-01
9.810035756498020065e-01,1.000000000000000000e+00,9.810035756498020065e-01,1.168604512827532860e+00,1.068954956368951770e+00,1.111043809380067415e+00,1.000000000000000000e+00,9.623680154376967888e-01
9.810023570540554738e-01,1.000000000000000000e+00,9.810023570540554738e-01,1.168614478268378942e+00,1.068958161935406492e+00,1.111049018128003718e+00,1.000000000000000000e+00,9.623656245456125857e-01
9.810011384873561502e-01,1.000000000000000000e+00,9.810011384873561502e-01,1.168624443494510556e+00,1.068961367396537909e+00,1.111054226708616532e+00,1.000000000000000000e+00,9.623632337134889747e-01
9.809999199497047018e-01,1.000000000000000000e+00,9.809999199497047018e-01,1.168634408505919264e+00,1.068964572752346243e+00,1.111059435121906303e+00,1.000000000000000000e+00,9.623608429413270660e-01
9.809987014411034600e-01,1.000000000000000000e+00,9.809987014411034600e-01,1.168644373302586859e+00,1.068967778002829050e+00,1.111064643367868587e+00,1.000000000000000000e+00,9.623584522291311893e-01
9.809974829615535352e-01,1.000000000000000000e+00,9.809974829615535352e-01,1.168654337884495131e+00,1.068970983147983222e+00,1.111069851446498502e+00,1.000000000000000000e+00,9.623560615769035653e-01
9.809962645110575918e-01,1.000000000000000000e+00,9.809962645110575918e-01,1.168664302251626763e+00,1.068974188187806540e+00,1.111075059357791828e+00,1.000000000000000000e+00,9.623536709846488568e-01
9.809950460896165181e-01,1.000000000000000000e+00,9.809950460896165181e-01,1.168674266403968653e+00,1.068977393122297670e+00,1.111080267101746788e+00,1.000000000000000000e+00,9.623512804523688402e-01
9.809938276972319793e-01,1.000000000000000000e+00,9.809938276972319793e-01,1.168684230341504149e+00,1.068980597951454614e+00,1.111085474678359386e+00,1.000000000000000000e+00,9.623488899800665131e-01
9.809926093339066400e-01,1.000000000000000000e+00,9.809926093339066400e-01,1.168694194064208824e+00,1.068983802675272043e+00,1.111090682087621850e+00,1.000000000000000000e+00,9.623464995677467604e-01
9.809913909996421655e-01,1.000000000000000000e+00,9.809913909996421655e-01,1.168704157572075797e+00,1.068987007293751512e+00,1.111095889329535957e+00,1.000000000000000000e+00,9.623441092154128018e-01
9.809901726944386668e-01,1.000000000000000000e+00,9.809901726944386668e-01,1.168714120865087303e+00,1.068990211806890134e+00,1.111101096404096600e+00,1.000000000000000000e+00,9.623417189230646374e-01
9.809889544183003629e-01,1.000000000000000000e+00,9.809889544183003629e-01,1.168724083943219139e+00,1.068993416214683023e+00,1.111106303311296672e+00,1.000000000000000000e+00,9.623393286907101496e-01
9.809877361712270316e-01,1.000000000000000000e+00,9.809877361712270316e-01,1.168734046806461535e+00,1.068996620517130403e+00,1.111111510051135287e+00,1.000000000000000000e+00,9.623369385183488944e-01
9.809865179532214485e-01,1.000000000000000000e+00,9.809865179532214485e-01,1.168744009454795840e+00,1.068999824714229163e+00,1.111116716623608225e+00,1.000000000000000000e+00,9.623345484059860899e-01
9.809852997642850569e-01,1.000000000000000000e+00,9.809852997642850569e-01,1.168753971888205623e+00,1.069003028805977085e+00,1.111121923028711711e+00,1.000000000000000000e+00,9.623321583536241786e-01
9.809840816044196332e-01,1.000000000000000000e+00,9.809840816044196332e-01,1.168763934106671343e+00,1.069006232792371502e+00,1.111127129266439750e+00,1.000000000000000000e+00,9.623297683612666020e-01
9.809828634736267317e-01,1.000000000000000000e+00,9.809828634736267317e-01,1.168773896110183230e+00,1.069009436673411528e+00,1.111132335336793231e+00,1.000000000000000000e+00,9.623273784289161359e-01
9.809816453719089058e-01,1.000000000000000000e+00,9.809816453719089058e-01,1.168783857898716860e+00,1.069012640449092943e+00,1.111137541239763493e+00,1.000000000000000000e+00,9.623249885565776651e-01
9.809804272992670438e-01,1.000000000000000000e+00,9.809804272992670438e-01,1.168793819472258688e+00,1.069015844119414194e+00,1.111142746975348317e+00,1.000000000000000000e+00,9.623225987442525220e-01
9.809792092557028109e-01,1.000000000000000000e+00,9.809792092557028109e-01,1.168803780830796724e+00,1.069019047684375057e+00,1.111147952543547035e+00,1.000000000000000000e+00,9.623202089919439262e-01
9.809779912412192049e-01,1.000000000000000000e+00,9.809779912412192049e-01,1.168813741974303655e+00,1.069022251143969315e+00,1.111153157944349879e+00,1.000000000000000000e+00,9.623178192996575397e-01
9.809767732558161146e-01,1.000000000000000000e+00,9.809767732558161146e-01,1.168823702902774153e+00,1.069025454498198302e+00,1.111158363177758623e+00,1.000000000000000000e+00,9.623154296673928076e-01
9.809755552994966488e-01,1.000000000000000000e+00,9.809755552994966488e-01,1.168833663616187790e+00,1.069028657747058908e+00,1.111163568243768163e+00,1.000000000000000000e+00,9.623130400951558361e-01
9.809743373722628057e-01,1.000000000000000000e+00,9.809743373722628057e-01,1.168843624114521029e+00,1.069031860890546470e+00,1.111168773142370503e+00,1.000000000000000000e+00,9.623106505829500668e-01
9.809731194741148075e-01,1.000000000000000000e+00,9.809731194741148075e-01,1.168853584397769430e+00,1.069035063928662543e+00,1.111173977873568530e+00,1.000000000000000000e+00,9.623082611307759437e-01
9.809719016050556517e-01,1.000000000000000000e+00,9.809719016050556517e-01,1.168863544465905235e+00,1.069038266861401576e+00,1.111179182437352475e+00,1.000000000000000000e+00,9.623058717386390182e-01
9.809706837650870037e-01,1.000000000000000000e+00,9.809706837650870037e-01,1.168873504318917567e+00,1.069041469688762902e+00,1.111184386833722115e+00,1.000000000000000000e+00,9.623034824065422876e-01
9.809694659542101958e-01,1.000000000000000000e+00,9.809694659542101958e-01,1.168883463956789992e+00,1.069044672410744523e+00,1.111189591062673010e+00,1.000000000000000000e+00,9.623010931344883057e-01
9.809682481724271153e-01,1.000000000000000000e+00,9.809682481724271153e-01,1.168893423379504970e+00,1.069047875027343553e+00,1.111194795124201384e+00,1.000000000000000000e+00,9.622987039224805139e-01
9.809670304197397606e-01,1.000000000000000000e+00,9.809670304197397606e-01,1.168903382587043183e+00,1.069051077538557326e+00,1.111199999018301687e+00,1.000000000000000000e+00,9.622963147705226872e-01
9.809658126961496860e-01,1.000000000000000000e+00,9.809658126961496860e-01,1.168913341579393306e+00,1.069054279944384733e+00,1.111205202744973475e+00,1.000000000000000000e+00,9.622939256786173789e-01
9.809645950016583349e-01,1.000000000000000000e+00,9.809645950016583349e-01,1.168923300356534911e+00,1.069057482244822888e+00,1.111210406304210307e+00,1.000000000000000000e+00,9.622915366467675868e-01
9.809633773362683717e-01,1.000000000000000000e+00,9.809633773362683717e-01,1.168933258918448459e+00,1.069060684439868236e+00,1.111215609696007078e+00,1.000000000000000000e+00,9.622891476749780848e-01
