# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio16/07/202200:00
9.759190894124830651e-01,1.000000000000000000e+00,9.759190894124830651e-01,1.210375296041904303e+00,1.082081632845850239e+00,1.132408445583501511e+00,1.000000000000000000e+00,9.524180690796900661e-01
9.759180158674296557e-01,1.000000000000000000e+00,9.759180158674296557e-01,1.210384154290655934e+00,1.082084352678803985e+00,1.132412880204754835e+00,1.000000000000000000e+00,9.524159736946207211e-01
9.759169423587131798e-01,1.000000000000000000e+00,9.759169423587131798e-01,1.210393012255264855e+00,1.082087072398137062e+00,1.132417314644290629e+00,1.000000000000000000e+00,9.524138783827799104e-01
9.759158688863344144e-01,1.000000000000000000e+00,9.759158688863344144e-01,1.210401869935722630e+00,1.082089792003849693e+00,1.132421748902109115e+00,1.000000000000000000e+00,9.524117831441690774e-01
9.759147954502954692e-01,1.000000000000000000e+00,9.759147954502954692e-01,1.210410727332014380e+00,1.082092511495940768e+00,1.132426182978208073e+00,1.000000000000000000e+00,9.524096879787919967e-01
9.759137220505980093e-01,1.000000000000000000e+00,9.759137220505980093e-01,1.210419584444116792e+00,1.082095230874405623e+00,1.132430616872579288e+00,1.000000000000000000e+00,9.524075928866518881e-01
9.759126486872429229e-01,1.000000000000000000e+00,9.759126486872429229e-01,1.210428441272027422e+00,1.082097950139246700e+00,1.132435050585227643e+00,1.000000000000000000e+00,9.524054978677499728e-01
9.759115753602322085e-01,1.000000000000000000e+00,9.759115753602322085e-01,1.210437297815720958e+00,1.082100669290459116e+00,1.132439484116143369e+00,1.000000000000000000e+00,9.524034029220901365e-01
9.759105020695678645e-01,1.000000000000000000e+00,9.759105020695678645e-01,1.210446154075187630e+00,1.082103388328043092e+00,1.132443917465327576e+00,1.000000000000000000e+00,9.524013080496760431e-01
9.759094288152502239e-01,1.000000000000000000e+00,9.759094288152502239e-01,1.210455010050415003e+00,1.082106107251997296e+00,1.132448350632778045e+00,1.000000000000000000e+00,9.523992132505079145e-01
9.759083555972820623e-01,1.000000000000000000e+00,9.759083555972820623e-01,1.210463865741383538e+00,1.082108826062319062e+00,1.132452783618489445e+00,1.000000000000000000e+00,9.523971185245910798e-01
9.759072824156639347e-01,1.000000000000000000e+00,9.759072824156639347e-01,1.210472721148080355e+00,1.082111544759007282e+00,1.132457216422459556e+00,1.000000000000000000e+00,9.523950238719264272e-01
9.759062092703980618e-01,1.000000000000000000e+00,9.759062092703980618e-01,1.210481576270492576e+00,1.082114263342061289e+00,1.132461649044687713e+00,1.000000000000000000e+00,9.523929292925179535e-01
9.759051361614848874e-01,1.000000000000000000e+00,9.759051361614848874e-01,1.210490431108609100e+00,1.082116981811480194e+00,1.132466081485172138e+00,1.000000000000000000e+00,9.523908347863663248e-01
9.759040630889281864e-01,1.000000000000000000e+00,9.759040630889281864e-01,1.210499285662403279e+00,1.082119700167259113e+00,1.132470513743904394e+00,1.000000000000000000e+00,9.523887403534787577e-01
9.759029900527268486e-01,1.000000000000000000e+00,9.759029900527268486e-01,1.210508139931872229e+00,1.082122418409400044e+00,1.132474945820886925e+00,1.000000000000000000e+00,9.523866459938526985e-01
9.759019170528838716e-01,1.000000000000000000e+00,9.759019170528838716e-01,1.210516993916996409e+00,1.082125136537899879e+00,1.132479377716115287e+00,1.000000000000000000e+00,9.523845517074938094e-01
9.759008440894012537e-01,1.000000000000000000e+00,9.759008440894012537e-01,1.210525847617757611e+00,1.082127854552756174e+00,1.132483809429584820e+00,1.000000000000000000e+00,9.523824574944058652e-01
9.758997711622789950e-01,1.000000000000000000e+00,9.758997711622789950e-01,1.210534701034148508e+00,1.082130572453969597e+00,1.132488240961295745e+00,1.000000000000000000e+00,9.523803633545885328e-01
9.758986982715196490e-01,1.000000000000000000e+00,9.758986982715196490e-01,1.210543554166151781e+00,1.082133290241537704e+00,1.132492672311245174e+00,1.000000000000000000e+00,9.523782692880465861e-01
9.758976254171247700e-01,1.000000000000000000e+00,9.758976254171247700e-01,1.210552407013750331e+00,1.082136007915458498e+00,1.132497103479428224e+00,1.000000000000000000e+00,9.523761752947828008e-01
9.758965525990958012e-01,1.000000000000000000e+00,9.758965525990958012e-01,1.210561259576931725e+00,1.082138725475730867e+00,1.132501534465843562e+00,1.000000000000000000e+00,9.523740813747997302e-01
9.758954798174336309e-01,1.000000000000000000e+00,9.758954798174336309e-01,1.210570111855680864e+00,1.082141442922353258e+00,1.132505965270488302e+00,1.000000000000000000e+00,9.523719875280990399e-01
9.758944070721407016e-01,1.000000000000000000e+00,9.758944070721407016e-01,1.210578963849983314e+00,1.082144160255324117e+00,1.132510395893359556e+00,1.000000000000000000e+00,9.523698937546850596e-01
9.758933343632180124e-01,1.000000000000000000e+00,9.758933343632180124e-01,1.210587815559824199e+00,1.082146877474641888e+00,1.132514826334454439e+00,1.000000000000000000e+00,9.523678000545596767e-01
9.758922616906667846e-01,1.000000000000000000e+00,9.758922616906667846e-01,1.210596666985192638e+00,1.082149594580306351e+00,1.132519256593772283e+00,1.000000000000000000e+00,9.523657064277248896e-01
9.758911890544899048e-01,1.000000000000000000e+00,9.758911890544899048e-01,1.210605518126062874e+00,1.082152311572312398e+00,1.132523686671305096e+00,1.000000000000000000e+00,9.523636128741861384e-01
9.758901164546868179e-01,1.000000000000000000e+00,9.758901164546868179e-01,1.210614368982435352e+00,1.082155028450663359e+00,1.132528116567056875e+00,1.000000000000000000e+00,9.523615193939422019e-01
9.758890438912608545e-01,1.000000000000000000e+00,9.758890438912608545e-01,1.210623219554286312e+00,1.082157745215355016e+00,1.132532546281020958e+00,1.000000000000000000e+00,9.523594259869992973e-01
9.758879713642133469e-01,1.000000000000000000e+00,9.758879713642133469e-01,1.210632069841597103e+00,1.082160461866384038e+00,1.132536975813192237e+00,1.000000000000000000e+00,9.523573326533596450e-01
9.758868988735442951e-01,1.000000000000000000e+00,9.758868988735442951e-01,1.210640919844366170e+00,1.082163178403753534e+00,1.132541405163574710e+00,1.000000000000000000e+00,9.523552393930232451e-01
9.758858264192575849e-01,1.000000000000000000e+00,9.758858264192575849e-01,1.210649769562565981e+00,1.082165894827457731e+00,1.132545834332159496e+00,1.000000000000000000e+00,9.523531462059973141e-01
9.758847540013524391e-01,1.000000000000000000e+00,9.758847540013524391e-01,1.210658618996189650e+00,1.082168611137497294e+00,1.132550263318946815e+00,1.000000000000000000e+00,9.523510530922801864e-01
9.758836816198320774e-01,1.000000000000000000e+00,9.758836816198320774e-01,1.210667468145221193e+00,1.082171327333870892e+00,1.132554692123934226e+00,1.000000000000000000e+00,9.523489600518777465e-01
9.758826092746969438e-01,1.000000000000000000e+00,9.758826092746969438e-01,1.210676317009643732e+00,1.082174043416575637e+00,1.132559120747117065e+00,1.000000000000000000e+00,9.523468670847907713e-01
9.758815369659493699e-01,1.000000000000000000e+00,9.758815369659493699e-01,1.210685165589443946e+00,1.082176759385611087e+00,1.132563549188494001e+00,1.000000000000000000e+00,9.523447741910235909e-01
9.758804646935904659e-01,1.000000000000000000e+00,9.758804646935904659e-01,1.210694013884606957e+00,1.082179475240975020e+00,1.132567977448061702e+00,1.000000000000000000e+00,9.523426813705780924e-01
9.758793924576215639e-01,1.000000000000000000e+00,9.758793924576215639e-01,1.210702861895120330e+00,1.082182190982667214e+00,1.132572405525818393e+00,1.000000000000000000e+00,9.523405886234566076e-01
9.758783202580452176e-01,1.000000000000000000e+00,9.758783202580452176e-01,1.210711709620963861e+00,1.082184906610683894e+00,1.132576833421759188e+00,1.000000000000000000e+00,9.523384959496639102e-01
9.758772480948609829e-01,1.000000000000000000e+00,9.758772480948609829e-01,1.210720557062132885e+00,1.082187622125027060e+00,1.132581261135885420e+00,1.000000000000000000e+00,9.523364033491988900e-01
