# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio19/10/202200:00
9.735687735051479219e-01,1.000000000000000000e+00,9.735687735051479219e-01,1.229805585026541692e+00,1.087984831336752167e+00,1.142042090055871428e+00,1.000000000000000000e+00,9.478361567443179814e-01
9.735677866806876635e-01,1.000000000000000000e+00,9.735677866806876635e-01,1.229813758418659919e+00,1.087987288458892365e+00,1.142046103638686416e+00,1.000000000000000000e+00,9.478342352623330136e-01
9.735667998959139924e-01,1.000000000000000000e+00,9.735667998959139924e-01,1.229821931494611942e+00,1.087989745464321922e+00,1.142050117034056234e+00,1.000000000000000000e+00,9.478323138595706743e-01
9.735658131508274638e-01,1.000000000000000000e+00,9.735658131508274638e-01,1.229830104254386214e+00,1.087992202353039950e+00,1.142054130241978438e+00,1.000000000000000000e+00,9.478303925360318516e-01
9.735648264454306311e-01,1.000000000000000000e+00,9.735648264454306311e-01,1.229838276697968080e+00,1.087994659125045116e+00,1.142058143262451253e+00,1.000000000000000000e+00,9.478284712917214305e-01
9.735638397797244936e-01,1.000000000000000000e+00,9.735638397797244936e-01,1.229846448825339111e+00,1.087997115780334312e+00,1.142062156095468906e+00,1.000000000000000000e+00,9.478265501266410764e-01
9.735628531537098285e-01,1.000000000000000000e+00,9.735628531537098285e-01,1.229854620636497087e+00,1.087999572318910202e+00,1.142066168741035614e+00,1.000000000000000000e+00,9.478246290407920105e-01
9.735618665673890781e-01,1.000000000000000000e+00,9.735618665673890781e-01,1.229862792131418470e+00,1.088002028740768345e+00,1.142070181199143608e+00,1.000000000000000000e+00,9.478227080341786737e-01
9.735608800207631308e-01,1.000000000000000000e+00,9.735608800207631308e-01,1.229870963310091492e+00,1.088004485045907854e+00,1.142074193469790888e+00,1.000000000000000000e+00,9.478207871068027313e-01
9.735598935138335408e-01,1.000000000000000000e+00,9.735598935138335408e-01,1.229879134172507049e+00,1.088006941234328950e+00,1.142078205552978565e+00,1.000000000000000000e+00,9.478188662586668478e-01
9.735589070466015293e-01,1.000000000000000000e+00,9.735589070466015293e-01,1.229887304718647600e+00,1.088009397306029635e+00,1.142082217448701309e+00,1.000000000000000000e+00,9.478169454897733548e-01
9.735579206190680956e-01,1.000000000000000000e+00,9.735579206190680956e-01,1.229895474948502487e+00,1.088011853261008799e+00,1.142086229156958455e+00,1.000000000000000000e+00,9.478150248001236955e-01
9.735569342312356822e-01,1.000000000000000000e+00,9.735569342312356822e-01,1.229903644862056611e+00,1.088014309099265109e+00,1.142090240677746893e+00,1.000000000000000000e+00,9.478131041897225328e-01
