# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio07/01/202200:00
9.763079147285503856e-01,1.000000000000000000e+00,9.763079147285503856e-01,1.207167978287607246e+00,1.081095121972268203e+00,1.130800195718491663e+00,1.000000000000000000e+00,9.531771443616103845e-01
9.763068282023423805e-01,1.000000000000000000e+00,9.763068282023423805e-01,1.207176937871086375e+00,1.081097882608601957e+00,1.130804695577361407e+00,1.000000000000000000e+00,9.531750227945180454e-01
9.763057417119157533e-01,1.000000000000000000e+00,9.763057417119157533e-01,1.207185897175724998e+00,1.081100643131869710e+00,1.130809195255514599e+00,1.000000000000000000e+00,9.531729012996539296e-01
9.763046552572716141e-01,1.000000000000000000e+00,9.763046552572716141e-01,1.207194856201519118e+00,1.081103403542073682e+00,1.130813694752954568e+00,1.000000000000000000e+00,9.531707798770199247e-01
9.763035688384118505e-01,1.000000000000000000e+00,9.763035688384118505e-01,1.207203814948446530e+00,1.081106163839209877e+00,1.130818194069673988e+00,1.000000000000000000e+00,9.531686585266195832e-01
9.763024824553382386e-01,1.000000000000000000e+00,9.763024824553382386e-01,1.207212773416492801e+00,1.081108924023276741e+00,1.130822693205670859e+00,1.000000000000000000e+00,9.531665372484560139e-01
9.763013961080517777e-01,1.000000000000000000e+00,9.763013961080517777e-01,1.207221731605645942e+00,1.081111684094273606e+00,1.130827192160943406e+00,1.000000000000000000e+00,9.531644160425309931e-01
9.763003097965545773e-01,1.000000000000000000e+00,9.763003097965545773e-01,1.207230689515891964e+00,1.081114444052199364e+00,1.130831690935489631e+00,1.000000000000000000e+00,9.531622949088484065e-01
9.762992235208478586e-01,1.000000000000000000e+00,9.762992235208478586e-01,1.207239647147208217e+00,1.081117203897049794e+00,1.130836189529302205e+00,1.000000000000000000e+00,9.531601738474104746e-01
9.762981372809330649e-01,1.000000000000000000e+00,9.762981372809330649e-01,1.207248604499591371e+00,1.081119963628827119e+00,1.130840687942384681e+00,1.000000000000000000e+00,9.531580528582196399e-01
9.762970510768118615e-01,1.000000000000000000e+00,9.762970510768118615e-01,1.207257561573018778e+00,1.081122723247526674e+00,1.130845186174729733e+00,1.000000000000000000e+00,9.531559319412790110e-01
9.762959649084864688e-01,1.000000000000000000e+00,9.762959649084864688e-01,1.207266518367474006e+00,1.081125482753147571e+00,1.130849684226334251e+00,1.000000000000000000e+00,9.531538110965926958e-01
