# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio11/08/202200:00
9.730996856984075460e-01,1.000000000000000000e+00,9.730996856984075460e-01,1.233692221972347181e+00,1.089150811138613673e+00,1.143947019530739517e+00,1.000000000000000000e+00,9.469229983063395251e-01
9.730987180837237238e-01,1.000000000000000000e+00,9.730987180837237238e-01,1.233700242070784325e+00,1.089153212103611823e+00,1.143950942879864430e+00,1.000000000000000000e+00,9.469211151361863754e-01
9.730977505093935109e-01,1.000000000000000000e+00,9.730977505093935109e-01,1.233708261846667709e+00,1.089155612951334895e+00,1.143954866040463925e+00,1.000000000000000000e+00,9.469192320464419055e-01
9.730967829754180176e-01,1.000000000000000000e+00,9.730967829754180176e-01,1.233716281299990003e+00,1.089158013681783777e+00,1.143958789012538446e+00,1.000000000000000000e+00,9.469173490371077806e-01
9.730958154817984651e-01,1.000000000000000000e+00,9.730958154817984651e-01,1.233724300430738330e+00,1.089160414294956913e+00,1.143962711796086440e+00,1.000000000000000000e+00,9.469154661081863322e-01
9.730948480285370739e-01,1.000000000000000000e+00,9.730948480285370739e-01,1.233732319238894926e+00,1.089162814790852085e+00,1.143966634391103243e+00,1.000000000000000000e+00,9.469135832596816682e-01
9.730938806156340659e-01,1.000000000000000000e+00,9.730938806156340659e-01,1.233740337724452241e+00,1.089165215169469958e+00,1.143970556797589522e+00,1.000000000000000000e+00,9.469117004915938995e-01
9.730929132430914397e-01,1.000000000000000000e+00,9.730929132430914397e-01,1.233748355887393622e+00,1.089167615430808089e+00,1.143974479015540835e+00,1.000000000000000000e+00,9.469098178039266900e-01
9.730919459109107494e-01,1.000000000000000000e+00,9.730919459109107494e-01,1.233756373727704192e+00,1.089170015574864925e+00,1.143978401044954962e+00,1.000000000000000000e+00,9.469079351966828151e-01
9.730909786190926614e-01,1.000000000000000000e+00,9.730909786190926614e-01,1.233764391245376402e+00,1.089172415601640909e+00,1.143982322885831682e+00,1.000000000000000000e+00,9.469060526698634961e-01
9.730900113676393959e-01,1.000000000000000000e+00,9.730900113676393959e-01,1.233772408440393153e+00,1.089174815511134042e+00,1.143986244538167441e+00,1.000000000000000000e+00,9.469041702234726188e-01
9.730890441565519522e-01,1.000000000000000000e+00,9.730890441565519522e-01,1.233780425312738682e+00,1.089177215303342106e+00,1.143990166001958020e+00,1.000000000000000000e+00,9.469022878575119595e-01
9.730880769858315515e-01,1.000000000000000000e+00,9.730880769858315515e-01,1.233788441862405660e+00,1.089179614978265542e+00,1.143994087277205196e+00,1.000000000000000000e+00,9.469004055719836277e-01
9.730871098554797483e-01,1.000000000000000000e+00,9.730871098554797483e-01,1.233796458089380321e+00,1.089182014535903464e+00,1.143998008363905861e+00,1.000000000000000000e+00,9.468985233668905099e-01
9.730861427654978746e-01,1.000000000000000000e+00,9.730861427654978746e-01,1.233804473993643569e+00,1.089184413976252541e+00,1.144001929262054240e+00,1.000000000000000000e+00,9.468966412422349377e-01
9.730851757158878179e-01,1.000000000000000000e+00,9.730851757158878179e-01,1.233812489575185856e+00,1.089186813299313439e+00,1.144005849971651445e+00,1.000000000000000000e+00,9.468947591980202416e-01
9.730842087066498003e-01,1.000000000000000000e+00,9.730842087066498003e-01,1.233820504833999188e+00,1.089189212505085491e+00,1.144009770492696365e+00,1.000000000000000000e+00,9.468928772342467548e-01
9.730832417377865973e-01,1.000000000000000000e+00,9.730832417377865973e-01,1.233828519770059140e+00,1.089191611593564923e+00,1.144013690825181895e+00,1.000000000000000000e+00,9.468909953509195843e-01
9.730822748092974317e-01,1.000000000000000000e+00,9.730822748092974317e-01,1.233836534383366157e+00,1.089194010564754400e+00,1.144017610969112475e+00,1.000000000000000000e+00,9.468891135480370647e-01
9.730813079211859673e-01,1.000000000000000000e+00,9.730813079211859673e-01,1.233844548673896035e+00,1.089196409418649703e+00,1.144021530924480334e+00,1.000000000000000000e+00,9.468872318256059684e-01
9.730803410734529812e-01,1.000000000000000000e+00,9.730803410734529812e-01,1.233852562641637896e+00,1.089198808155250164e+00,1.144025450691284584e+00,1.000000000000000000e+00,9.468853501836276276e-01
9.730793742660992507e-01,1.000000000000000000e+00,9.730793742660992507e-01,1.233860576286583965e+00,1.089201206774556230e+00,1.144029370269526114e+00,1.000000000000000000e+00,9.468834686221032637e-01
9.730784074991264410e-01,1.000000000000000000e+00,9.730784074991264410e-01,1.233868589608715594e+00,1.089203605276565234e+00,1.144033289659199149e+00,1.000000000000000000e+00,9.468815871410359852e-01
