# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio12/01/202200:00
9.725717373013281764e-01,1.000000000000000000e+00,9.725717373013281764e-01,1.238069899400378704e+00,1.090458277889720495e+00,1.146083977713717061e+00,1.000000000000000000e+00,9.458957841973236746e-01
9.725707921692426927e-01,1.000000000000000000e+00,9.725707921692426927e-01,1.238077739465266669e+00,1.090460613949154611e+00,1.146087796668345371e+00,1.000000000000000000e+00,9.458939457807082896e-01
9.725698470782605520e-01,1.000000000000000000e+00,9.725698470782605520e-01,1.238085579200424169e+00,1.090462949890702138e+00,1.146091615433262545e+00,1.000000000000000000e+00,9.458921074458310763e-01
9.725689020283837527e-01,1.000000000000000000e+00,9.725689020283837527e-01,1.238093418605836993e+00,1.090465285714361965e+00,1.146095434008466363e+00,1.000000000000000000e+00,9.458902691926959205e-01
9.725679570196125168e-01,1.000000000000000000e+00,9.725679570196125168e-01,1.238101257681497813e+00,1.090467621420134314e+00,1.146099252393957046e+00,1.000000000000000000e+00,9.458884310213028224e-01
9.725670120519498418e-01,1.000000000000000000e+00,9.725670120519498418e-01,1.238109096427383093e+00,1.090469957008014967e+00,1.146103070589727491e+00,1.000000000000000000e+00,9.458865929316575549e-01
9.725660671253950618e-01,1.000000000000000000e+00,9.725660671253950618e-01,1.238116934843495276e+00,1.090472292478007699e+00,1.146106888595782802e+00,1.000000000000000000e+00,9.458847549237584529e-01
9.725651222399508411e-01,1.000000000000000000e+00,9.725651222399508411e-01,1.238124772929809936e+00,1.090474627830107623e+00,1.146110706412115432e+00,1.000000000000000000e+00,9.458829169976105122e-01
9.725641773956191782e-01,1.000000000000000000e+00,9.725641773956191782e-01,1.238132610686311752e+00,1.090476963064312965e+00,1.146114524038722715e+00,1.000000000000000000e+00,9.458810791532173967e-01
9.725632325923992960e-01,1.000000000000000000e+00,9.725632325923992960e-01,1.238140448113001169e+00,1.090479298180626833e+00,1.146118341475607538e+00,1.000000000000000000e+00,9.458792413905773300e-01
9.725622878302943031e-01,1.000000000000000000e+00,9.725622878302943031e-01,1.238148285209853317e+00,1.090481633179044341e+00,1.146122158722763018e+00,1.000000000000000000e+00,9.458774037096961962e-01
9.725613431093044214e-01,1.000000000000000000e+00,9.725613431093044214e-01,1.238156121976862423e+00,1.090483968059566600e+00,1.146125975780190043e+00,1.000000000000000000e+00,9.458755661105741064e-01
9.725603984294320936e-01,1.000000000000000000e+00,9.725603984294320936e-01,1.238163958414012056e+00,1.090486302822191833e+00,1.146129792647885504e+00,1.000000000000000000e+00,9.458737285932157235e-01
9.725594537906774306e-01,1.000000000000000000e+00,9.725594537906774306e-01,1.238171794521290892e+00,1.090488637466918709e+00,1.146133609325847180e+00,1.000000000000000000e+00,9.458718911576208255e-01
9.725585091930434301e-01,1.000000000000000000e+00,9.725585091930434301e-01,1.238179630298681166e+00,1.090490971993745228e+00,1.146137425814071076e+00,1.000000000000000000e+00,9.458700538037951855e-01
9.725575646365296478e-01,1.000000000000000000e+00,9.725575646365296478e-01,1.238187465746178217e+00,1.090493306402672724e+00,1.146141242112558523e+00,1.000000000000000000e+00,9.458682165317375823e-01
9.725566201211380823e-01,1.000000000000000000e+00,9.725566201211380823e-01,1.238195300863766279e+00,1.090495640693698753e+00,1.146145058221306634e+00,1.000000000000000000e+00,9.458663793414516796e-01
9.725556756468713981e-01,1.000000000000000000e+00,9.725556756468713981e-01,1.238203135651427145e+00,1.090497974866821318e+00,1.146148874140310969e+00,1.000000000000000000e+00,9.458645422329424735e-01
9.725547312137283740e-01,1.000000000000000000e+00,9.725547312137283740e-01,1.238210970109158149e+00,1.090500308922041750e+00,1.146152689869573083e+00,1.000000000000000000e+00,9.458627052062074103e-01
9.725537868217121185e-01,1.000000000000000000e+00,9.725537868217121185e-01,1.238218804236936199e+00,1.090502642859356275e+00,1.146156505409086979e+00,1.000000000000000000e+00,9.458608682612522633e-01
9.725528424708242969e-01,1.000000000000000000e+00,9.725528424708242969e-01,1.238226638034752414e+00,1.090504976678765114e+00,1.146160320758852214e+00,1.000000000000000000e+00,9.458590313980800302e-01
9.725518981610647984e-01,1.000000000000000000e+00,9.725518981610647984e-01,1.238234471502596579e+00,1.090507310380267603e+00,1.146164135918867677e+00,1.000000000000000000e+00,9.458571946166901556e-01
9.725509538924353992e-01,1.000000000000000000e+00,9.725509538924353992e-01,1.238242304640454927e+00,1.090509643963862851e+00,1.146167950889131371e+00,1.000000000000000000e+00,9.458553579170859704e-01
