# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio01/07/202200:00
9.811671294847131852e-01,1.000000000000000000e+00,9.811671294847131852e-01,1.167267208548672830e+00,1.068524458763212781e+00,1.110344325304370328e+00,1.000000000000000000e+00,9.626889359812719205e-01
9.811659070126321769e-01,1.000000000000000000e+00,9.811659070126321769e-01,1.167277202609708464e+00,1.068527678422176885e+00,1.110349556438788632e+00,1.000000000000000000e+00,9.626865370839211566e-01
9.811646845693626773e-01,1.000000000000000000e+00,9.811646845693626773e-01,1.167287196458262732e+00,1.068530897976122551e+00,1.110354787406393928e+00,1.000000000000000000e+00,9.626841382460969987e-01
9.811634621549057966e-01,1.000000000000000000e+00,9.811634621549057966e-01,1.167297190094330528e+00,1.068534117425050889e+00,1.110360018207188437e+00,1.000000000000000000e+00,9.626817394678012230e-01
9.811622397692629782e-01,1.000000000000000000e+00,9.811622397692629782e-01,1.167307183517891200e+00,1.068537336768958568e+00,1.110365248841166386e+00,1.000000000000000000e+00,9.626793407490367160e-01
9.811610174124368866e-01,1.000000000000000000e+00,9.811610174124368866e-01,1.167317176728923878e+00,1.068540556007841813e+00,1.110370479308321334e+00,1.000000000000000000e+00,9.626769420898082519e-01
9.811597950844282989e-01,1.000000000000000000e+00,9.811597950844282989e-01,1.167327169727421898e+00,1.068543775141701735e+00,1.110375709608655503e+00,1.000000000000000000e+00,9.626745434901173848e-01
9.811585727852401018e-01,1.000000000000000000e+00,9.811585727852401018e-01,1.167337162513357507e+00,1.068546994170532338e+00,1.110380939742158457e+00,1.000000000000000000e+00,9.626721449499693328e-01
9.811573505148727392e-01,1.000000000000000000e+00,9.811573505148727392e-01,1.167347155086719379e+00,1.068550213094332957e+00,1.110386169708829529e+00,1.000000000000000000e+00,9.626697464693648731e-01
9.811561282733288758e-01,1.000000000000000000e+00,9.811561282733288758e-01,1.167357147447492416e+00,1.068553431913102258e+00,1.110391399508665611e+00,1.000000000000000000e+00,9.626673480483090017e-01
9.811549060606102879e-01,1.000000000000000000e+00,9.811549060606102879e-01,1.167367139595655523e+00,1.068556650626836246e+00,1.110396629141660929e+00,1.000000000000000000e+00,9.626649496868050493e-01
9.811536838767180857e-01,1.000000000000000000e+00,9.811536838767180857e-01,1.167377131531193601e+00,1.068559869235532922e+00,1.110401858607812153e+00,1.000000000000000000e+00,9.626625513848547921e-01
9.811524617216543787e-01,1.000000000000000000e+00,9.811524617216543787e-01,1.167387123254093773e+00,1.068563087739191619e+00,1.110407087907117063e+00,1.000000000000000000e+00,9.626601531424624492e-01
9.811512395954212762e-01,1.000000000000000000e+00,9.811512395954212762e-01,1.167397114764335830e+00,1.068566306137808786e+00,1.110412317039571217e+00,1.000000000000000000e+00,9.626577549596317951e-01
9.811500174980204436e-01,1.000000000000000000e+00,9.811500174980204436e-01,1.167407106061899347e+00,1.068569524431380646e+00,1.110417546005167511e+00,1.000000000000000000e+00,9.626553568363658275e-01
9.811487954294529912e-01,1.000000000000000000e+00,9.811487954294529912e-01,1.167417097146773886e+00,1.068572742619907423e+00,1.110422774803905943e+00,1.000000000000000000e+00,9.626529587726665449e-01
9.811475733897211393e-01,1.000000000000000000e+00,9.811475733897211393e-01,1.167427088018944570e+00,1.068575960703387118e+00,1.110428003435783850e+00,1.000000000000000000e+00,9.626505607685382770e-01
9.811463513788265534e-01,1.000000000000000000e+00,9.811463513788265534e-01,1.167437078678384754e+00,1.068579178681814401e+00,1.110433231900791906e+00,1.000000000000000000e+00,9.626481628239837995e-01
9.811451293967712317e-01,1.000000000000000000e+00,9.811451293967712317e-01,1.167447069125088444e+00,1.068582396555190162e+00,1.110438460198932109e+00,1.000000000000000000e+00,9.626457649390069982e-01
9.811439074435565066e-01,1.000000000000000000e+00,9.811439074435565066e-01,1.167457059359033433e+00,1.068585614323510624e+00,1.110443688330197354e+00,1.000000000000000000e+00,9.626433671136102044e-01
9.811426855191847096e-01,1.000000000000000000e+00,9.811426855191847096e-01,1.167467049380201294e+00,1.068588831986772680e+00,1.110448916294583199e+00,1.000000000000000000e+00,9.626409693477977481e-01
9.811414636236571729e-01,1.000000000000000000e+00,9.811414636236571729e-01,1.167477039188578702e+00,1.068592049544975442e+00,1.110454144092087647e+00,1.000000000000000000e+00,9.626385716415721827e-01
9.811402417569757839e-01,1.000000000000000000e+00,9.811402417569757839e-01,1.167487028784149672e+00,1.068595266998116688e+00,1.110459371722706923e+00,1.000000000000000000e+00,9.626361739949368390e-01
9.811390199191426520e-01,1.000000000000000000e+00,9.811390199191426520e-01,1.167497018166894662e+00,1.068598484346193089e+00,1.110464599186436141e+00,1.000000000000000000e+00,9.626337764078958248e-01
9.811377981101587764e-01,1.000000000000000000e+00,9.811377981101587764e-01,1.167507007336797686e+00,1.068601701589202646e+00,1.110469826483271305e+00,1.000000000000000000e+00,9.626313788804506943e-01
9.811365763300260445e-01,1.000000000000000000e+00,9.811365763300260445e-01,1.167516996293845200e+00,1.068604918727144248e+00,1.110475053613210861e+00,1.000000000000000000e+00,9.626289814126050004e-01
9.811353545787470098e-01,1.000000000000000000e+00,9.811353545787470098e-01,1.167526985038013221e+00,1.068608135760013234e+00,1.110480280576246592e+00,1.000000000000000000e+00,9.626265840043636279e-01
9.811341328563228936e-01,1.000000000000000000e+00,9.811341328563228936e-01,1.167536973569292202e+00,1.068611352687809601e+00,1.110485507372378722e+00,1.000000000000000000e+00,9.626241866557286864e-01
9.811329111627546951e-01,1.000000000000000000e+00,9.811329111627546951e-01,1.167546961887667045e+00,1.068614569510531354e+00,1.110490734001604141e+00,1.000000000000000000e+00,9.626217893667018410e-01
9.811316894980461889e-01,1.000000000000000000e+00,9.811316894980461889e-01,1.167556949993109328e+00,1.068617786228172717e+00,1.110495960463913079e+00,1.000000000000000000e+00,9.626193921372905304e-01
9.811304678621967090e-01,1.000000000000000000e+00,9.811304678621967090e-01,1.167566937885617495e+00,1.068621002840736134e+00,1.110501186759309533e+00,1.000000000000000000e+00,9.626169949674929782e-01
9.811292462552099192e-01,1.000000000000000000e+00,9.811292462552099192e-01,1.167576925565163792e+00,1.068624219348215609e+00,1.110506412887783734e+00,1.000000000000000000e+00,9.626145978573164008e-01
9.811280246770871516e-01,1.000000000000000000e+00,9.811280246770871516e-01,1.167586913031733120e+00,1.068627435750609811e+00,1.110511638849333016e+00,1.000000000000000000e+00,9.626122008067629077e-01
9.811268031278289614e-01,1.000000000000000000e+00,9.811268031278289614e-01,1.167596900285315042e+00,1.068630652047917851e+00,1.110516864643956048e+00,1.000000000000000000e+00,9.626098038158336090e-01
9.811255816074384573e-01,1.000000000000000000e+00,9.811255816074384573e-01,1.167606887325886467e+00,1.068633868240136175e+00,1.110522090271646611e+00,1.000000000000000000e+00,9.626074068845343890e-01
9.811243601159173044e-01,1.000000000000000000e+00,9.811243601159173044e-01,1.167616874153430739e+00,1.068637084327261899e+00,1.110527315732400711e+00,1.000000000000000000e+00,9.626050100128681342e-01
9.811231386532662802e-01,1.000000000000000000e+00,9.811231386532662802e-01,1.167626860767937425e+00,1.068640300309294799e+00,1.110532541026217235e+00,1.000000000000000000e+00,9.626026132008363989e-01
9.811219172194878269e-01,1.000000000000000000e+00,9.811219172194878269e-01,1.167636847169386094e+00,1.068643516186231546e+00,1.110537766153090855e+00,1.000000000000000000e+00,9.626002164484435131e-01
9.811206958145841650e-01,1.000000000000000000e+00,9.811206958145841650e-01,1.167646833357756098e+00,1.068646731958068585e+00,1.110542991113015576e+00,1.000000000000000000e+00,9.625978197556938065e-01
