# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio10/13/202200:00
9.737112898392610294e-01,1.000000000000000000e+00,9.737112898392610294e-01,1.228625322623186911e+00,1.087629787902106182e+00,1.141462178365632241e+00,1.000000000000000000e+00,9.481136759604373854e-01
9.737102973146419815e-01,1.000000000000000000e+00,9.737102973146419815e-01,1.228633541402700535e+00,1.087632261817968349e+00,1.141466218916609376e+00,1.000000000000000000e+00,9.481117430965685378e-01
9.737093048295072384e-01,1.000000000000000000e+00,9.737093048295072384e-01,1.228641759867983962e+00,1.087634735617293069e+00,1.141470259280470634e+00,1.000000000000000000e+00,9.481098103115622733e-01
9.737083123838570220e-01,1.000000000000000000e+00,9.737083123838570220e-01,1.228649978019030531e+00,1.087637209300081231e+00,1.141474299457216457e+00,1.000000000000000000e+00,9.481078776054189250e-01
9.737073199776938859e-01,1.000000000000000000e+00,9.737073199776938859e-01,1.228658195855825364e+00,1.087639682866331059e+00,1.141478339446845292e+00,1.000000000000000000e+00,9.481059449781431558e-01
9.737063276110184962e-01,1.000000000000000000e+00,9.737063276110184962e-01,1.228666413378350031e+00,1.087642156316039888e+00,1.141482379249350920e+00,1.000000000000000000e+00,9.481040124297360761e-01
9.737053352838325182e-01,1.000000000000000000e+00,9.737053352838325182e-01,1.228674630586596317e+00,1.087644629649208383e+00,1.141486418864734453e+00,1.000000000000000000e+00,9.481020799602006832e-01
9.737043429961368401e-01,1.000000000000000000e+00,9.737043429961368401e-01,1.228682847480549789e+00,1.087647102865834547e+00,1.141490458292992782e+00,1.000000000000000000e+00,9.481001475695385317e-01
9.737033507479334604e-01,1.000000000000000000e+00,9.737033507479334604e-01,1.228691064060192240e+00,1.087649575965916382e+00,1.141494497534121466e+00,1.000000000000000000e+00,9.480982152577531741e-01
9.737023585392239333e-01,1.000000000000000000e+00,9.737023585392239333e-01,1.228699280325519672e+00,1.087652048949454997e+00,1.141498536588122947e+00,1.000000000000000000e+00,9.480962830248473860e-01
9.737013663700089250e-01,1.000000000000000000e+00,9.737013663700089250e-01,1.228707496276510325e+00,1.087654521816446840e+00,1.141502575454990343e+00,1.000000000000000000e+00,9.480943508708223888e-01
9.737003742402907669e-01,1.000000000000000000e+00,9.737003742402907669e-01,1.228715711913152431e+00,1.087656994566891244e+00,1.141506614134722764e+00,1.000000000000000000e+00,9.480924187956822902e-01
9.736993821500697921e-01,1.000000000000000000e+00,9.736993821500697921e-01,1.228723927235435776e+00,1.087659467200788210e+00,1.141510652627319100e+00,1.000000000000000000e+00,9.480904867994276453e-01
9.736983900993481100e-01,1.000000000000000000e+00,9.736983900993481100e-01,1.228732142243343706e+00,1.087661939718135073e+00,1.141514690932775800e+00,1.000000000000000000e+00,9.480885548820623399e-01
9.736973980881277191e-01,1.000000000000000000e+00,9.736973980881277191e-01,1.228740356936862010e+00,1.087664412118930501e+00,1.141518729051090419e+00,1.000000000000000000e+00,9.480866230435898157e-01
9.736964061164088413e-01,1.000000000000000000e+00,9.736964061164088413e-01,1.228748571315980476e+00,1.087666884403174716e+00,1.141522766982261627e+00,1.000000000000000000e+00,9.480846912840106278e-01
9.736954141841932531e-01,1.000000000000000000e+00,9.736954141841932531e-01,1.228756785380684224e+00,1.087669356570865720e+00,1.141526804726286537e+00,1.000000000000000000e+00,9.480827596033276627e-01
9.736944222914827307e-01,1.000000000000000000e+00,9.736944222914827307e-01,1.228764999130955715e+00,1.087671828622001291e+00,1.141530842283161373e+00,1.000000000000000000e+00,9.480808280015442513e-01
9.736934304382779404e-01,1.000000000000000000e+00,9.736934304382779404e-01,1.228773212566792283e+00,1.087674300556582985e+00,1.141534879652888801e+00,1.000000000000000000e+00,9.480788964786616146e-01
9.736924386245816576e-01,1.000000000000000000e+00,9.736924386245816576e-01,1.228781425688167506e+00,1.087676772374606360e+00,1.141538916835460160e+00,1.000000000000000000e+00,9.480769650346847488e-01
9.736914468503942155e-01,1.000000000000000000e+00,9.736914468503942155e-01,1.228789638495072278e+00,1.087679244076070972e+00,1.141542953830875229e+00,1.000000000000000000e+00,9.480750336696140979e-01
9.736904551157167242e-01,1.000000000000000000e+00,9.736904551157167242e-01,1.228797850987499274e+00,1.087681715660977932e+00,1.141546990639134673e+00,1.000000000000000000e+00,9.480731023834515492e-01
9.736894634205512933e-01,1.000000000000000000e+00,9.736894634205512933e-01,1.228806063165428730e+00,1.087684187129323465e+00,1.141551027260233386e+00,1.000000000000000000e+00,9.480711711762010996e-01
9.736884717648994769e-01,1.000000000000000000e+00,9.736884717648994769e-01,1.228814275028846881e+00,1.087686658481107127e+00,1.141555063694168926e+00,1.000000000000000000e+00,9.480692400478654136e-01
9.736874801487622744e-01,1.000000000000000000e+00,9.736874801487622744e-01,1.228822486577742845e+00,1.087689129716328029e+00,1.141559099940939959e+00,1.000000000000000000e+00,9.480673089984463786e-01
9.736864885721409069e-01,1.000000000000000000e+00,9.736864885721409069e-01,1.228830697812101747e+00,1.087691600834984618e+00,1.141563136000543821e+00,1.000000000000000000e+00,9.480653780279458820e-01
9.736854970350375948e-01,1.000000000000000000e+00,9.736854970350375948e-01,1.228838908731910040e+00,1.087694071837075560e+00,1.141567171872978070e+00,1.000000000000000000e+00,9.480634471363682536e-01
9.736845055374531155e-01,1.000000000000000000e+00,9.736845055374531155e-01,1.228847119337154847e+00,1.087696542722599746e+00,1.141571207558240708e+00,1.000000000000000000e+00,9.480615163237146037e-01
9.736835140793879129e-01,1.000000000000000000e+00,9.736835140793879129e-01,1.228855329627826842e+00,1.087699013491557398e+00,1.141575243056330846e+00,1.000000000000000000e+00,9.480595855899855984e-01
9.736825226608459838e-01,1.000000000000000000e+00,9.736825226608459838e-01,1.228863539603902044e+00,1.087701484143944075e+00,1.141579278367242045e+00,1.000000000000000000e+00,9.480576549351888982e-01
9.736815312818266621e-01,1.000000000000000000e+00,9.736815312818266621e-01,1.228871749265377122e+00,1.087703954679761775e+00,1.141583313490976748e+00,1.000000000000000000e+00,9.480557243593228378e-01
9.736805399423317242e-01,1.000000000000000000e+00,9.736805399423317242e-01,1.228879958612234091e+00,1.087706425099007612e+00,1.141587348427529847e+00,1.000000000000000000e+00,9.480537938623906369e-01
9.736795486423633905e-01,1.000000000000000000e+00,9.736795486423633905e-01,1.228888167644456741e+00,1.087708895401679809e+00,1.141591383176898233e+00,1.000000000000000000e+00,9.480518634443965142e-01
9.736785573819218831e-01,1.000000000000000000e+00,9.736785573819218831e-01,1.228896376362037524e+00,1.087711365587779033e+00,1.141595417739082130e+00,1.000000000000000000e+00,9.480499331053405809e-01
9.736775661610092003e-01,1.000000000000000000e+00,9.736775661610092003e-01,1.228904584764960672e+00,1.087713835657303063e+00,1.141599452114078650e+00,1.000000000000000000e+00,9.480480028452265007e-01
