# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio10/30/202200:00
9.733096338455270446e-01,1.000000000000000000e+00,9.733096338455270446e-01,1.231952343911196790e+00,1.088629456229813552e+00,1.143095161653583824e+00,1.000000000000000000e+00,9.473316433365138733e-01
9.733086575468341550e-01,1.000000000000000000e+00,9.733086575468341550e-01,1.231960433370855146e+00,1.088631882498941383e+00,1.143099125671845462e+00,1.000000000000000000e+00,9.473297428556204380e-01
9.733076812881970019e-01,1.000000000000000000e+00,9.733076812881970019e-01,1.231968522510816566e+00,1.088634308651044158e+00,1.143103089502061520e+00,1.000000000000000000e+00,9.473278424546064391e-01
9.733067050696159184e-01,1.000000000000000000e+00,9.733067050696159184e-01,1.231976611331074167e+00,1.088636734686122542e+00,1.143107053144232887e+00,1.000000000000000000e+00,9.473259421334723207e-01
9.733057288910924587e-01,1.000000000000000000e+00,9.733057288910924587e-01,1.231984699831611518e+00,1.088639160604174316e+00,1.143111016598355567e+00,1.000000000000000000e+00,9.473240418922207473e-01
9.733047527526281772e-01,1.000000000000000000e+00,9.733047527526281772e-01,1.231992788012416851e+00,1.088641586405198813e+00,1.143114979864428449e+00,1.000000000000000000e+00,9.473221417308547165e-01
9.733037766542244063e-01,1.000000000000000000e+00,9.733037766542244063e-01,1.232000875873474399e+00,1.088644012089194257e+00,1.143118942942447980e+00,1.000000000000000000e+00,9.473202416493763378e-01
9.733028005958820339e-01,1.000000000000000000e+00,9.733028005958820339e-01,1.232008963414777725e+00,1.088646437656161536e+00,1.143122905832415048e+00,1.000000000000000000e+00,9.473183416477872765e-01
9.733018245776040578e-01,1.000000000000000000e+00,9.733018245776040578e-01,1.232017050636301514e+00,1.088648863106095543e+00,1.143126868534321883e+00,1.000000000000000000e+00,9.473164417260931947e-01
9.733008485993903669e-01,1.000000000000000000e+00,9.733008485993903669e-01,1.232025137538043325e+00,1.088651288438998721e+00,1.143130831048171370e+00,1.000000000000000000e+00,9.473145418842934262e-01
9.732998726612422935e-01,1.000000000000000000e+00,9.732998726612422935e-01,1.232033224119986947e+00,1.088653713654868849e+00,1.143134793373959512e+00,1.000000000000000000e+00,9.473126421223904137e-01
9.732988967631622801e-01,1.000000000000000000e+00,9.732988967631622801e-01,1.232041310382113286e+00,1.088656138753703040e+00,1.143138755511681648e+00,1.000000000000000000e+00,9.473107424403888199e-01
9.732979209051507707e-01,1.000000000000000000e+00,9.732979209051507707e-01,1.232049396324419455e+00,1.088658563735503293e+00,1.143142717461340663e+00,1.000000000000000000e+00,9.473088428382890891e-01
9.732969450872094308e-01,1.000000000000000000e+00,9.732969450872094308e-01,1.232057481946885025e+00,1.088660988600266055e+00,1.143146679222930562e+00,1.000000000000000000e+00,9.473069433160943298e-01
9.732959693093399256e-01,1.000000000000000000e+00,9.732959693093399256e-01,1.232065567249496452e+00,1.088663413347990438e+00,1.143150640796449125e+00,1.000000000000000000e+00,9.473050438738075396e-01
9.732949935715431433e-01,1.000000000000000000e+00,9.732949935715431433e-01,1.232073652232243965e+00,1.088665837978676221e+00,1.143154602181895463e+00,1.000000000000000000e+00,9.473031445114301619e-01
9.732940178738206383e-01,1.000000000000000000e+00,9.732940178738206383e-01,1.232081736895114021e+00,1.088668262492322070e+00,1.143158563379267800e+00,1.000000000000000000e+00,9.473012452289650831e-01
9.732930422161749640e-01,1.000000000000000000e+00,9.732930422161749640e-01,1.232089821238087968e+00,1.088670686888925099e+00,1.143162524388561030e+00,1.000000000000000000e+00,9.472993460264169663e-01
9.732920665986052322e-01,1.000000000000000000e+00,9.732920665986052322e-01,1.232097905261159143e+00,1.088673111168486196e+00,1.143166485209776040e+00,1.000000000000000000e+00,9.472974469037838130e-01
9.732910910211146627e-01,1.000000000000000000e+00,9.732910910211146627e-01,1.232105988964313337e+00,1.088675535331004474e+00,1.143170445842910388e+00,1.000000000000000000e+00,9.472955478610717295e-01
9.732901154837039215e-01,1.000000000000000000e+00,9.732901154837039215e-01,1.232114072347530342e+00,1.088677959376475712e+00,1.143174406287957856e+00,1.000000000000000000e+00,9.472936488982817149e-01
9.732891399863744519e-01,1.000000000000000000e+00,9.732891399863744519e-01,1.232122155410805942e+00,1.088680383304902133e+00,1.143178366544921332e+00,1.000000000000000000e+00,9.472917500154164339e-01
9.732881645291276973e-01,1.000000000000000000e+00,9.732881645291276973e-01,1.232130238154123480e+00,1.088682807116281293e+00,1.143182326613796818e+00,1.000000000000000000e+00,9.472898512124783288e-01
9.732871891119651009e-01,1.000000000000000000e+00,9.732871891119651009e-01,1.232138320577467194e+00,1.088685230810611193e+00,1.143186286494580095e+00,1.000000000000000000e+00,9.472879524894700642e-01
9.732862137348879950e-01,1.000000000000000000e+00,9.732862137348879950e-01,1.232146402680829311e+00,1.088687654387892723e+00,1.143190246187272718e+00,1.000000000000000000e+00,9.472860538463940827e-01
9.732852383978981559e-01,1.000000000000000000e+00,9.732852383978981559e-01,1.232154484464189625e+00,1.088690077848122328e+00,1.143194205691868692e+00,1.000000000000000000e+00,9.472841552832534928e-01
9.732842631009961387e-01,1.000000000000000000e+00,9.732842631009961387e-01,1.232162565927538589e+00,1.088692501191300011e+00,1.143198165008366907e+00,1.000000000000000000e+00,9.472822568000490717e-01
9.732832878441832758e-01,1.000000000000000000e+00,9.732832878441832758e-01,1.232170647070866432e+00,1.088694924417425547e+00,1.143202124136767805e+00,1.000000000000000000e+00,9.472803583967832619e-01
9.732823126274624537e-01,1.000000000000000000e+00,9.732823126274624537e-01,1.232178727894152059e+00,1.088697347526495607e+00,1.143206083077064728e+00,1.000000000000000000e+00,9.472784600734616145e-01
9.732813374508335613e-01,1.000000000000000000e+00,9.732813374508335613e-01,1.232186808397386812e+00,1.088699770518510412e+00,1.143210041829257895e+00,1.000000000000000000e+00,9.472765618300833523e-01
9.732803623142985971e-01,1.000000000000000000e+00,9.732803623142985971e-01,1.232194888580556702e+00,1.088702193393468409e+00,1.143214000393344643e+00,1.000000000000000000e+00,9.472746636666523612e-01
