# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
5.506140710302274144e+00,5.235987756664783888e-01,9.228432311123420106e-01,3.912838944827832677e+00,3.792811668558693228e-01,-1.116681531184964049e+00,7.183400755855284814e-02,4.729096113424962056e+00
6.012007453503221299e+00,1.047197551166910046e+00,1.419208842878821653e+00,4.437859781384393187e+00,6.417912244580588066e-01,-8.733216822046900862e-01,3.329166123252766951e-01,5.740829599826856366e+00
2.346888896625554111e-01,1.570796326783757024e+00,1.915574454783291358e+00,4.962880618272230038e+00,9.043012822824323393e-01,-6.299618334414003318e-01,5.939992171502090912e-01,4.693777793251108221e-01
7.405556331356439870e-01,2.094395102517019325e+00,2.411940066819897144e+00,5.487901455491630998e+00,1.166811340329133806e+00,-3.866019848990507324e-01,8.550818220332212505e-01,1.481111266271287974e+00
1.246422376400769139e+00,2.617993878017450982e+00,2.908305678650553894e+00,6.012922292692355342e+00,1.429321398423046396e+00,-1.432421367446623517e-01,1.116164426800200005e+00,2.492844752801538277e+00
1.752289119687967300e+00,3.141592653517882638e+00,3.404671290503300973e+00,2.547578229289335638e-01,1.691831456681229362e+00,1.001177111347306692e-01,1.377247031566923852e+00,3.504578239375934601e+00
2.258155863226008364e+00,3.665191429251144939e+00,3.901036902604872569e+00,7.797786607933829828e-01,1.954341515220111347e+00,3.434775588514671352e-01,1.638329636449809890e+00,4.516311726452016728e+00
2.764022606560152084e+00,4.188790204751576596e+00,4.397402514506580928e+00,1.304799498639216182e+00,2.216851573806238207e+00,5.868374061842480671e-01,1.899412241216660746e+00,5.528045213120304169e+00
3.269889350028476471e+00,4.712388980368423574e+00,4.893768126540440022e+00,1.829820336816709414e+00,2.479361632614754285e+00,8.301972532960015805e-01,2.160494846041592254e+00,2.565933928773667105e-01
3.775756093630974419e+00,5.235987756101685875e+00,5.390133738706470723e+00,2.354841175325876890e+00,2.741871691645666687e+00,1.073557100186706359e+00,2.421577450924605301e+00,1.268326880082362607e+00
4.281622837025777173e+00,5.759586531602117532e+00,5.886499350666791308e+00,2.879862013816747890e+00,3.004381750723995381e+00,1.316916946689465462e+00,2.682660055691456158e+00,2.280060366871968114e+00
-1.495695726620506871e+00,3.937827841582475230e-11,-6.183505651593531383e+00,3.404882852639584456e+00,3.266891810024870058e+00,-4.722908514204251063e+00,-3.339442646663324687e+00,-2.991391453241013743e+00
-9.898289830696906932e-01,5.235987756562252571e-01,-5.687140039479182008e+00,3.929903691677493427e+00,3.529401869489849464e+00,-4.479548668197820049e+00,-3.078360041838520189e+00,-1.979657966139381386e+00
-4.839622396063427701e-01,1.047197551156656914e+00,-5.190774427448303641e+00,4.454924530813324068e+00,3.791911929060357789e+00,-4.236188822517245711e+00,-2.817277437071541435e+00,-9.679244792126855401e-01
2.190450398763843509e-02,1.570796326773503893e+00,-4.694408815290787906e+00,4.979945370281431138e+00,4.054421988853578185e+00,-3.992828977061612772e+00,-2.556194832246736048e+00,4.380900797527687018e-02
5.277712477196203622e-01,2.094395102506766193e+00,-4.198043202995287437e+00,5.504966210081089883e+00,4.316932048869146499e+00,-3.749469131823200296e+00,-2.295112227363723889e+00,1.055542495439240724e+00
1.033637991131305611e+00,2.617993877890782528e+00,-3.701677591016053981e+00,6.029987049745892946e+00,4.579442108873863937e+00,-3.506109287027115329e+00,-2.034029622654952796e+00,2.067275982262611222e+00
1.539504734910782435e+00,3.141592653624044829e+00,-3.205311978671029571e+00,2.718225827965401464e-01,4.841952169217875301e+00,-3.262749442335419303e+00,-1.772947017772067646e+00,3.079009469821564871e+00
