# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
-1.271671722354786649e+00,5.235987757259508157e-01,-1.941152968984546590e+00,1.603182646894810937e+00,2.376529290347871193e+00,-3.587934363354700285e+00,4.290147007277969493e+00,-2.543343444709573298e+00
-7.658032524895996840e-01,1.047197551226382473e+00,-1.444785630573702129e+00,2.128219401803447042e+00,2.639047890105411742e+00,-3.344585831675466636e+00,4.551229612044186190e+00,-1.531606504979199368e+00
-2.599347824627757930e-01,1.570796326843229451e+00,-9.484182920052495191e-01,2.653256157224571865e+00,2.901566490092595707e+00,-3.101237300116766349e+00,4.812312216868610548e+00,-5.198695649255515860e-01
2.459336876176511089e-01,2.094395102460076430e+00,-4.520509533831814641e-01,3.178292913042009005e+00,3.164085090251337551e+00,-2.857888768728542139e+00,5.073394821692907009e+00,4.918673752353022177e-01
7.518021576428853825e-01,2.617993877960508087e+00,4.431638518771430224e-02,3.703329669138822666e+00,3.426603690523167156e+00,-2.614540237561119973e+00,5.334477426459123706e+00,1.503604315285770765e+00
1.257670627829756249e+00,3.141592653577355065e+00,5.406837239162110009e-01,4.228366425748090407e+00,3.689122291024624190e+00,-2.371191706514205411e+00,5.595560031283547175e+00,2.515341255659512498e+00
1.763539098186896137e+00,3.665191429310617366e+00,1.037051062814977609e+00,4.753403182870306054e+00,3.951640891755955565e+00,-2.127843175579412716e+00,5.856642636165925175e+00,3.527078196373792274e+00
2.269407568259313113e+00,4.188790204694633701e+00,1.533418401435085787e+00,5.278439940038273548e+00,4.214159492483561920e+00,-1.884494644978129019e+00,6.117725240874188231e+00,4.538815136518626225e+00
2.775276038722892302e+00,4.712388980427896001e+00,2.029785740440292585e+00,5.803476697952259400e+00,4.476678093557576510e+00,-1.641146114384600896e+00,9.562253857710611982e-02,5.550552077445784604e+00
3.281144509235753404e+00,5.235987756161158302e+00,2.526153079492749143e+00,4.532814908265159204e-02,4.739196694802986443e+00,-1.397797583965693757e+00,3.567051434596111292e-01,2.791037112919205754e-01
3.787012979468205920e+00,5.759586531545174637e+00,3.022520418272891973e+00,5.703649074386021312e-01,5.001715296044782377e+00,-1.154449053876082321e+00,6.177877481678732963e-01,1.290840651756825608e+00
4.292881449975658903e+00,6.283185307162021616e+00,3.518887757321970788e+00,1.095401666424374199e+00,5.264233897574888132e+00,-9.111005238522833505e-01,8.788703529920436353e-01,2.302577592771731574e+00
-1.484435386531032464e+00,5.235987757156976841e-01,-2.267930210645124234e+00,1.620438425922270609e+00,-7.564328078451327819e-01,-6.677519939450000663e-01,1.139952957874548201e+00,-2.968870773062064927e+00
-9.785669161385479597e-01,1.047197551099714019e+00,-1.771562871704949416e+00,2.145475185466105827e+00,-4.939142060891992259e-01,-4.244034643669891693e-01,1.401035562582810812e+00,-1.957133832277095919e+00
-4.726984453549052390e-01,1.570796326832976320e+00,-1.275195532379679975e+00,2.670511945755893457e+00,-2.313956039868907966e-01,-1.810549347966885492e-01,1.662118167465315599e+00,-9.453968907098104779e-01
-6.250015281814172319e+00,2.094395102449823298e+00,-7.788281931177483131e-01,3.195548706324939037e+00,3.112299822844430408e-02,-6.220891712634814219e+00,1.923200772289739513e+00,-6.216845256448758406e+00
-5.744146811152612386e+00,2.617993877950254955e+00,-2.824608539125632589e-01,3.720585467173742167e+00,2.936416005570562926e-01,-5.977543183517875391e+00,2.184283377055828979e+00,-5.205108315125638541e+00
-5.238278340208943895e+00,3.141592653683517256e+00,-6.069278821606853391e+00,4.245622228651284580e+00,5.561602031734356189e-01,-5.734194654459080276e+00,2.445365981938333544e+00,-4.193371373238301558e+00
-4.732409869445018735e+00,3.665191429183948912e+00,-5.572911482301318387e+00,4.770658990291639867e+00,8.186788058446183847e-01,-5.490846125687313339e+00,2.706448586704549797e+00,-3.181634431710451238e+00
-4.226541398619881207e+00,4.188790204684380569e+00,-5.076544142930520032e+00,5.295695752327625350e+00,1.081197408687013972e+00,-5.247497597078024434e+00,2.967531191470893503e+00,-2.169897490060176182e+00
-3.720672927516192718e+00,4.712388980417642870e+00,-4.580176803285206155e+00,5.820732514992829287e+00,1.343716011817415623e+00,-5.004149068530665545e+00,3.228613796353397625e+00,-1.158160547852799205e+00
-3.214804456475580441e+00,5.235987756034489848e+00,-4.083809463702982256e+00,6.258397075789368103e-02,1.606234615060937232e+00,-4.760800540211977960e+00,3.489696401177694973e+00,-1.464236057715746497e-01
-2.708935985490427356e+00,5.759586531534921505e+00,-3.587442124172171454e+00,5.876207339814749631e-01,1.868753218417321227e+00,-4.517452012114079096e+00,3.750779005944038236e+00,-5.417871970980854712e+00
-2.203067514226723311e+00,8.859757372192689218e-11,-3.091074784366838024e+00,1.112657497834240061e+00,2.131271822061693744e+00,-4.274103484078088044e+00,4.011861610826542801e+00,-4.406135028453446623e+00
-1.697199043022288745e+00,5.235987757054445524e-01,-2.594707444618760128e+00,1.637694261966166742e+00,2.393790425819042778e+00,-4.030754956266806133e+00,4.272944215650966271e+00,-3.394398086044577489e+00
-1.191330571881187739e+00,1.047197551205876209e+00,-2.098340104934032446e+00,2.162731026377246124e+00,2.656309029689364554e+00,-3.787406428684290116e+00,4.534026820417309978e+00,-2.382661143762375477e+00
-6.854621005698277036e-01,1.570796326822723188e+00,-1.601972765079029859e+00,2.687767791301061138e+00,2.918827633789449649e+00,-3.544057901213739648e+00,4.795109425241607326e+00,-1.370924201139655407e+00
-1.795936292089425068e-01,2.094395102439570167e+00,-1.105605425176517720e+00,3.212804556620930896e+00,3.181346238060958509e+00,-3.300709373917541267e+00,5.056192030065776777e+00,-3.591872584178850136e-01
