# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
5.280724295839361204e+00,1.734434817990404554e-11,6.075599592314974373e+00,3.193055604807119252e+00,3.172073754946025392e+00,2.164006951638857590e+00,2.980362940811227102e+00,4.278263284499136176e+00
5.786592945921238851e+00,5.235987756341913268e-01,2.887818039492096034e-01,3.718093659975505005e+00,3.434592912788258623e+00,2.407354940160629120e+00,3.241445545640095460e+00,5.290000584662891470e+00
9.276288818240274736e-03,1.047197551192830645e+00,7.851493227587500456e-01,4.243131715443000829e+00,3.697112070753511670e+00,2.650702928510540790e+00,3.502528150439860433e+00,1.855257763648054947e-02
5.151449389980831128e-01,1.570796326809677623e+00,1.281516841668513429e+00,4.768169771326268958e+00,3.959631228900116096e+00,2.894050916738804435e+00,3.763610755268602226e+00,1.030289877996166226e+00
1.021013589232748764e+00,2.094395102426524602e+00,1.777884360635122007e+00,5.293207827566707380e+00,4.222150387198770893e+00,3.137398904826294910e+00,4.024693360097407080e+00,2.042027178465497528e+00
1.526882239461869517e+00,2.617993877985163920e+00,2.274251879597198212e+00,5.818245884105969878e+00,4.484669545620304731e+00,3.380746892741818499e+00,4.285775964897235113e+00,3.053764478923739034e+00
2.032750889796274052e+00,3.141592653602010898e+00,2.770619398662528710e+00,6.009863388138114715e-02,4.747188704223169964e+00,3.624094880537749308e+00,4.546858569726040855e+00,4.065501779592548104e+00
2.538619540181688450e+00,3.665191429218857877e+00,3.266986917778879729e+00,5.851366911937709858e-01,5.009707862978197923e+00,3.867442868188989635e+00,4.807941174554782648e+00,5.077239080363376900e+00
3.044488190563459540e+00,4.188790204777497195e+00,3.763354436893596500e+00,1.110174748804823253e+00,5.272227021856023654e+00,4.110790855670254373e+00,5.069023779354610681e+00,6.088976381126919080e+00
3.550356841050383849e+00,4.712388980394344173e+00,4.259721956111448549e+00,1.635212806831450649e+00,5.534746180915103508e+00,4.354138843031882367e+00,5.330106384183479484e+00,8.175283749211814666e-01
4.056225491592510224e+00,5.235987756011191152e+00,4.756089475386534815e+00,2.160250865215557425e+00,5.797265340126389610e+00,4.597486830252971224e+00,5.591188989012221278e+00,1.829265676005434216e+00
4.562094142122990803e+00,5.759586531569830470e+00,5.252456994647937805e+00,2.685288923898419000e+00,6.059784499460520557e+00,4.840834817296041592e+00,5.852271593811986250e+00,2.841002977066395374e+00
-1.215222514414870059e+00,7.091216502885799855e-12,-5.343607931579786863e-01,3.210326982996822842e+00,3.911835179630276937e-02,-1.199002502953994798e+00,-1.698311085387951280e-01,-2.430445028829740117e+00
-7.093538637222648324e-01,5.235987756239381952e-01,-3.799327373343686087e-02,3.735365042452418294e+00,3.016375114637345201e-01,-9.556545161691538670e-01,9.125149629000950391e-02,-1.418707727444529665e+00
-2.034852129809419097e-01,1.047197551240785174e+00,4.583742457388138014e-01,4.260403102265067687e+00,5.641566712831612707e-01,-7.123065295311126199e-01,3.523341011188783067e-01,-4.069704259618838194e-01
3.023834377552104824e-01,1.570796326799424492e+00,9.547417652069024596e-01,4.785441162376807611e+00,8.266758312256006214e-01,-4.689585430647743025e-01,6.134167059185795523e-01,6.047668755104209648e-01
8.082520886004466165e-01,2.094395102416271470e+00,1.451109284784075193e+00,5.310479222903913943e+00,1.089194991349191177e+00,-2.256105567140215817e-01,8.744993107473846283e-01,1.616504177200893233e+00
1.314120739438222163e+00,2.617993877974910788e+00,1.947476804353780455e+00,5.835517283729828364e+00,1.351714151595654112e+00,1.773742946288286992e-02,1.135581915547149601e+00,2.628241478876444326e+00
1.819989390443414567e+00,3.141592653649965428e+00,2.443844324090923781e+00,7.737003784983631505e-02,1.614233312052425262e+00,2.610854155533821608e-01,1.396664520405058507e+00,3.639978780886829135e+00
2.325858041380908237e+00,3.665191429208604745e+00,2.940211843759338528e+00,6.024080993900122749e-01,1.876752472602956301e+00,5.044334014389127985e-01,1.657747125204823258e+00,4.651716082761816473e+00
2.831726692371432819e+00,4.188790204767244063e+00,3.436579363481783833e+00,1.127446161287425141e+00,2.139271633305574571e+00,7.477813871818786984e-01,1.918829730004524503e+00,5.663453384742865637e+00
3.337595343472941511e+00,4.712388980384091042e+00,3.932946883316245756e+00,1.652484223600019675e+00,2.401790794189252232e+00,9.911293728112637869e-01,2.179912334833393306e+00,3.920053797662967909e-01
3.843463994619479518e+00,5.235987756000938020e+00,4.429314403192695870e+00,2.177522286269956808e+00,2.664309955225070858e+00,1.234477358290033022e+00,2.440994939662134655e+00,1.403742682059372804e+00
4.349332645764521388e+00,5.759586531559577338e+00,4.925681923070674095e+00,2.702560349238506632e+00,2.926829116383665941e+00,1.477825343601028907e+00,2.702077544461899627e+00,2.415479984349456544e+00
4.855201297016609630e+00,6.283185307176424317e+00,5.422049443054699935e+00,3.227598412622329604e+00,3.189348277723366820e+00,1.721173328794466828e+00,2.963160149290768430e+00,3.427217286853633027e+00
5.361069948317660483e+00,5.235987756136850635e-01,5.918416963086671423e+00,3.752636476363337081e+00,3.451867439215129174e+00,1.964521313841309791e+00,3.224242754119573284e+00,4.438954589455734734e+00
5.866938599673643395e+00,1.047197551230532042e+00,1.315991759960208896e-01,4.277674540461383401e+00,3.714386600858881948e+00,2.207869298747600517e+00,3.485325358948378582e+00,5.450691892167700559e+00
8.962194383863586467e-02,1.570796326789171360e+00,6.279666960715095669e-01,4.802712604858252021e+00,3.976905762625516427e+00,2.451217283476111675e+00,3.746407963748080050e+00,1.792438876772717293e-01
5.954905952921585310e-01,2.094395102406018339e+00,1.124334216255954644e+00,5.327750669670217931e+00,4.239424924573170550e+00,2.694565268089061050e+00,4.007490568576948853e+00,1.190981190584317062e+00
1.101359246800612368e+00,2.617993878022865317e+00,1.620701736497352385e+00,5.852788734839192486e+00,4.501944086672798662e+00,2.937913252561479283e+00,4.268573173405817656e+00,2.202718493601224736e+00
1.607227898297914237e+00,3.141592653581504635e+00,2.117069256725574888e+00,9.464149312762515365e-02,4.764463248895420833e+00,3.181261236856267605e+00,4.529655778205454730e+00,3.214455796595828474e+00
2.113096549906060773e+00,3.665191429198351614e+00,2.613436777065651029e+00,6.196795590105779183e-01,5.026982411298980935e+00,3.424609221037483664e+00,4.790738383034323533e+00,4.226193099812121545e+00
2.618965201508897778e+00,4.188790204756990931e+00,3.109804297401423057e+00,1.144717625192296140e+00,5.289501573825394765e+00,3.667957205047052138e+00,5.051820987834088506e+00,5.237930403017795555e+00
3.124833853273170092e+00,4.712388980432045571e+00,3.606171817895607035e+00,1.669755691847644385e+00,5.552020736562096381e+00,3.911305188964292689e+00,5.312903592691934129e+00,6.249667706546340185e+00
3.630702504977726619e+00,5.235987755990684889e+00,4.102539338333112795e+00,2.194793758743271539e+00,5.814539899392409339e+00,4.154653172684733775e+00,5.573986197491699102e+00,9.782197027758670060e-01
4.136571156731115195e+00,5.759586531549324206e+00,4.598906858818416765e+00,2.719831825995834507e+00,6.077059062374662091e+00,4.398001156258591671e+00,5.835068802291463186e+00,1.989957006282644159e+00
4.642439808591662498e+00,6.283185307166171185e+00,5.095274379409879373e+00,3.244869893663658189e+00,5.639291835843085465e-02,4.641349139715037708e+00,6.096151407120268928e+00,3.001694310003738764e+00
-1.134876846616149404e+00,5.235987756616395927e-01,-6.915434070659962629e-01,3.769907961746732816e+00,3.189120817028844868e-01,-1.398488184121441380e+00,7.404870479852765364e-02,-2.269753693232298808e+00
-6.290081947103156601e-01,1.047197551220278910e+00,-1.951758864282422401e-01,4.294946030069908716e+00,5.814312451408614191e-01,-1.155140200981264353e+00,3.351313095983561308e-01,-1.258016389420631320e+00
-1.231395427555296296e-01,1.570796326778918228e+00,3.011916342574488814e-01,4.819984098750103030e+00,8.439504087308208335e-01,-9.117922179875792565e-01,5.962139143981211031e-01,-2.462790855110592592e-01
3.827291093126382604e-01,2.094395102395765207e+00,7.975591550585606759e-01,5.345022167845641548e+00,1.106469572501925569e+00,-6.684442351051174125e-01,8.572965192268624524e-01,7.654582186252765208e-01
8.885977614273420366e-01,2.617993878012612186e+00,1.293926675904177426e+00,5.870060237297789918e+00,1.368988736424808117e+00,-4.250962523713565644e-01,1.118379124055731033e+00,1.777195522854684073e+00
1.394466413536851412e+00,3.141592653571251503e+00,1.790294196745607191e+00,1.119129998691281713e-01,1.631507900470552830e+00,-1.817482698091067994e-01,1.379461728855432279e+00,2.788932827073702825e+00
1.900335065755421660e+00,3.665191429188098482e+00,2.286661717696105711e+00,6.369510700351028731e-01,1.894027064697296758e+00,6.159971263775027017e-02,1.640544333684237577e+00,3.800670131510843319e+00
2.406203718022685845e+00,4.188790204804945461e+00,2.783029238694282981e+00,1.161989140557783351e+00,2.156546229075867682e+00,3.049476949380244828e-01,1.901626938513106158e+00,4.812407436045371689e+00
2.912072370344991334e+00,4.712388980421792439e+00,3.279396759749525714e+00,1.687027211437412078e+00,2.419065393606386838e+00,5.482956770979430239e-01,2.162709543341911456e+00,5.824144740689982669e+00
3.417941022655876182e+00,5.235987755980431757e+00,3.775764280791322314e+00,2.212065282615641948e+00,2.681584558259681561e+00,7.916436590802201634e-01,2.423792148141612479e+00,5.526967381321661321e-01
3.923809675019388710e+00,5.759586531539071075e+00,4.272131801886747127e+00,2.737103354150413281e+00,2.944103723064721567e+00,1.034991640919935563e+00,2.684874752941440956e+00,1.564434042859191187e+00
4.429678327550546690e+00,3.453948238529847004e-11,4.768499323149835156e+00,3.262141426158770230e+00,3.206622888080028932e+00,1.278339622673587916e+00,2.945957357799286136e+00,2.576171347921507149e+00
4.935546980072185619e+00,5.235987756513864610e-01,5.264866844402385837e+00,3.787179498465564009e+00,3.469142053218031041e+00,1.521687604251588777e+00,3.207039962628091434e+00,3.587908652964785006e+00
5.441415632530160806e+00,1.047197551151818118e+00,5.761234365592274642e+00,4.312217571012574524e+00,3.731661218449616957e+00,1.765035585628904835e+00,3.468122567398752576e+00,4.599645957880735381e+00
5.947284285157430794e+00,1.570796326768665097e+00,6.257601886952479653e+00,4.837255644032756763e+00,3.994180383891263730e+00,2.008383566922021135e+00,3.729205172227620935e+00,5.611383263135275357e+00
1.699676307083262117e-01,2.094395102443719736e+00,4.707841012332716346e-01,5.362293717468139320e+00,4.256699549513986547e+00,2.251731548093840907e+00,3.990287777085466558e+00,3.399352614166524233e-01
6.758362833811100145e-01,2.617993878002359054e+00,9.671516226400003191e-01,5.887331791143576964e+00,4.519218715230213235e+00,2.495079529071029256e+00,4.251370381885231531e+00,1.351672566762220029e+00
1.181704936098640246e+00,3.141592653560998372e+00,1.463519144088436974e+00,1.291845579961439228e-01,4.781737881098274912e+00,2.738427509897705558e+00,4.512452986684996503e+00,2.363409872197280492e+00
1.687573588981652328e+00,3.665191429236053011e+00,1.959886665701345621e+00,6.542226325016731181e-01,5.044257047176500031e+00,2.981775490636273673e+00,4.773535591542842127e+00,3.375147177963304657e+00
2.193442241806966564e+00,4.188790204794692329e+00,2.456254187260604738e+00,1.179260707247225426e+00,5.306776213348213922e+00,3.225123471180232571e+00,5.034618196342606211e+00,4.386884483613933128e+00
2.699310894735358346e+00,4.712388980411539308e+00,2.952621708919901167e+00,1.704298782407789759e+00,5.569295379700911042e+00,3.468471451602866740e+00,5.295700801171411953e+00,5.398621789470716692e+00
3.205179547656257455e+00,5.235987755970178625e+00,3.448989230571694264e+00,2.229336857866693222e+00,5.831814546176254943e+00,3.711819431851944628e+00,5.556783405971176037e+00,1.271737881329286779e-01
3.711048200690392207e+00,5.759586531587025604e+00,3.945356752338765816e+00,2.754374933740585618e+00,6.094333712832569638e+00,3.955167411989871873e+00,5.817866010799981780e+00,1.138911094201198182e+00
-2.066268453408282912e+00,2.428635070828022435e-11,-1.841461033029011762e+00,3.279413009971125170e+00,7.366757246110056112e-02,-2.084669915200223933e+00,-2.042366915507995984e-01,-4.132536906816565825e+00
-1.560399800274629989e+00,5.235987756411333294e-01,-1.345093511163438560e+00,3.804451086558171546e+00,3.361867394209490656e-01,-1.841321935353134043e+00,5.684591327806920447e-02,-3.120799600549259978e+00
-1.054531147204522679e+00,1.047197551141564986e+00,-8.487259893604087724e-01,4.329489163385424888e+00,5.987059064743788239e-01,-1.597973955706578852e+00,3.179285180487301243e-01,-2.109062294409045357e+00
-5.486624939147981550e-01,1.570796326816619626e+00,-3.523584673407884615e-01,4.854527240744168637e+00,8.612250737670323897e-01,-1.354625976123034370e+00,5.790111229065753040e-01,-1.097324987829596310e+00
-4.279384062660518406e-02,2.094395102433466604e+00,1.440090546803337590e-01,5.379565318401047236e+00,1.123744241182232040e+00,-1.111277996706971249e+00,8.400937277354438848e-01,-8.558768125321036813e-02
