# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
5.324003930516289174e+00,3.456790409472887404e-11,3.374291075884238822e+00,2.502214972092939860e-01,1.697563092862787837e+00,3.637335036575474412e+00,4.558316182047615683e+00,4.364822553852992115e+00
5.829873398791531436e+00,5.235987756514148828e-01,3.870659412878069361e+00,7.752646240097149644e-01,1.960084355303377324e+00,3.880681203159514592e+00,4.819398786876166518e+00,5.376561490403476640e+00
5.255755984076948550e-02,1.047197551210054201e+00,4.367027749825480143e+00,1.300307750815585806e+00,2.222605617740717410e+00,4.124027369694517553e+00,5.080481391675550462e+00,1.051151196815389710e-01
5.584270280790963881e-01,1.570796326768693518e+00,4.863396086781378358e+00,1.825350877684851270e+00,2.485126880203781585e+00,4.367373536207431961e+00,5.341563996474997467e+00,1.116854056158192776e+00
1.064296496443720486e+00,2.094395102443748158e+00,5.359764423862571903e+00,2.350394004734297937e+00,2.747648142750963807e+00,4.610719702756657767e+00,5.602646601332526011e+00,2.128592992887440971e+00
1.570165964707392448e+00,2.617993878002387476e+00,5.856132760844824148e+00,2.875437131730571139e+00,3.010169405265588960e+00,4.854065869231627417e+00,5.863729206131973015e+00,3.140331929414784895e+00
2.076035432980814832e+00,3.141592653561026793e+00,6.931579065622983649e-02,3.400480258790457455e+00,3.272690667806049447e+00,5.097412035684646625e+00,6.124811810931356959e+00,4.152070865961629664e+00
2.581904901380401185e+00,3.665191429236081433e+00,5.656841277723803074e-01,3.925523386030361550e+00,3.535211930430551597e+00,5.340758202173925717e+00,1.027091086092983829e-01,5.163809802760802370e+00
3.087774369676997921e+00,4.188790204794720751e+00,1.062052464786539474e+00,4.450566513217054876e+00,3.797733193022480247e+00,5.584104368586928935e+00,3.637917134087462756e-01,6.175548739353995842e+00
3.593643838045483818e+00,4.712388980411567729e+00,1.558420801873612760e+00,4.975609640525409105e+00,4.060254455669272566e+00,5.827450535011094779e+00,6.248743182372971106e-01,9.041023689113814044e-01
4.099513306365627940e+00,5.235987755970207047e+00,2.054789138911326418e+00,5.500652767839246948e+00,4.322775718312840354e+00,6.070796701384286287e+00,8.859569230366171055e-01,1.915841305551669649e+00
4.605382774753339348e+00,5.759586531587054026e+00,2.551157476015582404e+00,6.025695895274459701e+00,4.585296981011132367e+00,3.095756058487442175e-02,1.147039527865168829e+00,2.927580242327092463e+00
-1.171933064022578463e+00,2.431477241771062836e-11,3.047525813137840434e+00,2.675537155937596223e-01,-1.435367063444288549e+00,2.743037269492779595e-01,1.408122132693592654e+00,-2.343866128045156927e+00
-6.660635956095560806e-01,5.235987756411617511e-01,3.543894150268433130e+00,7.925968431557895988e-01,-1.172845800694513496e+00,5.176498932915692963e-01,1.669204737522143933e+00,-1.332127191219112161e+00
-1.601941272992804532e-01,1.047197551141593408e+00,4.040262487297288096e+00,1.317639970664795213e+00,-9.103245379772114676e-01,7.609960595577323073e-01,1.930287342292487551e+00,-3.203882545985609065e-01
3.456753411934436193e-01,1.570796326816648047e+00,4.536630824506574733e+00,1.842683098412056797e+00,-6.478032751467415196e-01,1.004342225887322027e+00,2.191369947150015207e+00,6.913506823868872386e-01
8.515448096414973689e-01,2.094395102433495026e+00,5.032999161672191413e+00,2.367726226164349690e+00,-3.852820123197146507e-01,1.247688392169832294e+00,2.452452551978502981e+00,1.703089619282994738e+00
1.357414278044878353e+00,2.617993877992134344e+00,5.529367498794151459e+00,2.892769353921657682e+00,-1.227607494961376333e-01,1.491034558405268884e+00,2.713535156777950430e+00,2.714828556089756706e+00
1.863283746514285966e+00,3.141592653608981323e+00,6.025735835980113642e+00,3.417812481800773128e+00,1.397605133823864032e-01,1.734380724645934624e+00,2.974617761606374700e+00,3.726567493028571931e+00
2.369153214997097745e+00,3.665191429225828301e+00,2.389188660009100573e-01,3.942855609742964340e+00,4.022817762864929203e-01,1.977726890868573006e+00,3.235700366434925535e+00,4.738306429994195490e+00
2.875022683435484616e+00,4.188790204784467619e+00,7.352872031578678857e-01,4.467898737690391364e+00,6.648030391872629119e-01,2.221073057044274712e+00,3.496782971234309478e+00,5.750045366870969232e+00
3.380892151941541801e+00,4.712388980401314598e+00,1.231655540381495051e+00,4.992941865759203957e+00,9.273243021427726163e-01,2.464419223227061195e+00,3.757865576062860757e+00,4.785989967034973702e-01
3.886761620459599609e+00,5.235987756018161576e+00,1.728023877617124171e+00,5.517984993891692724e+00,1.189845565124168614e+00,2.707765389390115462e+00,4.018948180891221966e+00,1.490337933739612986e+00
4.392631088930559535e+00,5.759586531576800894e+00,2.224392214805638091e+00,6.043028122028746729e+00,1.452366828101896212e+00,2.951111555503896700e+00,4.280030785690732031e+00,2.502076870681532839e+00
4.898500557471596295e+00,1.406164074069238268e-11,2.720760552064238169e+00,2.848859431079464599e-01,1.714888091134539660e+00,3.194457721626995372e+00,4.541113390519219806e+00,3.513815807763606358e+00
5.404370026026277252e+00,5.235987756309086194e-01,3.217128889337498521e+00,8.099290714299911542e-01,1.977409354192863900e+00,3.437803887732215014e+00,4.802195995347707580e+00,4.525554744872968271e+00
5.910239494530299176e+00,1.047197551189547937e+00,3.713497226558066799e+00,1.334972199757071820e+00,2.239930617247758882e+00,3.681150053784363774e+00,5.063278600147091524e+00,5.537293681881012120e+00
1.329236559265831730e-01,1.570796326806394916e+00,4.209865563851499459e+00,1.860015328205596674e+00,2.502451880357428937e+00,3.924496219847745326e+00,5.324361204975579298e+00,2.658473118531663459e-01
6.387931245160896054e-01,2.094395102423241894e+00,4.706233901159588839e+00,2.385058456717340292e+00,2.764973143492763352e+00,4.167842385893261614e+00,5.585443809804067072e+00,1.277586249032179211e+00
1.144662593113139337e+00,2.617993878040088873e+00,5.202602238473183149e+00,2.910101585292295567e+00,3.027494406653759462e+00,4.411188551914820621e+00,5.846526414632553958e+00,2.289325186226278674e+00
1.650532061665615835e+00,3.141592653598728191e+00,5.698970575743214084e+00,3.435144713872242406e+00,3.290015669811307664e+00,4.654534717889416306e+00,6.107609019431937902e+00,3.301064123331231670e+00
2.156401530287899604e+00,3.665191429215575170e+00,6.195338913083059396e+00,3.960187842573580141e+00,3.552536933023609844e+00,4.897880883873230395e+00,8.550631708083944460e-02,4.312803060575799208e+00
2.662270998865349014e+00,4.188790204774214487e+00,4.085219431994957517e-01,4.485230971279630552e+00,3.815058196232326893e+00,5.141227049809963034e+00,3.465889218803503979e-01,5.324541997730698029e+00
3.168140467511079805e+00,4.712388980391061466e+00,9.048902805627889734e-01,5.010274100107560358e+00,4.077579459496043945e+00,5.384573215754143050e+00,6.076715267087111627e-01,5.309562784257337853e-02
3.674009936165994361e+00,5.235987756007908445e+00,1.401258617934249884e+00,5.535317228998259509e+00,4.340100722785207310e+00,5.627919381676225186e+00,8.687541315372619977e-01,1.064834565152402490e+00
4.179879404778480634e+00,5.759586531566547762e+00,1.897626955265300452e+00,6.060360357894012395e+00,4.602621986070960958e+00,5.871265547553462305e+00,1.129836736336645941e+00,2.076573502377375036e+00
-1.597436433718949278e+00,3.808509063674136996e-12,2.393995292666034835e+00,3.022181797313871487e-01,-1.418042057768205577e+00,-1.685735937397152273e-01,1.390919341165197221e+00,-3.194872867437898556e+00
-1.091566965030919434e+00,5.235987756206554877e-01,2.890363630069594958e+00,8.272613088118446756e-01,-1.155520794401972307e+00,7.477257212092468242e-02,1.652001945993557763e+00,-2.183133930061838868e+00
-5.856974963839252091e-01,1.047197551179294805e+00,3.386731967435160584e+00,1.352304437896686196e+00,-8.929995310394811536e-01,3.181187379384442515e-01,1.913084550793068495e+00,-1.171394992767850418e+00
-7.982802766688634755e-02,1.570796326796141784e+00,3.883100304870770181e+00,1.877347567103079484e+00,-6.304782676221474258e-01,5.614649037653393071e-01,2.174167155621556269e+00,-1.596560553337726951e-01
4.260414410576700561e-01,2.094395102412988763e+00,4.379468642311866944e+00,2.402390696372552537e+00,-3.679570041792057378e-01,8.048110695683179383e-01,2.435249760450044043e+00,8.520828821153401123e-01
9.319109097376285789e-01,2.617993877971628081e+00,4.875836979709379015e+00,2.927433825646880816e+00,-1.054357407397670671e-01,1.048157235324378211e+00,2.696332365249427987e+00,1.863821819475257158e+00
1.437780378489402988e+00,3.141592653588475059e+00,5.372205317179725270e+00,3.452476955042472095e+00,1.570855227543731802e-01,1.291503401091729897e+00,2.957414970077915317e+00,2.875560756978805976e+00
1.943649847248688500e+00,3.665191429205322038e+00,5.868573654655549809e+00,3.977520084501106723e+00,4.196067862741065801e-01,1.534849566835176260e+00,3.218497574906403091e+00,3.887299694497377001e+00
2.449519316023482940e+00,4.188790204822169017e+00,8.175668496932786411e-02,4.502563214022642590e+00,6.821280498193629249e-01,1.778195732562788622e+00,3.479580179734954370e+00,4.899038632046965880e+00
2.955388784749860775e+00,4.712388980380808334e+00,5.781250224132605808e-01,5.027606343549244627e+00,9.446493133612259285e-01,2.021541898239557877e+00,3.740662784534274365e+00,5.910777569499721551e+00
3.461258253543729069e+00,5.235987755997655313e+00,1.074493359923668123e+00,5.552649473196803243e+00,1.207170576957642627e+00,2.264888063923445216e+00,4.001745389362826089e+00,6.393311999078719055e-01
3.967127722297050685e+00,5.759586531556294631e+00,1.570861697396568779e+00,6.077692602849149139e+00,1.469691840550528150e+00,2.508234229564499262e+00,4.262827994162273093e+00,1.651070137414515138e+00
4.472997191170477116e+00,5.176303830012329854e-11,2.067230034985527709e+00,3.195504255015615414e-01,1.732213104227317002e+00,2.751580395235939225e+00,4.523910599019801637e+00,2.662809075161368000e+00
4.978866659942988271e+00,5.235987756104023561e-01,2.563598372475581755e+00,8.445935552799870294e-01,1.994734367871397573e+00,2.994926560833355289e+00,4.784993203819184693e+00,3.674548012706390310e+00
5.484736128730991922e+00,1.047197551169041674e+00,3.059966709983159561e+00,1.369636685121241371e+00,2.257255631540971752e+00,3.238272726414958669e+00,5.046075808618631697e+00,4.686286950282397612e+00
