# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
5.480057327640478704e+00,6.283185307171834211e+00,5.493765227495241987e-01,2.156867798555532900e+00,2.653879166240766363e+00,2.882605793502751368e+00,3.496446686103642953e+00,4.676929348101371176e+00
5.985925940865018724e+00,5.235987756090949574e-01,1.045744004705333019e+00,2.681905593445051750e+00,2.916398213098479797e+00,3.125953888139128001e+00,3.757529290932384303e+00,5.688666574550451216e+00
2.086092469652616188e-01,1.047197551225941936e+00,1.542111486718464874e+00,3.206943388699961872e+00,3.178917260112224419e+00,3.369301982629451242e+00,4.018611895761253550e+00,4.172184939305232376e-01
7.144778602344263874e-01,1.570796326784581254e+00,2.038478968718893114e+00,3.731981184262430418e+00,3.441436307253084692e+00,3.612650076936690269e+00,4.279694500560954573e+00,1.428955720468852775e+00
1.220346473613153293e+00,2.094395102401428232e+00,2.534846450828888820e+00,4.257018980248600926e+00,3.703955354579133274e+00,3.855998171122995366e+00,4.540777105389823376e+00,2.440692947226306586e+00
1.726215087047421548e+00,2.617993878018275211e+00,3.031213932996450922e+00,4.782056776600388304e+00,3.966474402061326288e+00,4.099346265163396730e+00,4.801859710218691291e+00,3.452430174094843096e+00
2.232083700529228665e+00,3.141592653635122190e+00,3.527581415209517957e+00,5.307094573317900910e+00,4.228993449699719243e+00,4.342694359049836805e+00,5.062942315047497033e+00,4.464167401058457330e+00
2.737952314006212973e+00,3.665191429193761508e+00,4.023948897418781812e+00,5.832132370342668182e+00,4.491512497465077303e+00,4.586042452759190979e+00,5.324024919847261117e+00,5.475904628012425945e+00
3.243820927536702925e+00,4.188790204752400825e+00,4.520316379682565611e+00,7.398486055342878842e-02,4.754031545386561142e+00,4.829390546320631472e+00,5.585107524647026089e+00,2.044565478938196179e-01
3.749689541231273182e+00,4.712388980427455465e+00,5.016683862108404668e+00,5.990226584260121001e-01,5.016550593522500989e+00,5.072738639786404491e+00,5.846190129504871713e+00,1.216193775282960132e+00
4.255558154862683296e+00,5.235987755986094783e+00,5.513051344472092552e+00,1.124060456547480769e+00,5.279069641756221287e+00,5.316086733045943369e+00,6.107272734304636685e+00,2.227931002545780359e+00
4.761426768547597277e+00,5.759586531544734100e+00,6.009418826890300380e+00,1.649098255034493477e+00,5.541588690146050489e+00,5.559434826157593434e+00,8.517003192481453766e-02,3.239668229915608322e+00
5.267295382338126331e+00,6.283185307161581079e+00,2.226010022325048965e-01,2.174136053945243674e+00,5.804107738721087095e+00,5.802782919144364726e+00,3.462526367536842287e-01,4.251405457496666429e+00
-5.100213109389629684e-01,5.235987756570494867e-01,7.189684848672875939e-01,2.699173853279978719e+00,-2.165585196981321681e-01,-2.370542951670939202e-01,6.073352416115291863e-01,-1.020042621877925937e+00
-4.152697101792224288e-03,1.047197551215688804e+00,1.215335967436728559e+00,3.224211652863425925e+00,4.596052915992873689e-02,6.293797492733066434e-03,8.684178464113574414e-01,-8.305394203584448576e-03
5.017159167850708812e-01,1.570796326774328122e+00,1.711703450054853803e+00,3.749249452812624561e+00,3.084795781742033505e-01,2.496418900007612018e-01,1.129500451211058687e+00,1.003431833570141762e+00
1.007584530841977966e+00,2.094395102449382762e+00,2.208070932844046208e+00,4.274287253243853613e+00,5.709986274028313602e-01,4.929899824192046642e-01,1.390583056068904311e+00,2.015169061683955931e+00
1.513453144833557751e+00,2.617993878008022079e+00,2.704438415567887777e+00,4.799325053923759299e+00,8.335176767291366806e-01,7.363380746293718415e-01,1.651665660868732566e+00,3.026906289667115502e+00
2.019321758935067823e+00,3.141592653624869058e+00,3.200805898401676064e+00,5.324362855027592545e+00,1.096036726240744219e+00,9.796861667188966338e-01,1.912748265697537642e+00,4.038643517870135646e+00
2.525190373029710056e+00,3.665191429183508376e+00,3.697173381228596512e+00,5.849400656438540125e+00,1.358555775879247696e+00,1.223034258629390081e+00,2.173830870497302392e+00,5.050380746059420112e+00
3.031058987234025004e+00,4.188790204800355355e+00,4.193540864165189674e+00,9.125315109355014442e-02,1.621074825702914168e+00,1.466382350419128233e+00,2.434913475326171195e+00,6.062117974468050008e+00
3.536927601489934236e+00,4.712388980417202333e+00,4.689908347153368240e+00,6.162909532937037582e-01,1.883593875682698648e+00,1.709730442059080424e+00,2.695996080154976049e+00,7.906698958002822408e-01
