# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
2.694229034051804916e+00,2.302869006598484702e-11,3.694319669175376575e+00,5.268678854076354057e+00,4.208228581378715027e+00,4.834184553629448544e+00,1.926826252394072903e+00,5.388458068103609833e+00
3.200097295396080455e+00,5.235987756398756687e-01,4.190686799257056450e+00,5.793714009286572875e+00,4.470746480722964655e+00,5.077533801325735396e+00,2.187908857223004766e+00,1.170092836125746771e-01
3.705965556676606099e+00,1.047197551140307326e+00,4.687053929273963249e+00,3.556385763518399301e-02,4.733264380201500643e+00,5.320883048759660561e+00,2.448991461993856422e+00,1.128745806173625965e+00
4.211833818183148281e+00,1.570796326815361965e+00,5.183421059514873974e+00,5.605990137731549083e-01,4.995782279960216954e+00,5.564232296075096507e+00,2.710074066851765107e+00,2.140482329186710331e+00
4.717702079690242911e+00,2.094395102432208944e+00,5.679788189758355088e+00,1.085634170287296030e+00,5.258300179882312797e+00,5.807581543163387039e+00,2.971156671680697414e+00,3.152218852200899590e+00
5.223570341194079703e+00,2.617993877990848262e+00,6.176155319998574811e+00,1.610669327177852495e+00,5.520818079967909853e+00,6.050930790020601968e+00,3.232239276480525447e+00,4.163955375208573173e+00
5.729438602752741971e+00,3.141592653549487579e+00,3.893371431140391081e-01,2.135704484502895184e+00,5.783335980246041785e+00,1.109472949620560200e-02,3.493321881280417429e+00,5.175691898325897711e+00
6.235306864481113820e+00,3.665191429224542219e+00,8.857042735777937992e-01,2.660739642379340353e+00,6.045853880775166722e+00,2.544439760058061495e-01,3.754404486138326114e+00,6.187428421782641408e+00
4.579898189700877253e-01,4.188790204783181537e+00,1.382071403982715552e+00,3.185774800573584642e+00,2.518647425889586344e-02,4.977932222570951026e-01,4.015487090938218095e+00,9.159796379401754507e-01
9.638580807498975389e-01,4.712388980400028515e+00,1.878438534497899326e+00,3.710809959260746638e+00,2.877043751439609665e-01,7.411424683335807728e-01,4.276569695767149959e+00,1.927716161499795078e+00
1.469726342584783296e+00,5.235987756016875494e+00,2.374805665068164373e+00,4.235845118382613350e+00,5.502222762216666396e-01,9.844917142082030281e-01,4.537652300596018762e+00,2.939452685169566593e+00
1.975594604420216172e+00,5.759586531575514812e+00,2.871172795640989150e+00,4.760880277880584543e+00,8.127401774627145414e-01,1.227840959855736713e+00,4.798734905395910744e+00,3.951189208840432343e+00
2.481462866367031506e+00,1.277555838896660134e-11,3.367539926324192745e+00,5.285915437871580025e+00,1.075258078925560135e+00,1.471190205328558376e+00,-1.223367796954807130e+00,4.962925732734063011e+00
2.987331128366506050e+00,5.235987756296225371e-01,3.863907057059032812e+00,5.810950598296868996e+00,1.337775980580840018e+00,1.714539450597315939e+00,-9.622851921258113173e-01,5.974662256733012100e+00
3.493199390362847545e+00,1.047197551188261855e+00,4.360274187790738942e+00,5.280045191902971169e-02,1.600293882399635104e+00,1.957888695635138898e+00,-7.012025873259828401e-01,7.032134735461088582e-01
3.999067652474504797e+00,1.570796326805108833e+00,4.856641318638785343e+00,5.778356132136455159e-01,1.862811784440149276e+00,2.201237940502275503e+00,-4.401199824971144814e-01,1.714949997769423362e+00
