# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
-2.729398275698745380e+00,1.056577048075268976e-11,-3.130610112787575172e+00,1.678646939661501136e-01,1.658668483707298913e+00,-4.359663763027745276e+00,4.554149778481833444e+00,-5.458796551397490759e+00
-2.223528989493033237e+00,5.235987756274127491e-01,-2.634241957860165684e+00,6.929068007924357175e-01,1.921189330470772560e+00,-4.116317266400353780e+00,4.815232383310384279e+00,-4.447057978986066473e+00
-1.717659703312252040e+00,1.047197551186052067e+00,-2.137873802955661873e+00,1.217948907729993202e+00,2.183710177274463593e+00,-3.872970769854549467e+00,5.076314988109959181e+00,-3.435319406624504079e+00
-1.211790417045703450e+00,1.570796326802899046e+00,-1.641505647966406745e+00,1.742991014895613588e+00,2.446231024176766855e+00,-3.629624273338027951e+00,5.337397592938573965e+00,-2.423580834091406899e+00
-7.059211307496936483e-01,2.094395102419746024e+00,-1.145137492947691404e+00,2.268033122230942666e+00,2.708751871148508350e+00,-3.386277776877919088e+00,5.598480197767188749e+00,-1.411842261499387297e+00
-2.000518444824290198e-01,2.617993877978385342e+00,-6.487693379577210706e-01,2.793075229677764781e+00,2.971272718160580251e+00,-3.142931280503319602e+00,5.859562802566698814e+00,-4.001036889648580397e-01
3.058174418726297694e-01,3.141592653595232321e+00,-1.524011828799638479e-01,3.318117337352608942e+00,3.233793565271247950e+00,-2.899584784155957884e+00,6.120645407395250537e+00,6.116348837452595388e-01
8.116867282568918096e-01,3.665191429212079299e+00,3.439669722270046748e-01,3.843159445196874913e+00,3.496314412451212217e+00,-2.656238287865120284e+00,9.854270504434214928e-02,1.623373456513783619e+00
1.317556014670736131e+00,4.188790204828926278e+00,8.403351273635546459e-01,4.368201553210932175e+00,3.758835259700659126e+00,-2.412891791630614513e+00,3.596253098729569331e-01,2.635112029341472262e+00
1.823425301053794412e+00,4.712388980387565596e+00,1.336703282468303611e+00,4.893243661336430961e+00,4.021356106990414681e+00,-2.169545295483633840e+00,6.207079146724678864e-01,3.646850602107588823e+00
2.329294587528574212e+00,5.235987756004412574e+00,1.833071437666795811e+00,5.418285769689775933e+00,4.283876954378682100e+00,-1.926198799359871261e+00,8.817905195010826702e-01,4.658589175057148424e+00
2.835163873974471560e+00,5.759586531563051892e+00,2.329439592836406892e+00,5.943327878154413213e+00,4.546397801807186667e+00,-1.682852303321654475e+00,1.142873124300656684e+00,5.670327747948943120e+00
-2.942152146617164732e+00,5.852029971720185131e-11,-3.457377559033538716e+00,1.851846797257455657e-01,-1.474266657816163839e+00,-1.439505807285543781e+00,1.403955729158311572e+00,-5.884304293234329464e+00
-2.436282860114276971e+00,5.235987756171596175e-01,-2.961009403807945972e+00,7.102267885297252059e-01,-1.211745810248805455e+00,-1.196159311362041677e+00,1.665038333957822525e+00,-4.872565720228553943e+00
-1.930413573580045394e+00,1.047197551175798935e+00,-2.464641248550014652e+00,1.235268897503166485e+00,-9.492249626121233019e-01,-9.528128154929405014e-01,1.926120938757396761e+00,-3.860827147160090789e+00
-1.424544286960064632e+00,1.570796326792645914e+00,-1.968273093207329794e+00,1.760311006704518233e+00,-6.867041148768915360e-01,-7.094663196530639482e-01,2.187203543586011545e+00,-2.849088573920129264e+00
-9.186750003124188879e-01,2.094395102409492893e+00,-1.471904937837992478e+00,2.285353116075691915e+00,-4.241832670721540355e-01,-4.661198238714501230e-01,2.448286148414498875e+00,-1.837350000624837776e+00
-4.128057136899911939e-01,2.617993877968132210e+00,-9.755367824918605990e-01,2.810395225557699828e+00,-1.616624192274030425e-01,-2.227733281714838753e-01,2.709368753214136838e+00,-8.256114273799823877e-01
-6.190121734161281530e+00,3.141592653584979189e+00,-4.791686270608668252e-01,3.335437335267710246e+00,1.008584287159462883e-01,-6.262612139680252099e+00,2.970451358042751622e+00,-6.097058161142976829e+00
-5.684252447423421728e+00,3.665191429201826168e+00,-6.265985778779894488e+00,3.860479445147377398e+00,3.633792767287222780e-01,-6.019265644065714405e+00,3.231533962871302457e+00,-5.085319587667257224e+00
-5.178383160656384376e+00,4.188790204818673146e+00,-5.769617623290152153e+00,4.385521555196304710e+00,6.259001248107275428e-01,-5.775919148507643541e+00,3.492616567699980745e+00,-4.073581014133182521e+00
-4.672513873917996996e+00,4.712388980377312464e+00,-5.273249467829064230e+00,4.910563665356655783e+00,8.884209729330447836e-01,-5.532572653034947052e+00,3.753699172499491699e+00,-3.061842440656407760e+00
-4.166644587091971275e+00,5.235987755994159443e+00,-4.776881312280348624e+00,5.435605775744703827e+00,1.150941821153811828e+00,-5.289226157589475896e+00,4.014781777328106926e+00,-2.050103867004356317e+00
