# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
1.259858627002493847e+00,6.283185307173951628e+00,1.988363853438167794e+00,1.094731908029907608e+00,2.112184473659186157e+00,5.499514064669308588e+00,4.034436791357931540e+00,2.519717254004987694e+00
1.765725824470813166e+00,5.235987756112123748e-01,2.484729919653513974e+00,1.619757359449850220e+00,2.374697557854112073e+00,5.742869238994694925e+00,4.295519396187181371e+00,3.531451648941626331e+00
2.271593021930716105e+00,1.047197551169851693e+00,2.981095985863477793e+00,2.144782811253767463e+00,2.637210642275110484e+00,5.986224412935457373e+00,4.556602000987327372e+00,4.543186043861432211e+00
2.777460219542852826e+00,1.570796326844906332e+00,3.477462052221630628e+00,2.669808263616545219e+00,2.899723727009622110e+00,6.229579586564817362e+00,4.817684605845553136e+00,5.554920439085705652e+00
3.283327417088109712e+00,2.094395102403545650e+00,3.973828118515944752e+00,3.194833716304856353e+00,3.162236811940978054e+00,1.897494526007417193e-01,5.078767210645699137e+00,2.834695269966331921e-01
3.789194614677061423e+00,2.617993877962184968e+00,4.470194184853944819e+00,3.719859169435380863e+00,3.424749897127514320e+00,4.331046254546464525e-01,5.339849815445845138e+00,1.295203922174536615e+00
4.295061812363980991e+00,3.141592653579031946e+00,4.966560251287889471e+00,4.244884623066464968e+00,3.687262982598400018e+00,6.764597979720550214e-01,5.600932420275031021e+00,2.306938317548375750e+00
4.800929010154966647e+00,3.665191429254086586e+00,5.462926317826921618e+00,4.769910077198121101e+00,3.949776068353636482e+00,9.198149701590638827e-01,5.862015025133257673e+00,3.318672713130347063e+00
5.306796207814645783e+00,4.188790204754518243e+00,5.959292384234617046e+00,5.294935531597019462e+00,4.212289154276556147e+00,1.163170141896974208e+00,6.123097629904362904e+00,4.330407108449705333e+00
5.812663405634566516e+00,4.712388980371365221e+00,1.724731436229944848e-01,5.819960986554718829e+00,4.474802240512933516e+00,1.406525313331565386e+00,1.009949275540265035e-01,5.342141504089546800e+00
3.534529637516392597e-02,5.235987756046419861e+00,6.688392102902085412e-01,6.180113483368998573e-02,4.737315327033791768e+00,1.649880484431829331e+00,3.620775324121892069e-01,7.069059275032785195e-02
5.412124942261886673e-01,5.759586531605059179e+00,1.165205276890274533e+00,5.868265906176031166e-01,4.999828413751378875e+00,1.893235655116109584e+00,6.231601372123982685e-01,1.082424988452377335e+00
1.047079692117106831e+00,6.283185307163698496e+00,1.661571343528217781e+00,1.111852046844063580e+00,5.262341500724283527e+00,2.136590825434872443e+00,8.842427420124803206e-01,2.094159384234213661e+00
1.552946890114004663e+00,5.235987756009592431e-01,2.157937410274163526e+00,1.636877503571029679e+00,-7.583307191981042417e-01,2.379945995425223337e+00,1.145325346841666647e+00,3.105893780228009327e+00
2.058814088150418442e+00,1.047197551217806222e+00,2.654303477057601057e+00,2.161902960740184731e+00,-4.958176316857746402e-01,2.623301165049870765e+00,1.406407951670916479e+00,4.117628176300836884e+00
2.564681286234730351e+00,1.570796326834653200e+00,3.150669543890961322e+00,2.686928418351789194e+00,-2.333045439181876679e-01,2.866656334317074339e+00,1.667490556500102361e+00,5.129362572469460702e+00
3.070548484300354097e+00,2.094395102393292518e+00,3.647035610703602160e+00,3.211953876347394932e+00,2.920854407542849973e-02,3.110011503189476834e+00,1.928573161300248362e+00,6.141096968600708195e+00
3.576415682413878194e+00,2.617993877951931836e+00,4.143401677566174612e+00,3.736979334785473839e+00,2.917216323243055354e-01,3.353366671704440805e+00,2.189655766100330414e+00,8.696460576481701565e-01
4.082282880683466786e+00,3.141592653626986476e+00,4.639767744582787401e+00,4.262004793782323553e+00,5.542347208865884278e-01,3.596721839911987129e+00,2.450738370958620571e+00,1.881380454187347340e+00
4.588150078940466337e+00,3.665191429243833454e+00,5.136133811587819231e+00,4.787030253163208293e+00,8.167478096749047900e-01,3.840077007730838599e+00,2.711820975787869958e+00,2.893114850701346441e+00
5.094017277124892829e+00,4.188790204744265111e+00,5.632499878520270897e+00,5.312055712870183299e+00,1.079260898660278523e+00,4.083432175129989794e+00,2.972903580558848624e+00,3.904849247070199425e+00
5.599884475527656669e+00,4.712388980419319751e+00,6.128865945671075011e+00,5.837081173194170525e+00,1.341773987988166272e+00,4.326787342254899471e+00,3.233986185417138337e+00,4.916583643875727105e+00
6.105751673913898614e+00,5.235987756036166729e+00,3.420467056247460391e-01,7.892132672276463978e-02,1.604287077542154716e+00,4.570142508987124152e+00,3.495068790246324664e+00,5.928318040648210996e+00
3.284335651098757580e-01,5.759586531594806047e+00,8.384127727493506654e-01,6.039467878148965241e-01,1.866800167322118176e+00,4.813497675332637726e+00,3.756151395046533725e+00,6.568671302197515161e-01
8.343007635273806955e-01,6.283185307153445365e+00,1.334778839914879001e+00,1.128972249349702750e+00,2.129313257357415168e+00,5.056852841314703362e+00,4.017233999846616221e+00,1.668601527054761391e+00
1.340167962103117283e+00,5.235987756489137723e-01,1.831144907237639785e+00,1.653997711443485841e+00,2.391826347706191402e+00,5.300208006991468324e+00,4.278316604704842874e+00,2.680335924206234566e+00
1.846035160609842407e+00,1.047197551207553090e+00,2.327510974493405271e+00,2.179023173862919549e+00,2.654339438251780425e+00,5.543563172252361504e+00,4.539399209505051935e+00,3.692070321219684814e+00
2.351902359216849092e+00,1.570796326824400069e+00,2.823877041848438907e+00,2.704048636783394244e+00,2.916852529081874312e+00,5.786918337178986960e+00,4.800481814334174757e+00,4.703804718433698184e+00
2.857769557807086969e+00,2.094395102383039386e+00,3.320243109185685881e+00,3.229074100087878207e+00,3.179365620137950543e+00,6.030273501712819950e+00,5.061564419134319870e+00,5.715539115614173937e+00
3.363636756503321834e+00,2.617993877999886365e+00,3.816609176630967326e+00,3.754099563893044333e+00,3.441878711478344233e+00,6.273628665918291603e+00,5.322647023963569701e+00,4.440882058270574362e-01
3.869503955239474990e+00,3.141592653616733344e+00,4.312975244114131357e+00,4.279125028140954967e+00,3.704391803074080336e+00,2.337985225787191368e-01,5.583729628792692523e+00,1.455822603299363749e+00
4.375371153962928972e+00,3.665191429175372662e+00,4.809341311585615841e+00,4.804150492772901515e+00,3.966904894895801448e+00,4.771536860300162886e-01,5.844812233592838524e+00,2.467557000746271711e+00
4.881238352788445312e+00,4.188790204792219640e+00,5.305707379159157355e+00,5.329175957905695427e+00,4.229417987001909296e+00,7.205088491489624047e-01,6.105894838422024407e+00,3.479291398397304391e+00
5.387105551657565883e+00,4.712388980409066619e+00,5.802073446776299548e+00,5.854201423480882127e+00,4.491931079363172152e+00,9.638640119063310863e-01,8.379213607168800593e-02,4.491025796135545534e+00
5.892972750570546481e+00,5.235987756025913598e+00,1.525420725772086428e-02,9.604158231914361465e-02,4.754444171979720579e+00,1.207219174302255560e+00,3.448747409008738884e-01,5.502760193961506729e+00
1.156546422913731220e-01,5.759586531584552915e+00,5.116202749071732114e-01,6.210670487212013313e-01,5.016957264822323737e+00,1.450574336309538026e+00,6.059573457010190012e-01,2.313092845827462440e-01
6.215218412877590026e-01,2.181366198783507571e-11,1.007986342649560108e+00,1.146092515624145491e+00,-1.003714949230269715e+00,1.693929497978389653e+00,8.670399505302055498e-01,1.243043682575518005e+00
1.127389040334104031e+00,5.235987756386606407e-01,1.504352410444945498e+00,1.671117982969783755e+00,-7.412018558479875896e-01,1.937284659291899747e+00,1.128122555359328150e+00,2.254778080668208062e+00
1.633256239363567230e+00,1.047197551197299958e+00,2.000718478222425212e+00,2.196143450699410415e+00,-4.786887622397730246e-01,2.180639820212587843e+00,1.389205160159537211e+00,3.266512478727134461e+00
2.139123438436895341e+00,1.570796326755939276e+00,2.497084546043777387e+00,2.721168918871748943e+00,-2.161756683762684206e-01,2.423994980771846830e+00,1.650287764959683212e+00,4.278246876873790683e+00
2.644990637668601430e+00,2.094395102430993916e+00,2.993450614022491685e+00,3.246194387603355658e+00,4.633742580080027484e-02,2.667350141025918830e+00,1.911370369817909420e+00,5.289981275337202860e+00
3.150857836831443493e+00,2.617993877989633233e+00,3.489816681934367004e+00,3.771219856660904757e+00,3.088505201747657747e-01,2.910705300864231848e+00,2.172452974618055421e+00,1.853036648330075309e-02
3.656725036092299153e+00,3.141592653606480212e+00,3.986182749942231318e+00,4.296245326219406913e+00,5.713636148331296960e-01,3.154060460366166829e+00,2.433535579447241304e+00,1.030264765005012073e+00
4.162592235342627234e+00,3.665191429165119530e+00,4.482548817941600205e+00,4.821270796162205663e+00,8.338767097175594500e-01,3.397415619481517268e+00,2.694618184247387305e+00,2.041999163505668236e+00
4.668459434690973353e+00,4.188790204781966509e+00,4.978914886036945653e+00,5.346296266605981451e+00,1.096389804886390928e+00,3.640770778260496776e+00,2.955700789076573187e+00,3.053733562202360474e+00
5.174326634087127452e+00,4.712388980398813487e+00,5.475280954182141002e+00,5.871321737492410264e+00,1.358902900310458906e+00,3.884125936682065294e+00,3.216783393905759070e+00,4.065467960994668672e+00
5.680193833522840130e+00,5.235987756015660466e+00,5.971647022364854784e+00,1.131619016417895196e-01,1.621415995989699876e+00,4.127481094738036482e+00,3.477865998735008901e+00,5.077202359866094028e+00
6.186061032946381211e+00,5.759586531574299784e+00,1.848277833568250372e-01,6.381873733554765948e-01,1.883929091895203189e+00,4.370836252405597477e+00,3.738948603535027893e+00,6.088936758713176189e+00
4.087429252920387057e-01,1.156053031081683002e-11,6.811938516300859447e-01,1.163212845569804088e+00,2.146442188084923597e+00,4.614191409740670657e+00,4.000031208364276836e+00,8.174858505840774114e-01
9.146101248610332135e-01,5.235987756284075090e-01,1.177559919947105627e+00,1.688238318226827239e+00,2.408955284529884722e+00,4.857546566714285419e+00,4.261113813193526667e+00,1.829220249722066427e+00
1.420477324415575282e+00,1.047197551187046827e+00,1.673925988249656882e+00,2.213263791268351710e+00,2.671468381200985398e+00,5.100901723297338819e+00,4.522196417993672668e+00,2.840954648831150564e+00
1.926344524072332476e+00,1.570796326803893805e+00,2.170292056654439250e+00,2.738289264811054835e+00,2.933981478156560296e+00,5.344256879548170858e+00,4.783279022822795490e+00,3.852689048144664952e+00
