# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
5.757501599943907422e+00,4.581489286540069372e+00,1.272563996663439667e+00,1.304104126564160637e+00,5.360783731141775199e+00,3.339421910477664568e-01,5.648406596031451343e+00,5.231817892708228612e+00
5.799657296961294506e+00,4.625122517792966903e+00,1.313927932729184178e+00,1.347857123311431593e+00,5.382660252322339467e+00,3.542212643562967500e-01,5.670163479742779344e+00,5.316129286743002780e+00
5.841812994099036871e+00,4.668755749162279756e+00,1.355291868917333886e+00,1.391610120172481757e+00,5.404536773559973639e+00,3.745003377285200941e-01,5.691920363512187109e+00,5.400440681018487510e+00
5.883968691119989103e+00,4.712388980415177286e+00,1.396655804988693461e+00,1.435363116914224690e+00,5.426413294738134496e+00,3.947794110438280768e-01,5.713677247223387212e+00,5.484752075060391974e+00
5.926124388144367927e+00,4.756022211668074817e+00,1.438019741065497570e+00,1.479116113652821696e+00,5.448289815914901801e+00,4.150584843643656541e-01,5.735434130934714325e+00,5.569063469109149622e+00
5.968280085273105939e+00,4.799655443037387670e+00,1.479383677240576844e+00,1.522869110505451928e+00,5.470166337148866020e+00,4.353375577324660739e-01,5.757191014703995080e+00,5.653374863366625647e+00
6.010435782292670837e+00,4.843288674290285201e+00,1.520747613310533097e+00,1.566622107238265116e+00,5.492042858323102017e+00,4.556166310515274986e-01,5.778947898415322193e+00,5.737686257405755441e+00
6.052591479370574845e+00,4.886921905601390392e+00,1.562111549438828462e+00,1.610375104026903870e+00,5.513919379525431097e+00,4.758957044012390725e-01,5.800704782155499117e+00,5.821997651561563458e+00
6.094747176443528147e+00,4.930555136912495584e+00,1.603475485560140967e+00,1.654128100812140900e+00,5.535795900726238727e+00,4.961747777479263988e-01,5.822461665895930061e+00,5.906309045707470062e+00
6.136902873520423185e+00,4.974188368223600776e+00,1.644839421687459335e+00,1.697881097594741817e+00,5.557672421925908601e+00,5.164538511000982268e-01,5.844218549636233995e+00,5.990620439861260138e+00
6.179058570538733974e+00,5.017821599476498307e+00,1.686203357756159704e+00,1.741634094316243164e+00,5.579548943095208990e+00,5.367329244244594122e-01,5.865975433347434098e+00,6.074931833897881717e+00
6.221214267673081721e+00,5.061454830845811159e+00,1.727567293940914794e+00,1.785387091151267924e+00,5.601425464321451386e+00,5.570119978083205581e-01,5.887732317116841863e+00,6.159243228166577211e+00
6.263369964686573255e+00,5.105088062098708690e+00,1.768931230002767307e+00,1.829140087866983677e+00,5.623301985488219579e+00,5.772910711312047027e-01,5.909489200828041966e+00,6.243554622193560277e+00
2.234035452797478172e-02,5.148721293351606221e+00,1.810295166076176798e+00,1.872893084579555278e+00,5.645178506653595107e+00,5.975701444633818582e-01,5.931246084539369079e+00,4.468070905594956344e-02
6.449605165712846144e-02,5.192354524720919073e+00,1.851659102253687905e+00,1.916646081405904312e+00,5.667055027876039652e+00,6.178492178470600393e-01,5.953002968308776843e+00,1.289921033142569229e-01
1.066517486735527598e-01,5.235987755973816604e+00,1.893023038320523099e+00,1.960399078112946114e+00,5.688931549039009994e+00,6.381282911778880518e-01,5.974759852019976947e+00,2.133034973471055196e-01
1.488074458022037305e-01,5.279620987343129457e+00,1.934386974497547484e+00,2.004152074933765348e+00,5.710808070259050240e+00,6.584073645642778416e-01,5.996516735789257702e+00,2.976148916044074610e-01
1.909631428173650391e-01,5.323254218596026988e+00,1.975750910563100149e+00,2.047905071634515295e+00,5.732684591419235254e+00,6.786864378974382106e-01,6.018273619500711824e+00,3.819262856347300783e-01
2.331188399493271390e-01,5.366887449965339840e+00,2.017114846745469592e+00,2.091658068449550711e+00,5.754561112636743303e+00,6.989655112904795686e-01,6.040030503269992579e+00,4.662376798986542781e-01
2.752745369601790060e-01,5.410520681218237371e+00,2.058478782804680662e+00,2.135411065145024878e+00,5.776437633794651028e+00,7.192445846224178041e-01,6.061787386981192682e+00,5.505490739203580119e-01
3.174302340913843778e-01,5.454153912587550224e+00,2.099842718986293377e+00,2.179164061954276477e+00,5.798314155009626880e+00,7.395236580180437613e-01,6.083544270750473437e+00,6.348604681827687557e-01
3.595859311050375595e-01,5.497787143840447754e+00,2.141206655050353902e+00,2.222917058643458788e+00,5.820190676164748389e+00,7.598027313563777696e-01,6.105301154461927560e+00,7.191718622100751190e-01
4.017416281228864960e-01,5.541420375093345285e+00,2.182570591120606807e+00,2.266670055330257227e+00,5.842067197318858263e+00,7.800818047003232891e-01,6.127058038173127663e+00,8.034832562457729921e-01
4.438973251319744406e-01,5.585053606346242816e+00,2.223934527178055731e+00,2.310423052013909739e+00,5.863943718471575473e+00,8.003608780373063780e-01,6.148814921884454776e+00,8.877946502639488813e-01
4.860530221447483257e-01,5.628686837599140347e+00,2.265298463241219196e+00,2.354176048694670342e+00,5.885820239623026140e+00,8.206399513796469591e-01,6.170571805595781889e+00,9.721060442894966513e-01
5.282087192740725357e-01,5.672320068968453199e+00,2.306662399420950749e+00,2.397929045489462396e+00,5.907696760831673721e+00,8.409190247817432962e-01,6.192328689365062644e+00,1.056417438548145071e+00
5.703644162820289409e-01,5.715953300221350730e+00,2.348026335477268134e+00,2.441682042164437405e+00,5.929573281980592192e+00,8.611980981226050602e-01,6.214085573076390645e+00,1.140728832564057882e+00
6.125201134105928702e-01,5.759586531590663583e+00,2.389390271656257170e+00,2.485435038953447417e+00,5.951449803186708465e+00,8.814771715272868846e-01,6.235842456845670512e+00,1.225040226821185740e+00
6.546758104218621810e-01,5.803219762843561114e+00,2.430754207717912507e+00,2.529188035622638608e+00,5.973326324333094739e+00,9.017562448748011050e-01,6.257599340556998513e+00,1.309351620843724362e+00
6.968315075496729349e-01,5.846852994212873966e+00,2.472118143896116393e+00,2.572941032405864803e+00,5.995202845536678815e+00,9.220353182820710813e-01,6.279356224326278380e+00,1.393663015099345870e+00
