# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
1.316282853676243647e+00,5.235987756620588129e-01,4.415848601365386372e-01,5.821307967269216732e+00,1.344915018347111690e+00,2.063924617516227356e-02,-9.395016446153254819e-01,2.632565707352487294e+00
1.822151692299703640e+00,1.047197551162490470e+00,9.379525673002149233e-01,6.316200208789624071e-02,1.607434720031731601e+00,2.639867286344332875e-01,-6.784190398491096730e-01,3.644303384599407281e+00
2.328020531195411635e+00,1.570796326895752770e+00,1.434320274732089118e+00,5.882013446309137805e-01,1.869954421963710089e+00,5.073342110835212804e-01,-4.173364349667307849e-01,4.656041062390823271e+00
2.833889369909394773e+00,2.094395102396184427e+00,1.930687981984268831e+00,1.113240687252499583e+00,2.132474123909956276e+00,7.506816933015456605e-01,-1.562538302007689950e-01,5.667778739818789546e+00
3.339758208677775286e+00,2.617993877896616084e+00,2.427055689294881802e+00,1.638280030184706249e+00,2.394993825986494684e+00,9.940291754086059139e-01,1.048287745655738235e-01,3.963311101759643407e-01
3.845627047714597069e+00,3.141592653629878384e+00,2.923423396867883994e+00,2.163319373661881428e+00,2.657513528310500917e+00,1.237376657501570998e+00,3.659113794479509352e-01,1.408068788249607906e+00
4.351495886685842862e+00,3.665191429246725363e+00,3.419791104377313928e+00,2.688358717333748871e+00,2.920033230706836846e+00,1.480724139421566443e+00,6.269939842722482837e-01,2.419806466192099492e+00
4.857364725595578747e+00,4.188790204747157020e+00,3.916158811829294706e+00,3.213398061200294364e+00,3.182552933175497145e+00,1.724071621172666102e+00,8.880765890384658690e-01,3.431544144011571262e+00
5.363233564657083008e+00,4.712388980364003999e+00,4.412526519426949179e+00,3.738437405495101729e+00,3.445072635833273722e+00,1.967419102851354129e+00,1.149159193862635320e+00,4.443281822134579784e+00
5.869102403886095942e+00,5.235987756097266299e+00,4.908894227194174675e+00,4.263476750217652267e+00,3.707592338679909005e+00,2.210766584473634833e+00,1.410241798745012431e+00,5.455019500592605652e+00
9.178593575327553822e-02,5.759586531597697956e+00,5.405261934781142585e+00,4.788516095018174212e+00,3.970112041540513559e+00,2.454114065864641425e+00,1.671324403511229129e+00,1.835718715065510764e-01
5.976547749637384221e-01,3.495870259939692914e-11,-3.815556646477520353e-01,5.313555440246666706e+00,4.232631744590094058e+00,-3.585723759984268622e+00,-4.350778298844059755e+00,1.195309549927476844e+00
1.103523614209038328e+00,5.235987756518056813e-01,1.148120431316820289e-01,5.838594785786451524e+00,4.495151447770306063e+00,-3.342376278784441990e+00,-4.089695694019762406e+00,2.207047228418076656e+00
1.609392453401208067e+00,1.047197551152237338e+00,6.111797508660832268e-01,8.044882434150935069e-02,4.757671151022936584e+00,-3.099028797745214892e+00,-3.828613089253674495e+00,3.218784906802416135e+00
2.115261292748685573e+00,1.570796326769084317e+00,1.107547458751757308e+00,6.054881705038344109e-01,5.020190854464395613e+00,-2.855681316774557832e+00,-3.567530484429377147e+00,4.230522585497371146e+00
2.621130132255792056e+00,2.094395102502346617e+00,1.603915166795029990e+00,1.130527517094076728e+00,5.282710558094802167e+00,-2.612333835868266618e+00,-3.306447879546998259e+00,5.242260264511584111e+00
3.126998971588776044e+00,2.617993878002778274e+00,2.100282874670243771e+00,1.655566863762224727e+00,5.545230261739152233e+00,-2.368986355185084935e+00,-3.045365274780782450e+00,6.253997943177552088e+00
3.632867811077323594e+00,3.141592653619625253e+00,2.596650582696975462e+00,2.180606210858270444e+00,5.807749965572440942e+00,-2.125638874570321413e+00,-2.784282669956485989e+00,9.825503149750609566e-01
4.138736650725750366e+00,3.665191429352887553e+00,3.093018290881568433e+00,2.705645558382453686e+00,6.070269669594789086e+00,-1.882291394019778963e+00,-2.523200065074234999e+00,1.994287994271914499e+00
4.644605490079316112e+00,4.188790204736903888e+00,3.589385998775331377e+00,3.230684905867834189e+00,4.960406639314118848e-02,-1.638943913754725701e+00,-2.262117460366226851e+00,3.006025672979045993e+00
5.150474329712728228e+00,4.712388980353750867e+00,4.085753706948974440e+00,3.755724253897231080e+00,3.121237706180801652e-01,-1.395596433491863797e+00,-2.001034855541801605e+00,4.017763352245870223e+00
5.656343169501957924e+00,5.235987756087013167e+00,4.582121415274370335e+00,4.280763602354738850e+00,5.746434750320670304e-01,-1.152248953297267953e+00,-1.739952250659424493e+00,5.029501031824329615e+00
6.162212009000382906e+00,5.759586531471029502e+00,5.078489123315011788e+00,4.805802950773397697e+00,8.371631794016218819e-01,-9.089014733840754534e-01,-1.478869645951288447e+00,6.041238710821179581e+00
3.848955417043109506e-01,2.470557092237868346e-11,5.574856831734691376e+00,5.330842299853483013e+00,1.099682884076883305e+00,-6.655539934265323199e-01,-1.217787041069038345e+00,7.697910834086219012e-01
8.907643816386423552e-01,5.235987757579678714e-01,6.071224540207221132e+00,5.855881649244452092e+00,1.362202588882581722e+00,-4.222065135836384209e-01,-9.567044361866603452e-01,1.781528763277284710e+00
1.396633221274046655e+00,1.047197551141984206e+00,2.844069412032199651e-01,9.773569141695404028e-02,1.624722293643833027e+00,-1.788590340302509407e-01,-6.956218314785251877e-01,2.793266442548093309e+00
