# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio01/12/202200:00
2.385776960745474184e+00,6.283185307161360811e+00,6.182698234485293654e+00,3.636946303889640575e+00,2.526820264674203287e-01,2.184250102685941997e+00,-3.748502517604261897e-01,4.771553921490948369e+00
2.891645744618617897e+00,5.235987757150368793e-01,3.958805797176090380e-01,4.161985278995462778e+00,5.152015738995636696e-01,2.427597726453335270e+00,-1.137676468779211802e-01,5.783291489237235794e+00
3.397514528194383487e+00,1.047197551099053214e+00,8.922482318341060648e-01,4.687024254076899155e+00,7.777211212939123541e-01,2.670945349923686152e+00,1.473149578302139773e-01,5.118437492091807428e-01
3.903383312164400820e+00,1.570796326832315515e+00,1.388615884342879525e+00,5.212063229833702849e+00,1.040240669000339402e+00,2.914292973438749712e+00,4.083975627125919772e-01,1.523581317149215408e+00
4.409252096182726177e+00,2.094395102565577815e+00,1.884983536899941470e+00,5.737102205915856956e+00,1.302760216843838137e+00,3.157640596827592461e+00,6.694801675949699771e-01,2.535318885185866122e+00
4.915120879903415840e+00,2.617993877949594150e+00,2.381351189161375004e+00,6.262141181973341020e+00,1.565279764649400107e+00,3.400988219919282685e+00,9.305627723031051346e-01,3.547056452627245449e+00
5.420989663901941924e+00,3.141592653566441129e+00,2.877718841698655439e+00,5.039948514101588728e-01,1.827799312708817681e+00,3.644335842997499242e+00,1.191645377127275474e+00,4.558794020624297616e+00
5.926858448065189577e+00,3.665191429299703429e+00,3.374086494400643232e+00,1.029033828468286060e+00,2.090318860963495951e+00,3.887683466007722188e+00,1.452727982009652585e+00,5.570531588950792923e+00
1.495419247512153049e-01,4.188790204683719764e+00,3.870454146806988405e+00,1.554072805501704124e+00,2.352838409180217027e+00,4.131031088720812150e+00,1.713810586717788631e+00,2.990838495024306098e-01
6.554107090110683487e-01,4.712388980416982065e+00,4.366821799605578036e+00,2.079111783210422004e+00,2.615357957708988934e+00,4.374378711478657422e+00,1.974893191600166631e+00,1.310821418022136697e+00
1.161279493202560076e+00,5.235987756033829044e+00,4.863189452335806351e+00,2.604150761127744573e+00,2.877877506316462330e+00,4.617726334051983628e+00,2.235975796424463091e+00,2.322558986405120152e+00
1.667148277329740580e+00,5.759586531534260700e+00,5.359557105003730726e+00,3.129189739253661173e+00,3.140397055002631888e+00,4.861073956444871058e+00,2.497058401190679788e+00,3.334296554659481160e+00
2.173017061734501709e+00,8.793676897766999900e-11,5.855924757947242654e+00,3.654228717938172721e+00,3.402916603942498952e+00,5.104421578824191563e+00,-3.525044301106528444e+00,4.346034123469003418e+00
2.678885845954477318e+00,5.235987755883684258e-01,6.910710352635440756e-02,4.179267696714839886e+00,3.665436152902845190e+00,5.347769200960812874e+00,-3.263961696340439644e+00,5.357771691908954637e+00
3.184754630226304783e+00,1.047197551088800083e+00,5.654747563389346254e-01,4.704306675816221528e+00,3.927955701999950033e+00,5.591116822975090273e+00,-3.002879091574095938e+00,8.632395327302333499e-02
3.690623414772153055e+00,1.570796326822062383e+00,1.061842409421489108e+00,5.229345655476674182e+00,4.190475251350991748e+00,5.834464444972015329e+00,-2.741796486691845836e+00,1.098061522364719877e+00
4.196492199257496836e+00,2.094395102438909362e+00,1.558210062447587418e+00,5.754384635345399346e+00,4.452994800780572859e+00,6.077812066792465551e+00,-2.480713881867548487e+00,2.109799091335407439e+00
4.702360983678532946e+00,2.617993877939341019e+00,2.054577715411408434e+00,6.279423615422651039e+00,4.715514350288818157e+00,3.797438125292540434e-02,-2.219631277101331790e+00,3.121536660177479661e+00
