# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio16/07/202200:00
-9.367037816816345952e-01,2.982147861985140480e-11,-1.625694355686123860e+00,3.751275439986459403e+00,3.451460748126422118e+00,-4.344509276805119669e+00,2.725818605832069252e+00,-1.873407563363269190e+00
-4.308347949468119831e-01,5.235987756466684573e-01,-1.129326500412628942e+00,4.276315739579290565e+00,3.713980849743121038e+00,-4.101162151042855974e+00,2.986901210656366601e+00,-8.616695898936239661e-01
7.503419171041114666e-02,1.047197551147100114e+00,-6.329586452187769829e-01,4.801356039326762470e+00,3.976500951414282170e+00,-3.857815025441534651e+00,3.247983815422455844e+00,1.500683834208222933e-01
5.809031786438513256e-01,1.570796326880362415e+00,-1.365907897486616784e-01,5.326396339578623795e+00,4.239021053314781184e+00,-3.614467899822213504e+00,3.509066420304706835e+00,1.161806357287702651e+00
1.086772165503246956e+00,2.094395102497209393e+00,3.597770656473741058e-01,5.851436639984600063e+00,4.501541155269480399e+00,-3.371120774360016004e+00,3.770149025129003739e+00,2.173544331006493913e+00
1.592641152288849948e+00,2.617993877997641050e+00,8.561449209696044838e-01,9.329163336533596862e-02,4.764061257278496164e+00,-3.127773649054804928e+00,4.031231629895220436e+00,3.185282304577699897e+00
2.098510139234504024e+00,3.141592653614488029e+00,1.352512776451917809e+00,6.183319343138542479e-01,5.026581359458754505e+00,-2.884426523789658692e+00,4.292314234719262878e+00,4.197020278469008048e+00
2.604379126222522434e+00,3.665191429231335007e+00,1.848880631976576705e+00,1.143372235532856607e+00,5.289101461751401168e+00,-2.641079398623409791e+00,4.553396839543560226e+00,5.208758252445044867e+00
3.110248113136745651e+00,4.188790204731766664e+00,2.345248487427443074e+00,1.668412536906176413e+00,5.551621564098352835e+00,-2.397732273614130882e+00,4.814479444309776035e+00,6.220496226273491303e+00
3.616117100327431721e+00,4.712388980465028965e+00,2.841616343154790059e+00,2.193452838784063275e+00,5.814141666674734310e+00,-2.154385148586690057e+00,5.075562049192027025e+00,9.490488934752772110e-01
4.121986087444061475e+00,5.235987756081875943e+00,3.337984198808061631e+00,2.718493140815986919e+00,6.076661769305282235e+00,-1.911038023716338463e+00,5.336644654016323486e+00,1.960786867708536718e+00
4.627855074487144726e+00,5.759586531582307600e+00,3.834352054387772046e+00,3.243533443002441174e+00,5.599656481065817815e-02,-1.667690899002815197e+00,5.597727258782413173e+00,2.972524841794703221e+00
-1.149461245486013361e+00,1.956834694283315912e-11,-1.952465397046713846e+00,3.768573745576249578e+00,3.185166676664460961e-01,-1.424343774325635081e+00,-4.243754435728759322e-01,-2.298922490972026722e+00
-6.435922582443405204e-01,5.235987756364153256e-01,-1.456097541270412243e+00,4.293614048421492413e+00,5.810367706351015071e-01,-1.180996649754941785e+00,-1.632928387488326027e-01,-1.287184516488681041e+00
-1.377232710688520712e-01,1.047197551136846982e+00,-9.597296855562671425e-01,4.818654351420465609e+00,8.435568736577726545e-01,-9.376495253333079205e-01,9.778976601738342822e-02,-2.754465421377041423e-01
-5.915039590917227308e+00,1.570796326753693961e+00,-4.633618296884138843e-01,5.343694654807262800e+00,1.106076976851507299e+00,-6.943024009558742549e-01,3.588723708415535452e-01,-5.546893874654868384e+00
-5.409170603430803581e+00,2.094395102486956262e+00,-6.250179280846946739e+00,5.868734958581364403e+00,1.368597080216046091e+00,-4.509552766228912546e-01,6.199549757239311010e-01,-4.535155899682020930e+00
-4.903301616126733542e+00,2.617993877987387918e+00,-5.753811425004220048e+00,1.105899552134097519e-01,1.631117183576503260e+00,-2.076081524970323500e-01,8.810375804901475760e-01,-3.523417925073880852e+00
-4.397432628667198529e+00,3.141592653604234897e+00,-5.257443569008043660e+00,6.356302594125775585e-01,1.893637287107881928e+00,-6.247446335595071787e+00,1.142120185314444480e+00,-2.511679950154810825e+00
-3.891563641051694056e+00,3.665191429337497198e+00,-4.761075712857922859e+00,1.160670563999770977e+00,2.156157390810428343e+00,-6.004099211557573312e+00,1.403202790196568461e+00,-1.499941974923801880e+00
-3.385694653619055305e+00,4.188790204837928854e+00,-4.264707856886626125e+00,1.685710868623954362e+00,2.418677494508624903e+00,-5.760752087727442294e+00,1.664285394962784714e+00,-4.882040000585243789e-01
-2.879825666147370455e+00,4.712388980338360511e+00,-3.768340000878300344e+00,2.210751173519218682e+00,2.681197598319517539e+00,-5.517404963999808842e+00,1.925367999728873958e+00,-5.759651332294740911e+00
-2.373956678403811527e+00,5.235987756071622812e+00,-3.271972144600116206e+00,2.735791478918377706e+00,2.943717702359514465e+00,-5.274057840258253194e+00,2.186450604611251514e+00,-4.747913356807623053e+00
-1.868087690838549975e+00,5.759586531572054469e+00,-2.775604288494178284e+00,3.260831784354998319e+00,3.206237806395399570e+00,-5.030710716719727138e+00,2.447533209377468211e+00,-3.736175381677099949e+00
-1.362218703125451125e+00,9.315215265814913437e-12,-2.279236432246468436e+00,3.785872090179584148e+00,3.468757910602425998e+00,-4.787363593233348702e+00,2.708615814201511096e+00,-2.724437406250902249e+00
-8.563497152492818287e-01,5.235987757425775158e-01,-1.782868575833641778e+00,4.310912396391112011e+00,3.731278014980082158e+00,-4.544016469783370482e+00,2.969698419083888652e+00,-1.712699430498563657e+00
-3.504807276762080814e-01,1.047197551126593851e+00,-1.286500719721942465e+00,4.835952702523387714e+00,3.993798119295271842e+00,-4.300669346602861154e+00,3.230781023792024254e+00,-7.009614553524161629e-01
1.553882602815923608e-01,1.570796326859856151e+00,-7.901328632295283594e-01,5.360993009276429078e+00,4.256318223898005293e+00,-4.057322223354004720e+00,3.491863628674402253e+00,3.107765205631847216e-01
6.612572481703948846e-01,2.094395102476703130e+00,-2.937650068040835727e-01,5.886033316184299480e+00,4.518838328555314199e+00,-3.813975100257561035e+00,3.752946233498318129e+00,1.322514496340789769e+00
1.167126235876064122e+00,2.617993877860719465e+00,2.026028494422567050e-01,1.278883159492067989e-01,4.781358433208096059e+00,-3.570627977368554529e+00,4.014028838206453287e+00,2.334252471752128244e+00
1.672995223958331668e+00,3.141592653593981765e+00,6.989707060571084263e-01,6.529286235144251549e-01,5.043878538148404367e+00,-3.327280854419311762e+00,4.275111443088831287e+00,3.345990447916663335e+00
2.178864211978957854e+00,3.665191429210828744e+00,1.195338562616407030e+00,1.177968931233671412e+00,5.306398643142889782e+00,-3.083933731614716400e+00,4.536194047913128635e+00,4.357728423957915709e+00
2.684733199926008229e+00,4.188790204711260401e+00,1.691706419102098291e+00,1.703009239107196038e+00,5.568918748191677537e+00,-2.840586608966827686e+00,4.797276652679217435e+00,5.369466399852016458e+00
3.190602188137043882e+00,4.712388980444522701e+00,2.188074275845731442e+00,2.228049547484735271e+00,5.831438853469638417e+00,-2.597239486312956203e+00,5.058359257561468425e+00,9.801906909450153194e-02
3.696471176286183269e+00,5.235987756061369680e+00,2.684442132533527481e+00,2.753089856016012860e+00,6.093958958801635184e+00,-2.353892363803841814e+00,5.319441862385765774e+00,1.109757045392780306e+00
4.202340164361486607e+00,5.759586531561801337e+00,3.180809989147492356e+00,3.278130164701275717e+00,7.329375700820417450e-02,-2.110545241451543319e+00,5.580524467151981582e+00,2.121495021543386983e+00
4.708209152584609036e+00,6.283185307178648316e+00,3.677177845903189635e+00,3.803170473774354576e+00,3.358138625654341070e-01,-1.867198119151325164e+00,5.841607071976024912e+00,3.133232997989631841e+00
-1.069107166317338375e+00,5.235987756159090623e-01,-2.109639604460097573e+00,4.328210783117555138e+00,5.983339682348931543e-01,-1.623850996937639124e+00,-1.804956303792644157e-01,-2.138214332634676751e+00
-5.632381781135382681e-01,1.047197551116340719e+00,-1.613271747717655913e+00,4.853251092614697448e+00,8.608540739584922274e-01,-1.380503874880750104e+00,8.058697438695183735e-02,-1.126476356227076536e+00
-5.736918964144344102e-02,1.570796326849603020e+00,-1.116903890710935876e+00,5.378291402616040884e+00,1.123374179911360793e+00,-1.137156752813654137e+00,3.416695792692023836e-01,-1.147383792828868820e-01
-5.834685508418966826e+00,2.094395102466449998e+00,-6.205360337722423125e-01,5.903331712771044515e+00,1.385894285918230384e+00,-8.938096308994047945e-01,6.027521840934997321e-01,-5.386185709658347420e+00
-5.328816520086430586e+00,2.617993877966881655e+00,-1.241681769010645198e-01,1.451867159006257069e-01,1.648414391979352800e+00,-6.504625091377453927e-01,8.638347888595889756e-01,-4.374447732993274940e+00
-4.822947531482047800e+00,3.141592653700143956e+00,-5.910985626939624815e+00,6.702270267134489146e-01,1.910934498269474702e+00,-4.071153873620554364e-01,1.124917393741966531e+00,-3.362709755784509369e+00
-4.317078542955322007e+00,3.665191429316990934e+00,-5.414617769878305786e+00,1.195267337680406605e+00,2.173454604613836327e+00,-1.637682657470689307e-01,1.385999998566136426e+00,-2.350971778731057782e+00
-3.811209554494569662e+00,4.188790204817422591e+00,-4.918249912878909669e+00,1.720307648800979194e+00,2.435974711012178773e+00,-6.203606451460431437e+00,1.647082603332353123e+00,-1.339233801809553093e+00
-3.305340565990487089e+00,4.712388980317854248e+00,-4.421882055836170444e+00,2.245347960192589198e+00,2.698494817523214628e+00,-5.960259330092377184e+00,1.908165208098315357e+00,-3.274958248013879469e-01
-2.799471577222944596e+00,5.235987756051116548e+00,-3.925514198536046884e+00,2.770388272087549453e+00,2.961014924263099424e+00,-5.716912208718516020e+00,2.169247812980692913e+00,-5.598943154445889192e+00
-2.293602588633733674e+00,5.759586531551548205e+00,-3.429146341408191745e+00,3.295428584019671092e+00,3.223535030998741391e+00,-5.473565087547546781e+00,2.430330417746909610e+00,-4.587205177267467349e+00
