# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio19/10/202200:00
2.621783314635397488e+00,6.078693104427657090e-11,5.402954231745550118e+00,7.554446311055738050e-01,5.094970296328045656e+00,3.849570599386978209e+00,1.091553401887798813e+00,5.243566629270794976e+00
3.127652395417625186e+00,5.235987756776339097e-01,5.899322181065386417e+00,1.280485516576952421e+00,5.357490640812616611e+00,4.092917514908160470e+00,1.352636006712095273e+00,6.255304790835250373e+00
3.633521476122991700e+00,1.047197551178065567e+00,1.125048231287610889e-01,1.805526402174756129e+00,5.620010985339376042e+00,4.336264430285245552e+00,1.613718611478184961e+00,9.838576450663971684e-01
4.139390556972395885e+00,1.570796326794912545e+00,6.088727725096791943e-01,2.330567288132064263e+00,5.882531330024864502e+00,4.579611345622587315e+00,1.874801216302355300e+00,1.995595806765205538e+00
4.645259637869482816e+00,2.094395102411759524e+00,1.105240721942349680e+00,2.855608174332193272e+00,6.145051674810740217e+00,4.822958260882178827e+00,2.135883821126525195e+00,3.007333968559379400e+00
5.151128718697329134e+00,2.617993877912191181e+00,1.601608671309822540e+00,3.380649060658200256e+00,1.243867124589472795e-01,5.066305176005566402e+00,2.396966425892741004e+00,4.019072130215072036e+00
5.656997799782320868e+00,3.141592653645453481e+00,2.097976620926342406e+00,3.905689947460849965e+00,3.869070575040414184e-01,5.309652091143747477e+00,2.658049030774864985e+00,5.030810292385055504e+00
6.162866880797810865e+00,3.665191429262300460e+00,2.594344570477396417e+00,4.430730834389105866e+00,6.494274025909172465e-01,5.552999006145606486e+00,2.919131635599162333e+00,6.042548454416035497e+00
3.855506545609124203e-01,4.188790204762732117e+00,3.090712519957680371e+00,4.955771721443717581e+00,9.119477477199513515e-01,5.796345921007468149e+00,3.180214240365251133e+00,7.711013091218248405e-01
8.914197356514410586e-01,4.712388980379579095e+00,3.587080469581756859e+00,5.480812608857497992e+00,1.174468093007552838e+00,6.039692835833555762e+00,3.441296845189548481e+00,1.782839471302882117e+00
1.397288816902751307e+00,5.235987756112841396e+00,4.083448419368643556e+00,6.005853496631200272e+00,1.436988438454097405e+00,6.283039750636447707e+00,3.702379450071672462e+00,2.794577633805502614e+00
1.903157897963829726e+00,5.759586531613273053e+00,4.579816368967318141e+00,2.477090772342052105e-01,1.699508783884069452e+00,2.432013580610545844e-01,3.963462054837888715e+00,3.806315795927659451e+00
2.409026979056832829e+00,6.283185307113704710e+00,5.076184318593853106e+00,7.727499652600258173e-01,1.962029129414638362e+00,4.865482725715395418e-01,4.224544659603850505e+00,4.818053958113665658e+00
2.914896060422206059e+00,5.235987756673807780e-01,5.572552268492790617e+00,1.297790853761383367e+00,2.224549475161963663e+00,7.298951871126073687e-01,-1.797558042693357727e+00,5.829792120844412118e+00
