# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio07/01/202200:00
5.446023014238363658e+00,6.283185307167755695e+00,1.894254459767685361e+00,3.232344518859166627e+00,3.192011141076003256e+00,2.298298603714415744e+00,2.983860480114175040e+00,4.608860721297141083e+00
5.951891985555940678e+00,5.235987757214317639e-01,2.390622299620048352e+00,3.757384720184925087e+00,3.454531201836556598e+00,2.541645765427722026e+00,3.244943084996426030e+00,5.620598663932295125e+00
1.745756495118380158e-01,1.047197551221863421e+00,2.886990139294365321e+00,4.282424921552591357e+00,3.717051262594937899e+00,2.784992926931589174e+00,3.506025689762642283e+00,3.491512990236760317e-01
6.804446208032981502e-01,1.570796326838710399e+00,3.383357979122642689e+00,4.807465123312427480e+00,3.979571323526279070e+00,3.028340088388956630e+00,3.767108294586939188e+00,1.360889241606596300e+00
1.186313592138383832e+00,2.094395102455557378e+00,3.879725818994559816e+00,5.332505325347993264e+00,4.242091384572361790e+00,3.271687249745690806e+00,4.028190899411109527e+00,2.372627184276767665e+00
1.692182563403976658e+00,2.617993877955989035e+00,4.376093658798970054e+00,5.857545527542102448e+00,4.504611445674593817e+00,3.515034410947273091e+00,4.289273504177325336e+00,3.384365126807953317e+00
2.198051534825797404e+00,3.141592653572836014e+00,4.872461498757608922e+00,9.940042294900663933e-02,4.767131506949892739e+00,3.758381572102502233e+00,4.550356109001495675e+00,4.396103069651594808e+00
2.703920506403592938e+00,3.665191429306098314e+00,5.368829338870204637e+00,6.244406259276118476e-01,5.029651568398127992e+00,4.001728733211257882e+00,4.811438713883745777e+00,5.407841012807185876e+00
3.209789477682614134e+00,4.188790204690114649e+00,5.865197178688044133e+00,1.149480828831379142e+00,5.292171629785824116e+00,4.245075894052273924e+00,5.072521318591881823e+00,1.363936481856420357e-01
3.715658449350945247e+00,4.712388980423376950e+00,7.837971171362134726e-02,1.674521032360580364e+00,5.554691691463116143e+00,4.488423054963496028e+00,5.333603923474258934e+00,1.148131591522304262e+00
4.221527420946220133e+00,5.235987756040223928e+00,5.747475518457143551e-01,2.199561236048765522e+00,5.817211753196780855e+00,4.731770215715783934e+00,5.594686528298430161e+00,2.159869534712854033e+00
4.727396392467932529e+00,5.759586531540655585e+00,1.071115391904212899e+00,2.724601439895423027e+00,6.079731814986563343e+00,4.975117376308890726e+00,5.855769133064645970e+00,3.171607477756278826e+00
-1.049919942912986404e+00,9.433165359951090068e-11,1.567483232239712532e+00,3.249641644251060502e+00,5.906656982813041079e-02,-1.064720770261508909e+00,-1.663335692326894932e-01,-2.099839885825972807e+00
-5.440509713043010231e-01,5.235987755947633104e-01,2.063851072385215257e+00,3.774681848648723470e+00,3.215866318471797825e-01,-8.213736098696970966e-01,9.474903553339975026e-02,-1.088101942608602046e+00
-3.818199964844981587e-02,1.047197551095194967e+00,2.560218912579883543e+00,4.299722053321488602e+00,5.841066939806638381e-01,-5.780264495746528786e-01,3.558316402996160033e-01,-7.636399929689963173e-02
4.676869722762222459e-01,1.570796326828457268e+00,3.056586753039358673e+00,4.824762258503194623e+00,8.466267563455025513e-01,-3.346792892716375922e-01,6.169142451818667716e-01,9.353739445524444918e-01
9.735559441316411489e-01,2.094395102445304246e+00,3.552954593431593810e+00,5.349802463843561284e+00,1.109146818766555853e+00,-9.133212912358373847e-02,8.779968500060368886e-01,1.947111888263282298e+00
1.479424915917554317e+00,2.617993877945735903e+00,4.049322433756324280e+00,5.874842669342324797e+00,1.371666881243693847e+00,1.520150308693868357e-01,1.139079454772252920e+00,2.958849831835108635e+00
1.985293887972028326e+00,3.141592653678998204e+00,4.545690274345599136e+00,1.166975681701476475e-01,1.634186943952041116e+00,3.953621908702188992e-01,1.400162059654630919e+00,3.970587775944056652e+00
