# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio13/10/202200:00
5.174859785078133712e+00,6.283185307130580100e+00,3.041008325897079700e+00,5.477833535041227719e-01,4.991153585760450540e+00,2.235404026766811825e-01,1.194770151558925519e+00,4.066534262976681191e+00
5.680728860256449408e+00,5.235987756842561680e-01,3.537376269609044499e+00,1.072824203993324232e+00,5.253673915790339599e+00,4.668873306728293926e-01,1.455852756441303519e+00,5.078272413333312585e+00
6.186597935249588787e+00,1.047197551184687825e+00,4.033744213139836887e+00,1.597865054494066683e+00,5.516194245804851626e+00,7.102342584738936537e-01,1.716935361207392763e+00,6.090010563319591341e+00
4.092817032152709089e-01,1.570796326801534804e+00,4.530112156820749192e+00,2.122905905355841227e+00,5.778714575978733947e+00,9.535811862424363738e-01,1.978017966031690111e+00,8.185634064305418178e-01
9.151507785134285200e-01,2.094395102534797104e+00,5.026480100652531036e+00,2.647946756579397487e+00,6.041234906312362263e+00,1.196928113978840358e+00,2.239100570913813204e+00,1.830301557026857040e+00
1.421019853621576345e+00,2.617993878035228761e+00,5.522848044296306824e+00,3.172987607813691824e+00,2.056992945062852129e-02,1.440275041515731935e+00,2.500183175680029901e+00,2.842039707243152691e+00
1.926888928890484465e+00,3.141592653652075740e+00,6.019215988102889270e+00,3.698028459409492541e+00,2.830902599280911147e-01,1.683621969028499699e+00,2.761265780504199796e+00,3.853777857780968930e+00
2.432758004191036605e+00,3.665191429268922718e+00,2.323986247574794106e-01,4.223069311249858515e+00,5.456105905066941375e-01,1.926968896446494384e+00,3.022348385328370135e+00,4.865516008382073210e+00
2.938627079306147749e+00,4.188790204652939053e+00,7.287665684102364594e-01,4.748110163101436854e+00,8.081309210697602552e-01,2.170315823669310973e+00,3.283430990036378283e+00,5.877254158612295498e+00
3.444496154802905608e+00,4.712388980386201354e+00,1.225134512440604340e+00,5.273151015547568932e+00,1.070651251908961932e+00,2.413662750972367377e+00,3.544513594918629273e+00,6.058070024262249831e-01
3.950365230343493295e+00,5.235987756119463654e+00,1.721502456516851964e+00,5.798191868238223634e+00,1.333171582849287162e+00,2.657009678192858715e+00,3.805596199800880264e+00,1.617545153507400357e+00
4.456234305577648769e+00,5.759586531503479989e+00,2.217870400288649790e+00,4.004741364354913458e-02,1.595691913715598709e+00,2.900356605155664624e+00,4.066678804509015421e+00,2.629283303975711306e+00
4.962103381193705864e+00,5.715605766454245895e-11,2.714238344438333783e+00,5.650882668232259931e-01,1.858212244858156614e+00,3.143703532198854234e+00,-1.955423897788320264e+00,3.641021455207825497e+00
5.467972456733106945e+00,5.235987756740030363e-01,3.210606288511362649e+00,1.090129120130979068e+00,2.120732576043614426e+00,3.387050459097224575e+00,-1.694341292964276935e+00,4.652759606286627658e+00
5.973841532207280203e+00,1.047197551174434693e+00,3.706974232525210411e+00,1.615169973566032979e+00,2.383252907271586007e+00,3.630397385862591975e+00,-1.433258688198060238e+00,5.664497757234974173e+00
1.965253006463623109e-01,1.570796326791281672e+00,4.203342176677487885e+00,2.140210827362478696e+00,2.645773238659117954e+00,3.873744312587628968e+00,-1.172176083373890787e+00,3.930506012927246218e-01
7.023943763085958025e-01,2.094395102408128650e+00,4.699710120875364439e+00,2.665251681403123740e+00,2.908293570147614027e+00,4.117091239230006749e+00,-9.110934785495934385e-01,1.404788752617191605e+00
1.208263451894169727e+00,2.617993877908560307e+00,5.196078064996564549e+00,3.190292535571792598e+00,3.170813901678987357e+00,4.360438165727588355e+00,-6.500108737835041950e-01,2.416526903788339453e+00
1.714132527748519763e+00,3.141592653641822608e+00,5.692446009384509509e+00,3.715333390217981702e+00,3.433334233427987936e+00,4.603785092251060362e+00,-3.889282689011261951e-01,3.428265055497039526e+00
2.220001603534589307e+00,3.665191429258669586e+00,6.188813953708253379e+00,4.240374244992421993e+00,3.695854565219982568e+00,4.847132018638005135e+00,-1.278456640770837538e-01,4.440003207069178615e+00
2.725870679239166705e+00,4.188790204759101243e+00,4.019965907688565210e-01,4.765415099894086737e+00,3.958374897054456998e+00,5.090478944875723499e+00,1.332369406891329433e-01,5.451741358478333410e+00
3.231739755213025589e+00,4.712388980492363544e+00,8.983645352763431902e-01,5.290455955273744237e+00,4.220895229106797153e+00,5.333825871139603159e+00,3.943195455713834896e-01,1.802942032464649458e-01
3.737608830997357856e+00,5.235987755992795201e+00,1.394732479596299868e+00,5.815496810664438243e+00,4.483415561143525352e+00,5.577172797204315025e+00,6.554021503374731772e-01,1.192032354815129480e+00
4.243477906825500412e+00,5.759586531493226857e+00,1.891100423962100763e+00,5.735235911991409807e-02,4.745935893281308715e+00,5.820519723186535543e+00,9.164847551035619766e-01,2.203770506471414592e+00
4.749346982918597249e+00,4.690292598752421327e-11,2.387468368588809398e+00,5.823932152326687373e-01,5.008456225636810366e+00,6.063866649190743807e+00,1.177567359985812967e+00,3.215508658657608265e+00
5.255216058938833257e+00,5.235987756637499047e-01,2.883836313144687580e+00,1.107434071473099024e+00,5.270976558035021853e+00,2.402826787454959145e-02,1.438649964809983306e+00,4.227246810698080282e+00
5.761085134885954417e+00,1.047197551164181561e+00,3.380204257629451092e+00,1.632474927840934953e+00,5.533496890475810837e+00,2.673751935970036797e-01,1.699732569576199115e+00,5.238984962592322603e+00
6.266954210985673512e+00,1.570796326781028540e+00,3.876572202264796374e+00,2.157515784570010808e+00,5.796017223076092684e+00,5.107221192873199200e-01,1.960815174400369010e+00,6.250723114791760793e+00
4.896379800581502906e-01,2.094395102514290841e+00,4.372940147050488946e+00,2.682556641660067243e+00,6.058537555835741273e+00,7.540690449453739674e-01,2.221897779282620000e+00,9.792759601163005811e-01
9.955070561244880878e-01,2.617993878014722497e+00,4.869308091654467319e+00,3.207597498760817345e+00,3.787258140002514040e-02,9.974159704082383726e-01,2.482980384048836697e+00,1.991014112248976176e+00
1.501376132222942417e+00,3.141592653515154154e+00,5.365676036286519235e+00,3.732638356106360078e+00,3.003929142451697842e-01,1.240762895776708064e+00,2.744062988814798487e+00,3.002752264445884833e+00
2.007245208598025243e+00,3.665191429248416455e+00,5.862043981197260223e+00,4.257679213929002060e+00,5.629132473077396170e-01,1.484109821179143474e+00,3.005145593697176487e+00,4.014490417196050487e+00
2.513114284783819485e+00,4.188790204748848112e+00,7.522661874111236102e-02,4.782720071762813774e+00,8.254335803547752093e-01,1.727456746382593167e+00,3.266228198463265731e+00,5.026228569567638971e+00
3.018983361117632214e+00,4.712388980365695090e+00,5.715945636085209003e-01,5.307760929957286322e+00,1.087953913561019448e+00,1.970803671549619551e+00,3.527310803287563079e+00,6.037966722235264427e+00
