# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio11/08/202200:00
3.947196187841317538e-01,1.163229512712860014e-10,4.898532740033388677e+00,1.447685051873687456e+00,5.441040944919858013e+00,1.275559431650965081e+00,7.474975694939640647e-01,7.894392375682635077e-01
9.005887182570688765e-01,5.235987756167546081e-01,5.394900708041667770e+00,1.972726052369784711e+00,5.703561336923856473e+00,1.518906306502487702e+00,1.008580174260053308e+00,1.801177436514137753e+00
1.406457817776948005e+00,1.047197551117186265e+00,5.891268676100946067e+00,2.497767053102778689e+00,5.966081729025691338e+00,1.762253181278829572e+00,1.269662779026142996e+00,2.812915635553896010e+00
1.912326917552984895e+00,1.570796326850448565e+00,1.044513372287063646e-01,3.022808054306253212e+00,6.228602121342158071e+00,2.005600056072411874e+00,1.530745383908266088e+00,3.824653835105969790e+00
2.418196017258781083e+00,2.094395102467295544e+00,6.008193054698480751e-01,3.547849055629423987e+00,2.079372065182774065e-01,2.248946930732232730e+00,1.791827988732563437e+00,4.836392034517562166e+00
2.924065116891039651e+00,2.617993877967727201e+00,1.097187273639477212e+00,4.072890057073038861e+00,4.704575989135966196e-01,2.492293805254618633e+00,2.052910593498652680e+00,5.848130233782079301e+00
3.429934216670398328e+00,3.141592653584574180e+00,1.593555241952142154e+00,4.597931058869921372e+00,7.329779914649448003e-01,2.735640679743793768e+00,2.313993198322950029e+00,5.766831261612104242e-01
3.935803316609554514e+00,3.665191429317836480e+00,2.089923210426672284e+00,5.122972061020561796e+00,9.954983841725644211e-01,2.978987554212217503e+00,2.575075803205200131e+00,1.588421326039522796e+00
4.441672416358237285e+00,4.188790204818268137e+00,2.586291178712716743e+00,5.648013063174687431e+00,1.258018776861320909e+00,3.222334428484757041e+00,2.836158407971289819e+00,2.600159525536888339e+00
4.947541516137853534e+00,4.712388980318699794e+00,3.082659147025655244e+00,6.173054065565882098e+00,1.520539169648007061e+00,3.465681302666023811e+00,3.097241012737252497e+00,3.611897725096120837e+00
5.453410616189110272e+00,5.235987756051962094e+00,3.579027115610237786e+00,4.149097612471166485e-01,1.783059562648904972e+00,3.709028176880442729e+00,3.358323617619630053e+00,4.623635925198634311e+00
5.959279716054211917e+00,5.759586531552393751e+00,4.075395084012694014e+00,9.399507641116393586e-01,2.045579955631049884e+00,3.952375050903187415e+00,3.619406222385718852e+00,5.635374124928837603e+00
1.819635088949418389e-01,6.283185307169240730e+00,4.571763052570400276e+00,1.464991767329351546e+00,2.308100348769189125e+00,4.195721924900881916e+00,3.880488827210016201e+00,3.639270177898836778e-01
6.878326090590416442e-01,5.235987757229167983e-01,5.068131021265777747e+00,1.990032770901006387e+00,2.570620742063697062e+00,4.439068798861722343e+00,-2.141613875087446051e+00,1.375665218118083288e+00
1.193701709040287717e+00,1.047197551223348455e+00,5.564498989784381067e+00,2.515073774475562018e+00,2.833141135339055872e+00,4.682415672634591353e+00,-1.880531270321230242e+00,2.387403418080575435e+00
1.699570809173188479e+00,1.570796326840195434e+00,6.060866958452637121e+00,3.040114778403777862e+00,3.095661528770646154e+00,4.925762546378616769e+00,-1.619448665497059903e+00,3.399141618346376958e+00
2.205439909336758930e+00,2.094395102457042412e+00,2.740496199679149925e-01,3.565155782568723453e+00,3.358181922300002231e+00,5.169109420031279711e+00,-1.358366060672890008e+00,4.410879818673517860e+00
2.711309009442516071e+00,2.617993877957474069e+00,7.704175886150750330e-01,4.090196786853450561e+00,3.620702315868652210e+00,5.412456293562574849e+00,-1.097283455906673311e+00,5.422618018885032143e+00
3.217178109687989007e+00,3.141592653574321048e+00,1.266785557393873773e+00,4.615237791492063479e+00,3.883222709593648680e+00,5.655803167052976477e+00,-8.362008510826308694e-01,1.511709121963917823e-01
3.723047210084601488e+00,3.665191429307583348e+00,1.763153526321779907e+00,5.140278796483775281e+00,4.145743103474598179e+00,5.899150040514306248e+00,-5.751182462003798790e-01,1.162909112989616744e+00
4.228916310186253469e+00,4.188790204691599683e+00,2.259521494962804411e+00,5.665319801362151964e+00,4.408263497278286813e+00,6.142496913733675790e+00,-3.140356414923712869e-01,2.174647313192920706e+00
4.734785410664253291e+00,4.712388980424861984e+00,2.755889463974130038e+00,6.190360806826952000e+00,4.670783891354592043e+00,1.026584798529350806e-01,-5.295303660999328699e-02,3.186385514148920350e+00
5.240654511181547903e+00,5.235987756158124284e+00,3.252257433024750455e+00,4.322165053493201015e-01,4.933304285528882005e+00,3.460053530688353973e-01,2.081295682721302498e-01,4.198123715183509574e+00
5.746523611399300790e+00,5.759586531542140619e+00,3.748625401781875865e+00,9.572575109373975266e-01,5.195824679625641096e+00,5.893522260384722600e-01,4.692121729802658514e-01,5.209861915619015349e+00
6.252392711877490683e+00,6.283185307158987598e+00,4.244993370793391563e+00,1.482298516995948390e+00,5.458345073937045377e+00,8.326990990296483375e-01,7.302947778043091809e-01,6.221600116575395134e+00
4.750765052143712808e-01,5.235987755962483448e-01,4.741361339843166434e+00,2.007339523290603722e+00,5.720865468345912142e+00,1.076045971937387158e+00,9.913773826286056412e-01,9.501530104287425615e-01
9.809456056613274910e-01,1.047197551096680002e+00,5.237729308827479002e+00,2.532380529705445582e+00,5.983385862794281529e+00,1.319392844711865465e+00,1.252459987394694885e+00,1.961891211322654982e+00
1.486814706376081929e+00,1.570796326829942302e+00,5.734097278077591398e+00,3.057421536589961519e+00,6.245906257456899979e+00,1.562739717515644777e+00,1.513542592277072885e+00,2.973629412752163859e+00
1.992683807009386854e+00,2.094395102446789281e+00,6.230465247244204363e+00,3.582462543594889581e+00,2.252413449795511724e-01,1.806086590174110995e+00,1.774625197101116214e+00,3.985367614018773708e+00
2.498552907572419102e+00,2.617993877947220938e+00,4.436479091650085138e-01,4.107503550719208363e+00,4.877617397208959815e-01,2.049433462698953434e+00,2.035707801867332023e+00,4.997105815144838203e+00
3.004422008399689759e+00,3.141592653680483238e+00,9.400158785256031990e-01,4.632544558313671956e+00,7.502821346767269972e-01,2.292780335249304358e+00,2.296790406749583013e+00,6.008844016799379517e+00
3.510291109156934652e+00,3.665191429297330217e+00,1.436383847820206228e+00,5.157585566027744761e+00,1.012802529671779084e+00,2.536127207666167394e+00,2.557873011573879918e+00,7.373969111342830729e-01
4.016160209832470684e+00,4.188790204797761874e+00,1.932751817031068242e+00,5.682626573861934816e+00,1.275322924706303596e+00,2.779474079937608977e+00,2.818955616339969605e+00,1.749135112485355137e+00
4.522029310659636536e+00,4.712388980414608852e+00,2.429119786391556346e+00,6.207667582049563038e+00,1.537843319896965433e+00,3.022820952180309106e+00,3.080038221164012047e+00,2.760873314139686840e+00
5.027898411529378109e+00,5.235987756031455831e+00,2.925487755796623901e+00,4.495232832938498291e-01,1.800363715185165248e+00,3.266167824343805037e+00,3.341120825988182386e+00,3.772611515879169986e+00
5.533767512321215776e+00,5.759586531531887488e+00,3.421855725123787551e+00,9.745642918375452268e-01,2.062884110512696267e+00,3.509514696365837239e+00,3.602203430754271629e+00,4.784349717462845319e+00
6.039636613272296728e+00,6.283185307148734466e+00,3.918223694612240848e+00,1.499605300734131674e+00,2.325404505996091942e+00,3.752861568367013234e+00,3.863286035578568534e+00,5.796087919365007224e+00
2.623204071913498581e-01,5.235987757024105349e-01,4.414591664244190028e+00,2.024646309984108328e+00,2.587924901635601849e+00,3.996208440335399459e+00,-2.158816666718767152e+00,5.246408143826997161e-01
7.681895080994722846e-01,1.047197551202842192e+00,4.910959633687637549e+00,2.549687319237195382e+00,2.850445297256088306e+00,4.239555312108064022e+00,-1.897734061952677465e+00,1.536379016198944569e+00
1.274058609163025046e+00,1.570796326819689170e+00,5.407327603286516293e+00,3.074728328843393754e+00,3.112965693032551329e+00,4.482902183855954625e+00,-1.636651457128507126e+00,2.548117218326050093e+00
1.779927710261272722e+00,2.094395102436536149e+00,5.903695572918088885e+00,3.599769338686025222e+00,3.375486088906654469e+00,4.726249055516673181e+00,-1.375568852304337675e+00,3.559855420522545444e+00
2.285796811289733554e+00,2.617993877936967806e+00,1.168782353043038569e-01,4.124810348648393798e+00,3.638006484820049735e+00,4.969595927044086814e+00,-1.114486247538247987e+00,4.571593622579467109e+00
2.791665912469301958e+00,3.141592653553814785e+00,6.132462050192142300e-01,4.649851358963587700e+00,3.900526880889282122e+00,5.212942798542545830e+00,-8.534036427139510828e-01,5.583331824938603916e+00
3.297535013800736436e+00,3.665191429287077085e+00,1.109614174883958526e+00,5.174892369632345890e+00,4.163047277114722000e+00,5.456289670012443693e+00,-5.923210378318275460e-01,3.118847204218866409e-01
3.803404114941137948e+00,4.188790204787508742e+00,1.605982144559684244e+00,5.699933380303635388e+00,4.425567673320853324e+00,5.699636541286396962e+00,-3.312384330656112930e-01,1.323622922702689664e+00
4.309273216237212267e+00,4.712388980404355721e+00,2.102350114391084546e+00,6.224974391328215617e+00,4.688088069683058023e+00,5.942983412535731702e+00,-7.015582824144095397e-02,2.335361125294838303e+00
4.815142317688451357e+00,5.235987756137618021e+00,2.598718084377665605e+00,4.668300955259780949e-01,4.950608466201073199e+00,6.186330283760200999e+00,1.909267766409366018e-01,3.347099328197316481e+00
5.321011418945353455e+00,5.759586531638049678e+00,3.095086054169891909e+00,9.918711069065846431e-01,5.213128862700147081e+00,1.464918476054730689e-01,4.520093814070258453e-01,4.358837530711120678e+00
