# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio12/01/202200:00
3.174314925114631869e+00,6.283185307173511092e+00,2.433503477704316076e+00,2.243828930708438918e+00,5.839050023704317027e+00,-2.627054902418571203e+00,3.518333621440232761e-01,6.544454304967750602e-02
3.680184046000633646e+00,5.235987757271871601e-01,2.929871467121354822e+00,2.768870060322297988e+00,6.101570469023781307e+00,-2.383708072637197528e+00,6.129159670262742665e-01,1.077182784821681061e+00
4.186053166703183948e+00,1.047197551227618817e+00,3.426239456360993252e+00,3.293911189932630990e+00,8.090560714177286172e-02,-2.140361243040811878e+00,8.739985717924900754e-01,2.088921026226781663e+00
4.691922287556536730e+00,1.570796326844465796e+00,3.922607445749432653e+00,3.818952319889927338e+00,3.434260525927097518e-01,-1.897014413470406780e+00,1.135081176616660414e+00,3.100659267933487229e+00
5.197791408440213701e+00,2.094395102461312774e+00,4.418975435164166576e+00,4.343993450077778817e+00,6.059464981388007487e-01,-1.653667583988251089e+00,1.396163781440576734e+00,4.112397509700841169e+00
5.703660529264464429e+00,2.617993877961744431e+00,4.915343424529567962e+00,4.869034580377959998e+00,8.684669437209366905e-01,-1.410320754624986073e+00,1.657246386206919553e+00,5.124135751349342627e+00
6.209529650227830544e+00,3.141592653578591410e+00,5.411711414026004974e+00,5.394075711025593023e+00,1.130987389456677761e+00,-1.166973925299629844e+00,1.918328991030962882e+00,6.135873993276074856e+00
4.322134641657111587e-01,3.665191429311853710e+00,5.908079403676541830e+00,5.919116842019384706e+00,1.393507835345380030e+00,-9.236270959965489080e-01,2.179411595913339994e+00,8.644269283314223173e-01
9.380825849794840465e-01,4.188790204695870045e+00,1.212620858478157260e-01,1.609726657138175199e-01,1.656028281154076076e+00,-6.802802669405709768e-01,2.440494200621349030e+00,1.876165169958968093e+00
1.443951706173328908e+00,4.712388980429132346e+00,6.176300755747350379e-01,6.860137971680835278e-01,1.918548727232778361e+00,-4.369334377979395834e-01,2.701576805503473011e+00,2.887903412346657817e+00
1.949820827287929603e+00,5.235987756045979324e+00,1.113998065222388867e+00,1.211054928735130432e+00,2.181069173347754742e+00,-1.935866087942381408e-01,2.962659410327770360e+00,3.899641654575859206e+00
2.455689948336235773e+00,5.759586531546410981e+00,1.610366054809828640e+00,1.736096060415714959e+00,2.443589619499382692e+00,4.976022008310684863e-02,3.223742015093859159e+00,4.911379896672471546e+00
-3.321626237536220216e+00,1.000870497591677122e-10,-4.176451262529555564e+00,2.261137192559322884e+00,2.706110065862409098e+00,-5.990078258195116412e+00,-2.798360687203349073e+00,-3.600671678928542008e-01
-2.815757116419925321e+00,5.235987756005187066e-01,-3.680083272878174494e+00,2.786178324700024689e+00,2.968630512203868754e+00,-5.746731429486430009e+00,-2.537278082437387283e+00,-5.631514232839850642e+00
-2.309887995265961003e+00,1.047197551100950363e+00,-3.183715283189137324e+00,3.311219457070382788e+00,3.231150958640042425e+00,-5.503384600858192144e+00,-2.276195477671297596e+00,-4.619775990531922005e+00
-1.804018873844793980e+00,1.570796326834212664e+00,-2.687347293234900292e+00,3.836260589903986329e+00,3.493671405287726017e+00,-5.260037772197666328e+00,-2.015112872789047493e+00,-3.608037747689587960e+00
-1.298149752498309883e+00,2.094395102451059643e+00,-2.190979303353329133e+00,4.361301722850805973e+00,3.756191851971907525e+00,-5.016690943671723524e+00,-1.754030267964877154e+00,-2.596299504996619767e+00
-7.922806312267651752e-01,2.617993877951491299e+00,-1.694611313544679421e+00,4.886342855910575267e+00,4.018712298692452833e+00,-4.773344115280483635e+00,-1.492947663198660457e+00,-1.584561262453530350e+00
