# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio01/07/202200:00
4.513376334836312509e+00,6.283185307147476806e+00,3.167248076663809808e+00,3.464124744932995270e+00,1.662638754577443478e-01,-1.884724431163887992e+00,-2.888362936734596431e-01,2.743567362493038786e+00
5.019245112904711092e+00,5.235987757011528743e-01,3.663615723271012037e+00,3.989163680906916198e+00,4.287834063997957301e-01,-1.641376792200235135e+00,-2.775368879108253140e-02,3.755304918629835953e+00
5.525113890675601880e+00,1.047197551085169209e+00,4.159983369582701762e+00,4.514202616857641459e+00,6.913029373045915804e-01,-1.398029153534549707e+00,2.333289159170535143e-01,4.767042474171617528e+00
6.030982668840874972e+00,1.570796326818431510e+00,4.656351016286776279e+00,5.039241553485187097e+00,9.538224685221372567e-01,-1.154681514824947408e+00,4.944115207994315142e-01,5.778780030502163712e+00
2.536661397623927172e-01,2.094395102435278488e+00,5.152718662928700510e+00,5.564280490322854433e+00,1.216341999819086084e+00,-9.113338762966326501e-01,7.554941256237279745e-01,5.073322795247854344e-01
7.595349177911980831e-01,2.617993877935710145e+00,5.649086309496274438e+00,6.089319427370632809e+00,1.478861531195432732e+00,-6.679862379577239384e-01,1.016576730389944672e+00,1.519069835582396166e+00
1.265403696101774500e+00,3.141592653668972446e+00,6.145453956345666491e+00,3.311730577989386859e-01,1.741381062826176773e+00,-4.246385996291524578e-01,1.277659335272321783e+00,2.530807392203549000e+00
1.771272474348174697e+00,3.665191429285819424e+00,3.586362959532980454e-01,8.562119956169098600e-01,2.003900594536306201e+00,-1.812909614818485893e-01,1.538741940096619132e+00,3.542544948696349394e+00
2.277141252522023152e+00,4.188790204786251081e+00,8.550039426659203912e-01,1.381250933644707857e+00,2.266420126325691342e+00,6.205667647594342862e-02,1.799824544862962838e+00,4.554282505044046303e+00
2.783010030861731821e+00,4.712388980403098060e+00,1.351371589544426932e+00,1.906289872116669670e+00,2.528939658311502470e+00,3.054043143654652237e-01,2.060907149687006168e+00,5.566020061723463641e+00
3.288878809249364821e+00,5.235987756019945039e+00,1.847739236470845370e+00,2.431328810914848759e+00,2.791459190434764537e+00,5.487519521277602896e-01,2.321989754511302628e+00,2.945723113191434095e-01
3.794747587572565806e+00,5.759586531520376695e+00,2.344106883334850622e+00,2.956367749922808486e+00,3.053978722637262777e+00,7.920995897086866577e-01,2.583072359277645447e+00,1.306309867965545379e+00
-1.982568941005867114e+00,7.405276392091764137e-11,-3.442710776704783537e+00,3.481406689491059581e+00,3.316498255094252556e+00,-5.247738079904206820e+00,-3.439030343019562785e+00,-3.965137882011734227e+00
-1.476700162472953881e+00,5.235987756908997426e-01,-2.946343129633084867e+00,4.006445629269327569e+00,3.579017787630595748e+00,-5.004390442522802296e+00,-3.177947738195265437e+00,-2.953400324945907762e+00
-9.708313840042235299e-01,1.047197551191331399e+00,-2.449975482623552026e+00,4.531484569257596462e+00,3.841537320246285248e+00,-4.761042805322619031e+00,-2.916865133429048740e+00,-1.941662768008447060e+00
-4.649626053703971307e-01,1.570796326808178378e+00,-1.953607835448905483e+00,5.056523509689197837e+00,4.104056853057988619e+00,-4.517695168191043997e+00,-2.655782528604752279e+00,-9.299252107407942614e-01
4.090617330397561258e-02,2.094395102425025357e+00,-1.457240188237765910e+00,5.581562450447703938e+00,4.366576386007490207e+00,-4.274347531194409910e+00,-2.394699923780581940e+00,8.181234660795122515e-02
5.467749519220395094e-01,2.617993877925457014e+00,-9.608725410768683695e-01,6.106601391415921398e+00,4.629095919036195994e+00,-4.030999894370972392e+00,-2.133617319014366132e+00,1.093549903844079019e+00
1.052643730693003210e+00,3.141592653542303992e+00,-4.645048937691513835e-01,3.484550256478495811e-01,4.891615452260896113e+00,-3.787652257628314700e+00,-1.872534714190068783e+00,2.105287461386006420e+00
1.558512509633122267e+00,3.665191429275566293e+00,3.186275370975311105e-02,8.734939675026467398e-01,5.154134985681587899e+00,-3.544304620950174289e+00,-1.611452109307691671e+00,3.117025019266244534e+00
2.064381288396444081e+00,4.188790204775997950e+00,5.282304010159077912e-01,1.398532909450702633e+00,5.416654519123257572e+00,-3.300956984507488201e+00,-1.350369504541474974e+00,4.128762576792888161e+00
2.570250067312665365e+00,4.712388980392844928e+00,1.024598048468885025e+00,1.923571851842016400e+00,5.679174052760905589e+00,-3.057609348145558847e+00,-1.089286899717177626e+00,5.140500134625330730e+00
